diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFKKRGASAD-001,source_acquisition_rows,10,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-002,official_source_index_routes,1,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-003,us_statutory_legal_entities_targeted,4,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-004,us_annual_statements_targeted,4,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-005,q2_2026_quarterlies_targeted,4,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-006,bermuda_reports_targeted,2,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-007,downloaded_local_files,10,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-008,download_holds,0,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-009,largest_file_size_bytes,8644493,bytes,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-010,full_named_cash_proof_upgrades,0,count,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
CFKKRGASAD-011,next_parser,global-atlantic-statutory-schedule-locator,parser,controls KKR/Global Atlantic statutory source acquisition status,Diagnostics prove acquisition coverage only; they do not parse schedules or prove named cash returns.,"Run Global Atlantic statutory schedule locator, then Schedule D/BA extraction and income/proceeds bridge."
