row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIYAFC-001,2024 acquisition,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Source boundary,yak-acquisition-funding-chain-visible,text,"analysis/company-first-principles/capital-flow-uri-yak-matting-acquisition-economics-pass-1.md; analysis/company-first-principles/capital-flow-uri-abl-agreement-mechanics-pass-1.md; analysis/company-first-principles/data/capital-flow-uri-fleet-capital-durability-pass-1.csv",Synthesis of Yak acquisition and ABL evidence,"Combines acquisition funding wording with ABL balance context",source-boundary,"Yak acquisition funding is visible at instrument level.","This does not disclose purchase-level source-and-use or exact ABL draw allocation.","Note offering documents and ABL availability schedule"
URIYAFC-002,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Announced funding plan,"new debt financing plus existing ABL capacity",text,URI acquisition announcement,Funding language,"Company expected to use new debt financing and existing capacity under its ABL facility",company-announcement,"URI publicly identified new debt financing and ABL capacity as the expected funding channels.","It did not quantify the exact split at announcement.","Closing/funding footnote"
URIYAFC-003,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Filing funding language,"1.100B USD 6 1/8% senior notes plus ABL drawings",text,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-023,"FY2024 acquisition footnote funding language",filed-source-table,"The filed acquisition footnote says senior notes and ABL drawings funded the acquisition and related fees.","It does not disclose the exact ABL dollar amount or purchase-level source-and-use schedule.","Debt note and ABL draw detail"
URIYAFC-004,March/FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Base purchase price,1.100,B USD,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-002,"Base purchase price disclosed by URI",company-announcement,"The base purchase price was 1.100B USD.","It is not the same as acquisition-date fair value or invested capital.","Purchase accounting footnote"
URIYAFC-005,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Acquisition-date purchase-price fair value,1.158,B USD,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-003,"Acquisition-date fair value from purchase accounting",filed-source-table,"The acquisition-date fair value of purchase price was 1.158B USD.","It is not mat fleet OEC or replacement cost.","Purchase accounting detail"
URIYAFC-006,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Senior notes principal,1.100,B USD,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-023,"Principal amount of 6 1/8% senior notes used to fund acquisition and related fees",filed-source-table,"URI issued 1.100B USD of senior notes as a core funding source for Yak.","This does not show note maturity, underwriters, or all covenant terms.","Note offering and indenture"
URIYAFC-007,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Senior note coupon,6.125,percent,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-023,"6 1/8% senior notes",filed-source-table,"The acquisition funding notes carried a 6.125% coupon.","The row does not yet provide maturity or yield/spread detail.","Note offering and indenture"
URIYAFC-008,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,ABL drawings amount,not disclosed,text,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-023,"Filing says drawings on ABL facility funded acquisition and related fees but does not quantify amount",allocation-gap-visible,"ABL drawings were part of the funding chain.","Exact ABL dollars, timing, collateral, and repayment/refinancing path are not disclosed in the current source set.","ABL availability schedule and cash-flow financing detail"
URIYAFC-009,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Senior notes / base purchase price,100.0,percent,derived from rows URIYAFC-004 and URIYAFC-006,Derived metric,"1.100B USD senior notes / 1.100B USD base purchase price",derived-funding-metric,"The senior-note principal equaled the announced base purchase price.","This does not mean notes alone funded every related fee or the exact closing cash flow.","Closing source-and-use schedule"
URIYAFC-010,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Senior notes / acquisition-date fair value,95.0,percent,derived from rows URIYAFC-005 and URIYAFC-006,Derived metric,"1.100B USD senior notes / 1.158B USD acquisition-date fair value",derived-funding-metric,"Senior-note principal covered about 95.0% of acquisition-date purchase-price fair value.","This does not identify the exact residual funding source or transaction-fee funding split.","Closing source-and-use schedule"
URIYAFC-011,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Acquisition fair value less senior notes,58,M USD,derived from rows URIYAFC-005 and URIYAFC-006,Derived metric,"1.158B USD acquisition-date fair value - 1.100B USD senior notes",derived-funding-metric,"Acquisition-date fair value exceeded senior-note principal by about 58M USD.","This is not necessarily the exact ABL draw because acquisition and related fees, contingent consideration, cash timing, and definitions differ.","Closing source-and-use schedule"
URIYAFC-012,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Estimated contingent consideration,41,M USD,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-004,"Estimated contingent consideration included in fair value",filed-source-table,"Estimated contingent consideration was 41M USD within the purchase-price fair value.","It does not disclose if or when contingent consideration was paid.","Contingent consideration update"
URIYAFC-013,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition destination,Acquired rental-equipment fair value,127,M USD,analysis/company-first-principles/data/capital-flow-uri-yak-matting-acquisition-economics-pass-1.csv,Row URIYMAE-014,"Purchase accounting rental equipment acquired",filed-source-table,"URI allocated 127M USD of fair value to acquired rental equipment.","It is not OEC, replacement cost, or all operating invested capital.","Mat OEC/replacement-cost source"
URIYAFC-014,FY 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,Senior notes / acquired rental-equipment fair value,8.66,x,derived from rows URIYAFC-006 and URIYAFC-013,Derived metric,"1.100B USD senior notes / 127M USD acquired rental-equipment fair value",derived-funding-metric,"Senior-note principal was 8.66x the acquired rental-equipment fair value because the acquisition value included customer relationships and goodwill.","This does not mean debt was economically supported only by rental equipment.","Purchase accounting and operating economics"
URIYAFC-015,2024-Q1,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,ABL facility balance,1.371,B USD,analysis/company-first-principles/data/capital-flow-uri-fleet-capital-durability-pass-1.csv,Row URIFCD-014,"Filed Q1 2024 ABL facility balance",filed-term-summary,"ABL balance was 1.371B USD at Q1 2024 after the March 15 Yak closing.","It does not show how much of the balance was drawn specifically for Yak.","ABL draw activity and availability schedule"
URIYAFC-016,2024-Q1,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,ABL stated facility size,4.250,B USD,analysis/company-first-principles/data/capital-flow-uri-fleet-capital-durability-pass-1.csv,Row URIFCD-020,"Filed Q1 2024 ABL stated facility size",filed-term-summary,"ABL stated facility size was 4.250B USD in Q1 2024.","Stated size is not legal availability or borrowing-base capacity.","Borrowing-base certificate"
URIYAFC-017,2024-Q1,United Rentals,URI,capital-intensive real-economy buildout,Yak acquisition funding chain,ABL drawn against stated size,32.3,percent,analysis/company-first-principles/data/capital-flow-uri-fleet-capital-durability-pass-1.csv,Row URIFCD-021,"1.371B USD / 4.250B USD",derived-draw-intensity,"Simple post-close Q1 ABL draw intensity was 32.3%.","This is not Yak-specific draw intensity or legal availability.","ABL draw activity and availability schedule"
