chapter_id,section_or_company,role,hard_evidence,what_it_proves,what_it_does_not_prove,proof_grade,needed_for_upgrade,writing_use
ARCPC-001,Opening thesis,Chapter frame,"Capital platforms route money from savings pools to public markets private credit infrastructure insurance assets real estate data centers power private companies and secondaries",The chapter can explain who moves money and why platform scale matters,It does not prove named borrower receipt settlement cash legal-entity waterfalls or final return,synthesis-ready,Company evidence table plus named-cash proof ladder,Use as the plain-English opening after the power chapter.
ARCPC-002,Money-routing ladder,Proof discipline,"Capital source; platform intake; allocation wrapper; destination class; named asset or borrower; cash proof",The chapter can separate capital-flow mapping from final proof of cash movement,The ladder does not upgrade AUM inflows or originations into receipt-grade proof,writing-control,Receipts settlement records borrower bank evidence debt waterfalls collateral certificates and return models,Use to prevent overclaiming across the chapter.
ARCPC-003,BlackRock,Whole-portfolio infrastructure,"2025 AUM 14.0T USD; Q2 2026 AUM 15.3T USD; tech and subscription revenue 1.981B USD; HPS and Preqin expand private-market and data routes",BlackRock controls large-scale portfolio implementation across ETFs institutions wealth technology and private-market workflow,It does not prove private-credit borrower receipt or asset-level return from HPS or any specific private-market destination,platform-scale-visible,Private-market asset schedules borrower receipts settlement records and product-level cash economics,Use as the financial operating-system example.
ARCPC-004,Blackstone,Private-market capital formation,"2025 AUM about 1.27T USD; perpetual capital AUM about 523.6B USD; 2025 inflows about 239.4B USD; deployment about 138.2B USD",Blackstone packages private-market access across real estate credit infrastructure insurance and wealth,It does not prove end-asset cash collection customer receipts or return by named investment,platform-scale-visible,Fund-level holdings asset cash flows debt waterfalls realization proceeds and return schedules,Use as the private-market formation example.
ARCPC-005,Apollo and Athene,Private credit and retirement spread,"2025 origination over 300B USD; Q2 2026 AUM about 1.05T USD; Q2 2026 SRE about 877M USD; Athene statutory Schedule D work exposes named assets",Insurance and retirement liabilities can feed private-credit origination and spread economics,It does not prove borrower receipt liability-cost spread bank settlement or realized platform profit for every named row,named-asset-visible-boundary,Settlement documents borrower use proceeds legal-entity cash bridge liability-cost allocation and return model,Use as the deepest proof-lane example.
ARCPC-006,KKR and Global Atlantic,Multi-engine alternatives and insurance route,"2025 AUM about 744B USD; Q2 2026 AUM about 796B USD; Q2 2026 uncalled commitments about 143B USD; Accordia statutory work reaches owned-bond and income evidence",KKR routes capital through asset management insurance ABF wealth credit and strategic holdings,It does not prove full borrower allocation debt waterfall or final return for each Accordia or Global Atlantic asset,named-asset-visible-boundary,Borrower source/use schedules settlement proof statutory cash bridges collateral files and return evidence,Use as the multi-engine platform example.
ARCPC-007,Brookfield,Real-asset operating allocator,"2025 DE before realizations about 5.4B USD; Q1 2026 raised about 67B USD since prior quarter including 44B USD insurance capital; insurance assets about 180B USD",Brookfield routes capital into infrastructure real estate renewables operating assets insurance and credit,It does not prove asset-level monetization cash project return or legal-entity waterfall across the platform,platform-scale-visible,Asset-level operating cash debt service monetization proceeds and insurance-asset schedules,Use as the real-asset capital-control example.
ARCPC-008,Ares,Recurring private-credit fee engine,"2025 AUM about 622.5B USD; Q2 2026 AUM about 671.3B USD; available capital about 170B USD; Frontline evidence shows named borrower destination and holder-dollar proof",Ares shows how private-credit platforms gather dry powder and route it toward borrower exposure,It does not prove total facility size funded allocation borrower cash generation debt-service coverage or bank replacement for Frontline or the broader book,named-borrower-visible-boundary,Facility agreement lender allocation use-of-proceeds schedule borrower cash-flow and debt-service evidence,Use as the direct-lending boundary example.
ARCPC-009,Carlyle,Diversified alternatives platform,"2025 AUM about 477B USD; Q2 2026 DE about 472M USD; Q2 2026 FRE about 358M USD; Q2 deployment about 14.3B USD",Carlyle routes capital across private equity credit AlpInvest secondaries and realization-driven alternatives,It does not prove underlying company cash conversion or investment-level realized return across the platform,platform-scale-visible,Portfolio-company cash flows realization support fund-level return bridges and debt schedules,Use as the diversified alternatives and secondaries example.
ARCPC-010,Capital-platform conclusion,Chapter verdict,"Cross-company evidence links savings pools to platforms wrappers asset classes named assets and partial cash-proof routes",The chapter can answer who is investing where at platform and destination-class level,It does not fully answer the named-dollar question without settlement receipt waterfall collateral and return evidence,publication-ready-with-boundaries,One receipt-grade statutory case and one borrower-facility case as exhibits,Use as the chapter close and bridge to industrial uptime.
ARCPC-011,Named-cash boundary,Proof standard,"Receipts billing debt waterfalls legal-entity schedules collateral certificates and return models remain the decisive missing source families",The research standard is stricter than normal theme writing and identifies what would upgrade broad flow maps,It does not mean the platform thesis is false; it means broad flow evidence and cash proof are different,proof-standard-control,Controlled source acquisition for Apollo/Athene KKR/Global Atlantic Ares and Blackstone cases,Use as a proof box inside the chapter.
