"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARWAVRE-001","Walmart Inc.","WMT","FY2026","constant-currency revenue growth","5.1","percent","services/discount-variety-stores/walmart-inc/company-analysis.md","Walmart's core business kept growing at large scale.","Revenue growth does not prove unit growth, traffic quality, or consumer health by itself.","retail-growth-visible"
"ARWAVRE-002","Walmart Inc.","WMT","FY2026","adjusted profit growth","5.4","percent","services/discount-variety-stores/walmart-inc/company-analysis.md; trends-coding/company_insights/ci-7.jsonl","The business expanded profit while growing the ecosystem.","Adjusted profit does not prove every layer is high return or that fulfillment cost is fully controlled.","profit-growth-visible"
"ARWAVRE-003","Walmart Inc.","WMT","FY2026","global eCommerce growth","24","percent","services/discount-variety-stores/walmart-inc/company-analysis.md; trends-coding/company_insights/ci-7.jsonl","Walmart's value-retail model is becoming omnichannel rather than only store-based.","eCommerce growth can be lower-margin if fulfillment cost, delivery subsidy, or returns are high.","omnichannel-growth-visible"
"ARWAVRE-004","Walmart Inc.","WMT","Q1 2026","total revenues growth","7.3","percent","trends-coding/company_insights/ci-7.jsonl","The current quarter showed broad revenue momentum.","Quarterly revenue growth still needs basket, traffic, price, and mix support.","current-revenue-growth-visible"
"ARWAVRE-005","Walmart Inc.","WMT","Q1 2026","operating income growth","5.0","percent","trends-coding/company_insights/ci-7.jsonl","Walmart produced operating-income growth while investing in omnichannel services.","Operating income growth below revenue growth can still imply margin pressure.","operating-income-growth-visible"
"ARWAVRE-006","Walmart Inc.","WMT","Q1 2026","global advertising growth","37","percent","services/discount-variety-stores/walmart-inc/company-analysis.md; owned-intent-surfaces-and-partner-rent-comparison-2026-08-11.md; trends-coding/company_insights/ci-7.jsonl","Retail traffic and commerce data are being monetized as an advertising business.","Advertising growth does not prove customer benefit and can conflict with trust if the shopping surface becomes cluttered.","retail-media-visible"
"ARWAVRE-007","Walmart Inc.","WMT","Q1 2026","Walmart U.S. eCommerce growth","26","percent","services/discount-variety-stores/walmart-inc/company-analysis.md; owned-intent-surfaces-and-partner-rent-comparison-2026-08-11.md; trends-coding/company_insights/ci-7.jsonl","U.S. customers are using Walmart digitally, not only in stores.","Digital growth needs margin and fulfillment-density proof before it becomes cash-quality proof.","us-ecommerce-visible"
"ARWAVRE-008","Walmart Inc.","WMT","Q1 2026","Walmart Connect growth excluding VIZIO","44","percent","owned-intent-surfaces-and-partner-rent-comparison-2026-08-11.md; trends-coding/company_insights/ci-7.jsonl","The U.S. retail-media layer is scaling quickly on top of household shopping intent.","Retail-media growth does not identify advertiser ROI or long-term take-rate durability.","retail-media-visible"
"ARWAVRE-009","Walmart Inc.","WMT","Q1 2026","global membership fee income growth","17.4","percent","services/discount-variety-stores/walmart-inc/company-analysis.md; owned-intent-surfaces-and-partner-rent-comparison-2026-08-11.md; trends-coding/company_insights/ci-7.jsonl","Membership is becoming a real economic layer inside Walmart's value-retail system.","Membership fee growth does not prove renewal quality or member cohort profitability.","membership-layer-visible"
"ARWAVRE-010","Walmart Inc.","WMT","Q4 2025","operating cash flow","41.6","USD billions","services/discount-variety-stores/walmart-inc/company-analysis.md","The system generated large operating cash flow while funding the platform transition.","Operating cash flow is company-level and does not allocate cash by eCommerce, ads, stores, or membership.","cash-flow-visible"
"ARWAVRE-011","Walmart Inc.","WMT","Q4 2025","free cash flow","14.9","USD billions","services/discount-variety-stores/walmart-inc/company-analysis.md","Walmart had cash left after capital needs in the period cited by the local analysis.","Free cash flow does not prove that every growth layer earns above cost of capital.","free-cash-flow-visible"
"ARWAVRE-012","Walmart Inc.","WMT","2025-2026 synthesis","business mechanism","household traffic plus ads, membership, marketplace, fulfillment, and financial services","plain-language finding","services/discount-variety-stores/walmart-inc/company-analysis.md; owned-intent-surfaces-and-partner-rent-comparison-2026-08-11.md","Walmart turns routine household shopping into a platform with multiple monetization layers.","The model can weaken if platform monetization damages price trust or fulfillment economics.","retail-ecosystem-visible"
