metric_id,source_id,company,proof_channel,form,period,category,metric_family,metric_label,metric_value,unit,current_status,source_anchor,derived_context,what_it_says,what_it_does_not_say
CFPLDIC-001,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,investment,final expenditures,38.320627,USD millions,final-category-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists 601 Distribution Inspection Program expenditures of $38,320,627.","Final expenditures are 0.179373M USD below the actual/estimated Form 7E amount.","Distribution Inspection final expenditures are visible in the final true-up revenue-requirement schedule.","This is not financing source or customer cash."
CFPLDIC-002,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,investment,final additions to plant,22.263219,USD millions,final-category-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists 601 Distribution Inspection Program additions to plant of $22,263,219.","Final additions to plant are 35.867970M USD below the actual/estimated Form 7E amount.","Distribution Inspection final plant additions are visible in the final true-up revenue-requirement schedule.","This is not net rate base, project-level asset detail, or financing source."
CFPLDIC-003,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,rate base,plant-in-service / depreciation base ending balance,116.409865,USD millions,final-category-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists Plant-In-Service/Depreciation Base ending balance of $116,409,865.","Ending plant-in-service/depreciation base is visible for the category.","The final schedule gives a category asset-base input for recovery math.","This is not gross FPL PP&E or project-level asset ID support."
CFPLDIC-004,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,rate base,accumulated depreciation ending balance,9.167688,USD millions,final-category-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists accumulated depreciation ending balance of $9,167,688.","Accumulated depreciation is visible for the category.","The final schedule gives a category accumulated-depreciation input for recovery math.","This is not depreciation expense by itself."
CFPLDIC-005,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,rate base,CWIP non-interest-bearing ending balance,54.994892,USD millions,final-category-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists CWIP - Non Interest Bearing ending balance of $54,994,892.","CWIP non-interest-bearing balance is visible for the category.","The final schedule gives a category construction-work-in-progress input for recovery math.","This is not interest-bearing financing or debt source."
CFPLDIC-006,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,rate base,net investment ending balance,162.237069,USD millions,final-category-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists Net Investment ending balance of $162,237,069.","Net investment equals plant-in-service/depreciation base less accumulated depreciation plus non-interest-bearing CWIP.","Distribution Inspection has a final category net-investment input.","This is not customer cash or total project cost."
CFPLDIC-007,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,return component,equity component grossed up for taxes,10.481240,USD millions,final-category-return-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists Equity Component grossed up for taxes of $10,481,240.","Equity component is 65.742075% of final Distribution Inspection recoverable expenses and 54.25 USD per AP-1 project.","Distribution Inspection category return/revenue-requirement math includes a visible equity component.","This is a regulatory recovery component, not proof of cash collected or shareholder IRR."
CFPLDIC-008,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,return component,debt component,2.278910,USD millions,final-category-return-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists Debt Component of $2,278,910.","Debt component is 14.294136% of final Distribution Inspection recoverable expenses and 11.80 USD per AP-1 project.","Distribution Inspection category return/revenue-requirement math includes a visible debt component.","This is a regulatory debt-cost component, not proof that a specific debt issuance funded the projects."
CFPLDIC-009,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,investment expense,depreciation expense,3.182821,USD millions,final-category-expense-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists Depreciation expense of $3,182,821.","Depreciation is 19.963788% of final Distribution Inspection recoverable expenses and 16.47 USD per AP-1 project.","Distribution Inspection category recovery includes a visible depreciation component.","This is not FPL-wide depreciation and amortization or cash collection."
CFPLDIC-010,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,total recovery,total system recoverable expenses,15.942971,USD millions,final-category-recovery-component-visible,"PDF page 18 / Exhibit ALE-1 page 11 lists Total System Recoverable Expenses of $15,942,971.","Equity component plus debt component plus depreciation equals the final total system recoverable expense in the extracted schedule.","Distribution Inspection final category recovery can now be decomposed into equity, debt, and depreciation components.","This still does not prove billed or collected customer receipts."
CFPLDIC-011,fpl-2025-sppcrc-final-trueup-epperson-01940-2026,"NextEra Energy, Inc.",regulated recovery,Form 7A,2025 final true-up,Distribution Inspection,return subtotal,equity plus debt component,12.760150,USD millions,derived-final-category-return-subtotal,"Derived from Form 7A equity component of $10,481,240 plus debt component of $2,278,910.","Return/carrying-cost components equal 80.036212% of final Distribution Inspection recoverable expenses.","The final category recovery is mostly return/carrying-cost components rather than current depreciation expense.","This is a regulatory revenue-requirement composition, not realized shareholder return."
CFPLDIC-012,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 7E,2025 actual/estimated,Distribution Inspection,return component,actual/estimated equity component grossed up for taxes,10.692874,USD millions,actual-estimated-category-return-component-visible,"PDF page 19 / Exhibit RLH-2 page 8 lists Equity Component grossed up for taxes of $10,692,874.","Final equity component is 0.211634M USD below actual/estimated.","The earlier actual/estimated schedule provides a comparator for final equity component.","This is not final realized return."
CFPLDIC-013,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 7E,2025 actual/estimated,Distribution Inspection,return component,actual/estimated debt component,2.328484,USD millions,actual-estimated-category-return-component-visible,"PDF page 19 / Exhibit RLH-2 page 8 lists Debt Component of $2,328,484.","Final debt component is 0.049574M USD below actual/estimated.","The earlier actual/estimated schedule provides a comparator for final debt component.","This is not financing-source allocation."
CFPLDIC-014,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 7E,2025 actual/estimated,Distribution Inspection,investment expense,actual/estimated depreciation expense,3.814226,USD millions,actual-estimated-category-expense-component-visible,"PDF page 19 / Exhibit RLH-2 page 8 lists Depreciation expense of $3,814,226.","Final depreciation expense is 0.631405M USD below actual/estimated.","The earlier actual/estimated schedule provides a comparator for final depreciation expense.","This is not customer cash collected."
CFPLDIC-015,fpl-2025-sppcrc-actual-estimated-projection,"NextEra Energy, Inc.",regulated recovery,Form 7E,2025 actual/estimated,Distribution Inspection,total recovery,actual/estimated total system recoverable expenses,16.835584,USD millions,actual-estimated-category-recovery-component-visible,"PDF page 19 / Exhibit RLH-2 page 8 lists Total System Recoverable Expenses of $16,835,584.","Final total recoverable expenses are 0.892613M USD below actual/estimated.","The final true-up reduced the Distribution Inspection category amount versus actual/estimated.","This is not proof of customer collection timing."
