schema_id,input_family,model_field,current_status,current_observation,unit_or_denominator,model_use,exact_upgrade_document,source_artifact,proof_grade
Q03-INPUT-001,contract,BHP PMPA entitlement and step-down,observed,"33.75% until 100M ounces then 22.5%",percent of Antamina silver production,defines payable stream,executed PMPA and amendment schedule,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,source-confirmed
Q03-INPUT-002,contract,payable factor,observed,90.0%,payable ounces / recovered ounces,converts recovered to payable ounces,PMPA settlement schedule,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,source-confirmed
Q03-INPUT-003,delivery,BHP-only recovered ounces by period,missing,not disclosed in current joined source set,BHP PMPA ounces,delivery volume,BHP-PMPA delivery ledger or Wheaton mine-by-mine schedule with legal counterparty and period-level allocation,analysis/company-first-principles/capital-flow-wheaton-antamina-full-return-source-test-pass-1.md,missing
Q03-INPUT-004,delivery,payability assays smelter weights and PBND,partial,formula and context visible; asset-period settlement fields missing,delivery support fields,delivered payable ounces,settlement statement assay/weight certificate PBND rollforward,analysis/company-first-principles/capital-flow-wheaton-antamina-debt-waterfall-return-proof-chase-pass-1.md,evidence-insufficient
Q03-INPUT-005,price,quotation-period realized price,missing,not disclosed for BHP-only delivery,USD per payable ounce,gross stream receipt,Wheaton invoice and quotation-period settlement support,analysis/company-first-principles/capital-flow-wheaton-antamina-full-return-source-test-pass-1.md,missing
Q03-INPUT-006,cash-receipt,invoice settlement date amount currency and cash/receivable entry,missing,not disclosed in current public perimeter,USD and settlement date,receipt timing and cash flow,Wheaton BHP-PMPA settlement ledger plus custodian/bank confirmation tying invoice receivable and cash entry,analysis/company-first-principles/capital-flow-wheaton-antamina-full-return-source-test-pass-1.md,missing
Q03-INPUT-007,cash-cost,ongoing payment formula and delivery-level cash paid,partial,"20.0% of silver spot or price received is contractual; remitted dollars are missing",USD per delivery,net stream cash cost,delivery payment schedule and remittance support,analysis/company-first-principles/capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,evidence-insufficient
Q03-INPUT-008,funding,cash term-loan and revolver dollars allocated to PMPA,partial,"planned $1.9B cash + $1.5B term loan + $0.9B revolver reconcile to $4.3B; H1 $2.700B drawn and $728M repaid; seller-account and asset allocation missing",USD by funding source,initial financing sources,executed single-draw Drawdown Notice; designated-payee/payment instruction; agent funding record; seller-account confirmation; and closing funds-flow statement,analysis/company-first-principles/capital-flow-wheaton-antamina-credit-agreement-waterfall-boundary-2026-09-16.md,evidence-insufficient
Q03-INPUT-009,financing,term-loan rate fees dates and interest paid,partial,"contractual SOFR-plus basis and H1 $29.886M interest paid visible; facility-specific and PMPA allocation missing",USD and effective rate,debt-service cash flow,facility rate notices lender schedule and interest statement,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-terms-boundary-upgrade-2026-09-15.md,evidence-insufficient
Q03-INPUT-010,financing,principal repayment maturity bullet and waterfall,partial,"$1.500B principal and maturity claim visible; asset allocation and waterfall missing",USD and dates,financing outflows and terminal claim,lender repayment schedule and waterfall,analysis/company-first-principles/capital-flow-wheaton-antamina-term-maturity-bullet-coverage-screen-2026-09-16.md,evidence-insufficient
Q03-INPUT-011,tax,Antamina-specific current/deferred tax allocation,partial,Company effective-tax-rate and tax-expense context support a labeled sensitivity; Antamina asset-level allocation remains missing,USD by period,after-tax cash flow,tax allocation schedule or explicit asset-level disclosure,analysis/company-first-principles/capital-flow-wheaton-antamina-net-cash-return-pass-1.md,evidence-insufficient
Q03-INPUT-012,reinvestment,reserve-backed production and delivery curve,partial,proxy and reserve-constrained ceiling visible; annual BHP curve missing,ounces by period,forecast cash-flow duration,BHP reserve/production schedule or independent reserve report,analysis/company-first-principles/capital-flow-wheaton-antamina-reserve-constrained-delivery-ceiling-2026-09-15.md,evidence-insufficient
Q03-INPUT-013,return,initial outflow periodic net cash terminal value discount rate,partial,"An illustrative IRR/NPV workbench exists, but its profile, tax, financing, and delivery inputs are not yet source-linked to an asset-level return model",USD by period and discount rate,IRR NPV and payback,integrated PMPA return model with source-linked inputs,analysis/company-first-principles/combined-investment-research-pilot-01-antamina-scenario-workbench.md,evidence-insufficient
