row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIYSNT-001,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Source boundary,yak-senior-note-terms-visible,text,"https://investors.unitedrentals.com/press-releases/press-releases-details/2024/United-Rentals-Announces-Pricing-of-Private-Offering-of-1.1-Billion-of-6.125-Senior-Notes-due-2034/default.aspx; https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm; https://www.sec.gov/Archives/edgar/data/1047166/000106770124000037/uri-20240930.htm","Official URI note pricing release, SEC indenture, and Q3 2024 10-Q debt note","Synthesis of official note financing sources",source-boundary,"Yak senior-note terms are visible from official sources.","This does not disclose exact ABL draw allocation, investor allocation, pricing spread, or purchase-level source-and-use.","Offering memorandum, initial purchaser disclosure, ABL availability schedule"
URIYSNT-002,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Issuer,United Rentals (North America) Inc.,text,SEC Exhibit 4.1 indenture,Indenture parties,"Indenture names United Rentals (North America) Inc. as company",indenture-term-visible,"URNA was the note issuer.","This does not identify note investors or initial purchasers.","Offering memorandum"
URIYSNT-003,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Trustee,Truist Bank,text,SEC Exhibit 4.1 indenture,Indenture parties,"Indenture names Truist Bank as trustee",indenture-term-visible,"Truist Bank was trustee for the notes.","This does not make Truist an acquisition lender or ABL lender in this row.","Offering and distribution documents"
URIYSNT-004,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Principal amount issued,1.100,B USD,URI pricing announcement and SEC indenture,Issue size,"Pricing release and indenture amount",company-announcement-and-indenture,"URNA priced/issued 1.100B USD principal amount of 6.125% senior notes due 2034.","This is gross principal, not estimated net proceeds.","Offering memorandum and closing statement"
URIYSNT-005,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Estimated net proceeds,1.090,B USD,URI pricing announcement,Net proceeds language,"Estimated net proceeds after initial purchasers discounts, commissions, and estimated fees/expenses",company-announcement,"Estimated net proceeds were approximately 1.090B USD.","This is not total acquisition funding and excludes ABL borrowings.","Closing source-and-use schedule"
URIYSNT-006,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Coupon,6.125,percent,SEC Exhibit 4.1 indenture,Section 3.01 and form of security,"Interest accrues at 6.125% per annum",indenture-term-visible,"The notes have a 6.125% coupon.","Coupon is not the offering yield or spread.","Offering memorandum/pricing supplement"
URIYSNT-007,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Maturity date,2034-03-15,date,SEC Exhibit 4.1 indenture,Section 3.01 and form of security,"Stated maturity for principal is March 15 2034",indenture-term-visible,"The notes mature March 15 2034.","This does not show market price or yield.","Offering memorandum/pricing supplement"
URIYSNT-008,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,First interest payment date,2024-09-15,date,SEC Exhibit 4.1 indenture,Section 3.01,"Interest payable semiannually beginning September 15 2024",indenture-term-visible,"Interest payments began September 15 2024.","This does not show actual cash interest paid in later periods.","Cash-flow statement and debt note"
URIYSNT-009,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Interest payment months,"March 15; September 15",text,SEC Exhibit 4.1 indenture,Section 3.01,"Semiannual interest payment dates",indenture-term-visible,"Interest is paid semiannually on March 15 and September 15.","This does not identify holders receiving interest.","Bondholder registry/source"
URIYSNT-010,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Guarantee status,"senior unsecured guarantees by URI and certain domestic subsidiaries",text,URI pricing announcement and Q3 2024 10-Q debt note,Guarantee language,"Notes guaranteed on senior unsecured basis by URI and certain domestic subsidiaries",company-announcement-and-filing,"The notes were supported by senior unsecured guarantees.","This does not make them secured by fleet or ABL collateral.","Indenture guarantee schedule"
URIYSNT-011,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Offering format,"Rule 144A / Regulation S private offering",text,URI pricing announcement,Offering exemption language,"Private offering under Securities Act exemptions",company-announcement,"The notes were offered to QIBs under Rule 144A and non-U.S. persons under Regulation S.","This does not identify actual investors or allocations.","Offering memorandum and purchaser disclosure"
URIYSNT-012,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Use of proceeds,"finance Yak acquisition and related fees with ABL borrowings",text,URI pricing announcement,Use-of-proceeds language,"Net proceeds plus ABL borrowings expected to finance Yak and related fees/expenses",company-announcement,"The use-of-proceeds language directly ties the note to Yak acquisition funding.","It does not disclose exact ABL dollars or full closing source-and-use.","Closing source-and-use schedule"
URIYSNT-013,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Q3 2024 carrying amount,1.090,B USD,Q3 2024 10-Q debt note,Debt table,"6 1/8 percent Senior Notes due 2034 carrying amount in Q3 2024 debt table",filed-source-table,"The Q3 2024 debt table carried the notes at 1.090B USD.","Carrying amount is not gross principal or cash proceeds.","Debt footnote roll-forward"
URIYSNT-014,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Optional redemption start date,2029-03-15,date,SEC Exhibit 4.1 indenture,Form of security redemption terms,"No optional redemption before March 15 2029 except specified provisions",indenture-term-visible,"Ordinary optional redemption begins March 15 2029.","This does not mean the company will redeem the notes then.","Future redemption notice"
URIYSNT-015,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,2029 redemption price,103.063,percent of principal,SEC Exhibit 4.1 indenture,Form of security redemption table,"Redemption price for 12-month period beginning March 15 2029",indenture-term-visible,"Optional redemption in 2029 starts at 103.063% of principal plus accrued/unpaid interest.","This is not market price or yield.","Future redemption notice"
URIYSNT-016,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,2030 redemption price,102.042,percent of principal,SEC Exhibit 4.1 indenture,Form of security redemption table,"Redemption price for 12-month period beginning March 15 2030",indenture-term-visible,"Optional redemption in 2030 is 102.042% plus accrued/unpaid interest.","This is not market price or yield.","Future redemption notice"
URIYSNT-017,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,2031 redemption price,101.021,percent of principal,SEC Exhibit 4.1 indenture,Form of security redemption table,"Redemption price for 12-month period beginning March 15 2031",indenture-term-visible,"Optional redemption in 2031 is 101.021% plus accrued/unpaid interest.","This is not market price or yield.","Future redemption notice"
URIYSNT-018,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,2032 and thereafter redemption price,100.000,percent of principal,SEC Exhibit 4.1 indenture,Form of security redemption table,"Redemption price for 2032 and thereafter",indenture-term-visible,"Optional redemption in 2032 and thereafter is at par plus accrued/unpaid interest.","This does not mean redemption is planned.","Future redemption notice"
URIYSNT-019,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Equity claw redemption cap,40.0,percent of principal,SEC Exhibit 4.1 indenture,Form of security equity offering redemption,"Up to 40% of principal may be redeemed with equity offering proceeds on or before March 15 2027",indenture-term-visible,"The indenture includes an equity-claw redemption path.","This does not mean an equity offering occurred.","Equity offering/redemption notices"
URIYSNT-020,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Equity claw redemption price,106.125,percent of principal,SEC Exhibit 4.1 indenture,Form of security equity offering redemption,"Equity-claw redemption price",indenture-term-visible,"The equity-claw redemption price is 106.125% of principal plus accrued/unpaid interest.","This is not market price or yield.","Equity offering/redemption notices"
URIYSNT-021,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Special mandatory redemption price,100.0,percent of principal,SEC Exhibit 4.1 indenture,Section 11.09,"If Yak failed to close by deadline or purchase agreement terminated, notes required redemption at 100% plus accrued/unpaid interest",yak-specific-indentured-term-visible,"The note indenture directly tied the financing to Yak through a special mandatory redemption provision.","The acquisition did close, so this is a contingency term, not a realized redemption.","Closing confirmation"
URIYSNT-022,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Change-of-control repurchase price,101.0,percent of principal,Q3 2024 10-Q debt note,Debt note covenant summary,"Change-of-control offer at 101% of principal plus accrued/unpaid interest",filed-term-summary,"The 10-Q summarizes a change-of-control repurchase obligation.","This does not mean a change of control occurred.","Indenture and future corporate actions"
URIYSNT-023,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Restrictive covenant categories,"liens; mergers and consolidations; SEC reporting",text,Q3 2024 10-Q debt note,Debt note covenant summary,"Debt note names covenant categories subject to exceptions and qualifications",filed-term-summary,"The notes have covenant boundaries around liens, mergers/consolidations, and SEC reporting.","This is not a full covenant extraction or basket calculation.","Full indenture covenant pass"
URIYSNT-024,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak senior-note terms,Investment-grade covenant suspension,investment-grade suspension,text,Q3 2024 10-Q debt note,Debt note covenant summary,"Subsidiary guarantees and change-of-control offer requirements do not apply during periods when notes are rated investment grade by both S&P and Moody's and no default is continuing",filed-term-summary,"Some protections can suspend if the investment-grade condition is met.","This row does not establish current ratings or default status.","Rating reports and covenant status"
URIYSNT-025,March 2024,United Rentals,URI,capital-intensive real-economy buildout,safe claim boundary,Yak senior-note terms safe claim,yak-senior-note-terms-visible,text,analysis/company-first-principles/capital-flow-uri-yak-senior-note-terms-pass-1.md,Synthesis,"Combines pricing release, indenture, and Q3 2024 debt note",safe-claim-boundary,"Yak note financing is visible at senior-note term level.","Do not promote this to investor allocation, exact ABL draw allocation, full purchase source-and-use, or Matting ROIC.","Offering memorandum, initial purchasers, ABL schedule, rating commentary"
