claim_id,derived_metric_id,platform,period,formula,input_values,result_value,result_unit,derived_claim,claim_boundary,source_tables,status
CF-004,DCF-001,Apollo / Athene,FY2025,"direct origination AUM + asset-backed finance AUM + opportunistic credit AUM + multi-credit AUM","302.1 + 282.7 + 50.0 + 40.9",675.7,USD billions,"Apollo disclosed at least 675.7B USD across four named credit-strategy AUM lanes in FY2025.","This is Apollo credit-strategy AUM scale, not a borrower-use-of-proceeds table and not proof of bank displacement.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-002,Apollo / Athene,FY2025,"direct origination AUM / selected Apollo credit-strategy AUM","302.1 / 675.7",44.71,percent,"Direct origination is the largest disclosed Apollo credit-strategy lane in this selected FY2025 credit set.","The denominator is the selected named credit-strategy lanes extracted here, not total Apollo AUM or total credit AUM.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-003,Apollo / Athene,FY2025,"asset-backed finance AUM / selected Apollo credit-strategy AUM","282.7 / 675.7",41.84,percent,"Asset-backed finance is nearly as large as direct origination in the selected Apollo FY2025 credit set.","This does not reveal collateral mix or credit quality inside ABF.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-004,Apollo / Athene,FY2025,"Athene Accounts fee-generating AUM / Athene Accounts AUM","386.5 / 392.2",98.55,percent,"Almost all extracted Athene-related account AUM was fee-generating for Apollo at FY2025 year-end.","This proves monetizable managed-account scale, not the exact spread or fee rate earned on each asset class.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-005,Apollo / Athene,FY2025,"Athene Accounts AUM / Apollo total AUM","392.2 / 938.0",41.81,percent,"Athene-related accounts represented about 41.8% of Apollo's FY2025 total AUM.","This uses Apollo's FY2025 total AUM from the source extraction notes; it does not mean all Athene-related AUM is private credit.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv; capital-flow-local-source-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-006,Apollo / Athene,FY2025,"net invested assets / gross invested assets","292.414 / 386.973",75.56,percent,"Athene net invested assets were about 75.6% of gross invested assets at FY2025 year-end after noncontrolling-interest and other adjustments.","This is an invested-asset reconciliation ratio, not a risk-quality measure by itself.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-007,Apollo / Athene,FY2025,"floating-rate liabilities / floating-rate investments","45.1 / 48.6",92.80,percent,"Athene's floating-rate liabilities offset about 92.8% of floating-rate investments at FY2025 year-end.","This supports rate-exposure management, not credit-loss safety.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-008,Apollo / Athene,FY2025,"net floating-rate assets / net invested assets","3.5 / 292.414",1.20,percent,"Athene's net floating-rate asset exposure was about 1.2% of net invested assets after liability offset.","This does not measure duration, convexity, hedges, or surrender behavior under stress.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-009,Apollo / Athene,FY2025,"capital available to deploy / net invested assets","8.6 / 292.414",2.94,percent,"Athene's disclosed capital available to deploy was about 2.9% of FY2025 net invested assets.","This is deployable capital capacity, not current private-credit exposure.","capital-flow-apollo-athene-fy2025-asset-quality-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-010,Brookfield Wealth Solutions,Q2 2026,"invested insurance assets * private-credit allocation","167.297 * 33%",55.208,USD billions,"Brookfield's disclosed 33% private-credit allocation implies about 55.2B USD of private-credit exposure on Q2 2026 invested insurance assets.","This is a derived allocation estimate using disclosed percent and invested assets; it still needs portfolio holdings and credit-quality schedules.","capital-flow-brookfield-wealth-solutions-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-011,Brookfield Wealth Solutions,Q2 2026,"invested insurance assets * public-credit allocation","167.297 * 49%",81.976,USD billions,"Brookfield's disclosed 49% public-credit allocation implies about 82.0B USD of public-credit exposure on Q2 2026 invested insurance assets.","This does not separate government corporate structured or other public-credit types.","capital-flow-brookfield-wealth-solutions-q2-2026-extractions.csv",derived-from-primary-source-extractions
