bridge_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFWAUR-001,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A company overview,PMPA model,Upfront-plus-delivery-payment structure,PMPA structure,qualitative,"Wheaton describes its PMPAs as upfront payments plus additional cash payments per ounce or pound delivered, generally fixed by contract or below prevailing market price.","This is model-level economics, not Antamina-specific realized cash margin.","Antamina PMPA agreement and stream-level realized sales/cost/depletion schedule.","Wheaton's business model supports a source-use-output-cash test, but realized Antamina return remains open."
CFWAUR-002,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A operations,Named use,Antamina BHP silver production interest,33.75,percent of Antamina silver production,"The MD&A identifies the BHP Antamina PMPA as the acquisition of BHP's 33.75% portion of Antamina silver production.","This does not by itself prove Wheaton's total Antamina entitlement, delivery schedule, or cash return.","Full BHP Antamina PMPA terms and mine delivery schedule.","The named use of capital is visible: Wheaton funded a specific Antamina silver stream interest."
CFWAUR-003,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r104.htm,Commitments to purchase mineral stream detail,PMPA contract term,Antamina cash payment term,20.00,percent of silver spot price on delivery,"The SEC-rendered commitment table shows Antamina silver deliveries carry a 20.00% per-ounce cash payment as a percentage of the price received.","This is not a full margin because delivery volume, realized price, depletion, taxes, and financing cost are not joined.","Antamina delivery ounces, realized price, depletion expense, tax allocation, and debt-service cost.","Antamina has visible per-delivery pricing economics; full cash margin remains open."
CFWAUR-004,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r104.htm,Commitments to purchase mineral stream detail,PMPA contract term,Antamina attributable payable production to be purchased,67.50,percent,"The SEC-rendered commitment table shows Wheaton's Antamina silver agreement covers 67.50% of attributable payable production to be purchased.","This does not give realized ounces, timing, or mine-level production forecasts.","Delivery schedule, payable-production forecast, and actual delivered ounces.","Antamina has visible output-entitlement terms, but actual output conversion remains open."
CFWAUR-005,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r104.htm,Commitments to purchase mineral stream detail,PMPA contract term,Antamina agreement term,Life of Mine,term,"The SEC-rendered commitment table shows the Antamina agreement term is life of mine.","This does not prove mine reserve life, delivery profile, or risk-adjusted duration.","Reserve report, mine plan, and PMPA delivery schedule.","Antamina has visible duration language, but durability proof requires production and reserve support."
CFWAUR-006,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r104.htm,Commitments to purchase mineral stream detail,PMPA contract term,Antamina original contract date,Nov. 03 2015,date,"The SEC-rendered commitment table ties Antamina's original contract date to November 3, 2015.","This does not isolate the 2026 BHP incremental acquisition terms.","2026 BHP Antamina PMPA purchase agreement or amendment.","The Antamina stream is an existing long-term contract family with 2026 incremental funding context."
CFWAUR-007,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A cash flows from investing activities,Use of cash,Antamina PMPA cash outflow,4300.000,USD millions,"The MD&A cash-flow detail shows a 4.300B USD cash payment for the Antamina PMPA during Q2 2026.","This does not prove expected return or delivery economics by itself.","Purchase agreement, delivery forecast, and cash receipt bridge.","The use of cash is named and quantified at Antamina."
CFWAUR-008,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A cash flows from investing activities,Use of cash,Total PMPA acquisition cash outflow,4472.250,USD millions,"The MD&A cash-flow detail shows 4.472250B USD of PMPA acquisition payments during Q2 2026, including Antamina and other PMPAs.","This includes non-Antamina items and cannot be treated as Antamina return.","PMPA-by-PMPA purchase agreements and stream economics.","The quarter's investing outflow is PMPA-heavy and dominated by Antamina."
CFWAUR-009,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A financing cash flows,Financing movement,Bank debt drawn,2700.000,USD millions,"The MD&A cash-flow detail shows 2.700B USD of bank debt drawn during Q2 2026.","This does not allocate every dollar drawn to Antamina or prove lender economics.","Debt draw schedule, funds-flow evidence, and facility/lender allocation.","Wheaton has visible financing movement in the same quarter as the Antamina PMPA outflow."
CFWAUR-010,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A financing cash flows,Financing movement,Bank debt repaid,728.000,USD millions,"The MD&A cash-flow detail shows 728.000M USD of bank debt repaid during Q2 2026.","This does not prove debt-service waterfall or net financing cost.","Debt schedule, repayment purpose, and maturity/pricing detail.","Wheaton has visible intra-quarter financing movement, but debt-service economics remain open."
CFWAUR-011,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r22.htm,Bank debt note,Facility capacity,Revolving credit facility size,2500.000,USD millions,"The SEC-rendered bank debt note shows the unsecured revolver was expanded by 500M USD to 2.5B USD and extended to June 30 2031, with a 500M USD accordion.","This does not prove Antamina-specific borrowing allocation or all lender shares.","Credit agreement amendment, lender schedule, borrowing notice, and funds-flow statement.","Wheaton's facility capacity and maturity runway are visible."
CFWAUR-012,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r22.htm,Bank debt note,Facility pricing and covenant,Revolver pricing and covenant,"SOFR + 1.10% to 2.15%; capitalization ratio covenant <= 0.60:1",pricing/covenant,"The SEC-rendered bank debt note shows revolver pricing tied to leverage ratio and a capitalization-ratio covenant with compliance at June 30 2026.","This does not prove realized interest expense by draw, lender allocation, or covenant headroom after the PMPA.","Facility agreement, compliance certificate, and post-transaction capitalization schedule.","Wheaton has visible facility pricing/covenant boundaries for the Antamina financing test."
CFWAUR-013,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-r22.htm,Bank debt note,Facility capacity,Term loan,1500.000,USD millions,"The SEC-rendered bank debt note shows a new unsecured 1.5B USD non-revolving term loan entered April 1 2026 with two-year maturity and no-penalty prepayment.","This does not prove lender allocation or exact Antamina funds-flow.","Term loan agreement, lender list, and funds-flow statement.","Wheaton has visible acquisition-financing debt capacity in the same quarter as Antamina funding."
CFWAUR-014,Wheaton Precious Metals Corp.,WPM,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/wheaton/q2-2026/wpm-20260630-ex99-2-mda.htm,MD&A operations,Company output,Production,202200,GEOs,"The MD&A states Q2 2026 production was 202,200 gold equivalent ounces and increased 6%, helped by the BHP Antamina PMPA and other mine starts/restarts.","This is company-level output and cannot isolate Antamina deliveries.","Mine-by-mine production table and Antamina delivered silver ounces.","Wheaton has operating output in the same period, but Antamina-specific output remains open."
