stack_id,queue_id,borrower_case,evidence_gate,evidence_source,current_status,value_or_metric,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_effect,safe_claim
CFABFUCP-001,CFE2EGUQ-003,Ares borrower lane,lane selection,Ares borrower holder expansion pass,source-visible,9 borrower cases normalized,The Ares lane has named borrower destination coverage across multiple sectors,No single borrower reaches total facility or cash-realization proof,Choose the strongest borrower case for facility-use testing,sets Frontline as priority borrower test,Ares has a borrower-destination lane but not full cash proof.
CFABFUCP-002,CFE2EGUQ-003,Frontline Road Safety,operating borrower,Bain and Sterling transaction releases,source-visible,largest U.S. pavement-marking provider; over 50 locations; about 1750 employees,Frontline is an operating services borrower tied to roadway safety work,Revenue EBITDA capex margin and cash conversion are not visible,Borrower financials rating report or lender presentation,passes operating-destination gate,Frontline is a real-economy roadway safety services borrower.
CFABFUCP-003,CFE2EGUQ-003,Frontline Road Safety,sponsor transaction,Bain and Sterling transaction releases,source-visible,January 2025 agreement and March 2025 sale completion,Bain acquisition or strategic investment context is visible,Purchase price financing terms and debt package are not disclosed,Merger financing summary purchase agreement or rating report,passes sponsor-transaction gate,Frontline has sponsor transaction context.
CFABFUCP-004,CFE2EGUQ-003,Frontline Road Safety,Ares arranger role,Ares Q2 2026 direct-lending origination release,source-visible,Ares lead arranger and bookrunner for senior secured facility supporting Bain continued growth plans,Ares is linked to a named senior secured facility for Frontline,Facility size funded amount lender group use of proceeds and bank repayment are not disclosed,Credit agreement rating report lender announcement or financing summary,passes arranger-role gate,Ares has transaction-role evidence for Frontline.
CFABFUCP-005,CFE2EGUQ-003,Frontline Road Safety,Q2 holder rows,Frontline SEC holder crosswalk,source-visible,Controlled FSK 132.800M; K-FITS 47.936M; GSBD 17.939M fair value; current broader same-period reported fair-value view 622.8244M plus 130.796M reported commitments,Multiple SEC-filed vehicles report Frontline first-lien exposure or commitment capacity in Q2 2026,These rows do not equal total facility size or Ares allocation,Facility agreement and lender allocation schedule,passes holder-dollar gate,Frontline has a 198.675M USD controlled lower bound and 622.8244M USD current same-period reported fair-value breadth; reported commitments total 130.796M USD.
CFABFUCP-006,CFE2EGUQ-003,Frontline Road Safety,Ares-managed holder context,Frontline SEC holder crosswalk,source-visible,Q1 2026 ASIF fair value 76.6927M USD,Ares-managed vehicle exposure is visible one quarter before Q2 holder stack,It is not a same-date Q2 total and should not be added to Q2 exposure without caution,Q2 ASIF schedule or roll-forward support,adds Ares-managed holder context,ASIF provides Ares-managed Frontline holder evidence with period boundary.
CFABFUCP-007,CFE2EGUQ-003,Frontline Road Safety,commitment context,Frontline SEC holder crosswalk,source-visible,GSPCC Q1 2026 53.688M; GSBD Q2 2026 0.612M commitments,Unfunded capacity or commitment rows are visible,Commitments are not drawn debt and do not prove total facility size,Commitment schedule mapped to facility document,passes commitment-context gate,Frontline has visible commitment context but not drawn cash proof.
CFABFUCP-008,CFE2EGUQ-003,Frontline Road Safety,instrument terms,Frontline SEC holder crosswalk,source-visible,first-lien senior secured loans; SOFR plus 4.75 to 5.00 percent; maturity around March 2032,Instrument type pricing range and maturity cluster are visible,Collateral package covenant structure lender group and proceeds are not visible,Credit agreement or rating report,passes instrument-marker gate,Frontline holder rows have first-lien term markers.
CFABFUCP-009,CFE2EGUQ-003,Frontline Road Safety,same-period control,Ares borrower same-period exposure summary,derived-control,Q2 2026 selected period; 16 same-period rows; Q1 2026 excluded,The breadth view is constrained to one reporting period but includes mixed holder and commitment rows,It does not prove facility size or cash received by borrower,Facility-size reconstruction source,improves denominator discipline,Use the 198.675M USD controlled lower bound and keep 622.8244M USD reported fair-value breadth plus 130.796M USD reported commitments as non-controlled until overlap is mapped.
CFABFUCP-010,CFE2EGUQ-003,Frontline Road Safety,use of proceeds,Frontline facility use bridge,partial-hold,continued growth plans language only,Use is directionally tied to growth support,Organic growth acquisitions refinancing capex working capital and liquidity are not separated,Use-of-proceeds schedule credit agreement or rating report,holds use-of-proceeds gate,Continued growth plans is a clue not a use-of-proceeds proof.
CFABFUCP-011,CFE2EGUQ-003,Frontline Road Safety,bank role,Frontline facility use bridge,missing,No payoff termination amendment UCC or prior bank denominator captured,Bank replacement is not proven,Bank takeout or residual bank role,Payoff letter UCC termination amendment or lender list,holds bank-role gate,Do not claim private credit replaced banks in Frontline.
CFABFUCP-012,CFE2EGUQ-003,Frontline Road Safety,borrower cash generation,Frontline facility use bridge,missing,No borrower revenue EBITDA free cash flow margin or debt service captured,No borrower operating cash conversion is proven,It does not prove borrower debt service lender receipt or repayment,Operating financials rating report lender presentation or sponsor disclosure,holds cash-generation gate,Frontline is borrower-destination proof not cash-realization proof.
CFABFUCP-013,CFE2EGUQ-003,Frontline Road Safety,facility reconstruction,Frontline facility use bridge,missing,No total facility size lender allocation or tranche map captured,Visible holder rows cannot be scaled to whole facility,It does not prove the full facility size or Ares allocation,Full credit agreement rating report or lender allocation schedule,holds facility-size gate,Visible holder fair value is partial exposure only.
