diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFAASCBCHID-001,inspection_rows,100,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-002,total_top100_consideration,23817173163.000000,USD,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-003,same_cusip_top100_consideration,11989467377.000000,USD,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-004,tier1_same_cusip_cash_candidate_count,34,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-005,tier1_same_cusip_cash_candidate_consideration,7690348231.000000,USD,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-006,tier2_same_cusip_noncash_or_transfer_hold_count,7,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-007,tier3_disposal_only_or_no_year_end_holding_count,59,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-008,economic_class_count__market-sale-or-counterparty-cash-candidate,49,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-009,economic_class_count__principal-paydown-cash-candidate,25,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-010,economic_class_count__tax-free-exchange-hold,20,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-011,economic_class_count__redemption-or-call-cash-candidate,3,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-012,economic_class_count__security-withdrawal-hold,2,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
CFAASCBCHID-013,economic_class_count__direct-or-private-transfer-hold,1,count,high-dollar CUSIP cash-back candidate ranking and disposition classification,"classification is heuristic and supports inspection priority, not final accounting or return proof","inspect source rows for tier-1 candidates first, then decide whether tier-2 rows are noncash exchanges/transfers or real cash settlements"
