synthesis_id,queue_id,rank,case_name,lane,who_controls_money,source_of_money,how_money_moves,into_what,cash_back_mechanism,current_best_proof,proof_grade,missing_proof,next_source_to_upgrade,safe_answer,source_artifact
CFEMMS-001,CFE2EGUQ-001,1,Wheaton Antamina,streaming_pmpa,Wheaton Precious Metals,Bank debt revolver term-loan capacity and operating cash flow,Upfront PMPA payment buys future payable production rights,Antamina production stream,Stream revenue operating cash flow profit and asset denominator,Named asset source/use/cash-return proxy,strongest named asset cash-return proxy,"Full PMPA return, delivery curve, tax/interest allocation, debt-service waterfall, reserve-life sufficiency, IRR and NPV remain missing.","Delivered ounces, cash receipts, tax allocation, debt-service schedule, lender allocation, reserve-life support, IRR/NPV model.",Wheaton is the strongest current cash-return proxy but not full PMPA return proof.,capital-flow-wheaton-antamina-cash-return-proof-stack-pass-1.md
CFEMMS-002,CFE2EGUQ-002,2,FPL Distribution Inspection,regulated_utility_recovery,FPL / NextEra Energy,Customer recovery mechanism regulated capital structure and utility cash/debt/equity support,SPPCRC clause recovery and true-up mechanics fund/recover storm-protection costs,Distribution Inspection storm-protection category,Final true-up aggregate clause revenue factor authority and FPL cash context,Regulated recovery bridge,strongest regulated recovery bridge,"Category customer receipts, billing determinant allocation, source-of-funds allocation, project IRR and earned shareholder return remain missing.","2027 SPPCRC actual/estimated filing, billing determinants, category allocation workpapers, customer receipts, financing support.",FPL is the best regulated recovery-to-cash bridge but not category customer-receipt or funding-allocation proof.,capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.md
CFEMMS-003,CFE2EGUQ-007,3,Cheniere LNG,lng_project_finance,Cheniere Energy and operating subsidiaries,Company cash generation equity-funded growth capex and entity debt buckets,Capital stack funds LNG trains and terminals under long-duration customer demand,SPL/CCL trains Corpus Christi Stage 3 and cargo output,Revenue adjusted EBITDA DCF DOE cargo/volume and SPA denominator,Source/use/output/customer-demand evidence,strong output/customer-demand cash proxy,"Train cost, debt draw, restricted cash, SPA economics, cargo-to-contract attribution, revenue, EBITDA, distribution, debt-service coverage and project return remain missing.","SPL/CQP/CCH indentures, train capex, restricted accounts, SPA pricing, cargo mapping, entity EBITDA and debt-service waterfall.",Cheniere has strong LNG source/use/output/customer-demand evidence but not train-level cash-waterfall proof.,capital-flow-cheniere-project-cash-waterfall-source-target-pass-1.md
CFEMMS-004,CFE2EGUQ-006,4,United Rentals fleet,fleet_asset_finance,United Rentals,Rental-equipment purchase cash gross rental capex equipment-sale proceeds and collateral capacity,Cash purchases and fleet investment generate owned-rental output,Rental fleet and Specialty/General equipment segments,OEC rental revenue/OEC margin OCF/capex and sale proceeds,Fleet cash-yield proxy,strong fleet cash-yield proxy,"Fleet-class OEC, utilization, growth/replacement capex, legal borrowing-base availability, reserves, advance rates, source-to-purchase allocation and ROIC remain missing.","Fleet category OEC, utilization, growth/replacement capex, borrowing-base certificates, collateral reports, segment operating profit.",URI has strong fleet cash-yield proxy evidence but not full fleet-class cash-yield or ROIC proof.,capital-flow-uri-fleet-cash-yield-source-target-pass-1.md
CFEMMS-005,CFE2EGUQ-004,5,Sterling backlog,project_backlog_conversion,Sterling Infrastructure,Backlog/RPO contract liabilities operating cash and expanded credit wrapper,Awards and credit support project execution into revenue and cash timing,E-infrastructure transportation and building-solutions backlog,OCF less capex contract liabilities debt/RPO and credit capacity,Backlog-to-company-cash proxy,strong backlog conversion proxy,"Named owner funding, project margin, retainage/cash collection, bonded backlog, actual post-reset L/C usage and source-to-project allocation remain missing.","Owner budgets, funded-award evidence, retainage/receivable aging, bonded backlog, L/C usage, project margin and collections.",Sterling has strong backlog-to-company-cash conversion evidence but not project cash collection proof.,capital-flow-sterling-project-cash-collection-source-target-pass-1.md
CFEMMS-006,CFE2EGUQ-005,6,Energy Transfer projects,midstream_project_finance,Energy Transfer,DCF adjusted EBITDA revolver availability debt stack and growth capex budget,Company capital stack funds midstream/export expansion projects,Nederland Lone Star y-grade NGL and export projects,Company EBITDA DCF output volume and refinancing capacity,Company-level source/use/output/cash proxy,strong company project proxy,"Project cost, exact source-to-project allocation, customer cash, tariff billing volume, utilization, project EBITDA, DCF contribution, debt service and return remain missing.","Project capital schedules, shipper/customer contracts, tariff billing volumes, utilization, project EBITDA bridge and debt-service allocation.",Energy Transfer has strong company-level source/use/output/cash-proxy evidence but not named-project cash-realization proof.,capital-flow-energy-transfer-project-cash-realization-pass-1.md
CFEMMS-007,CFE2EGUQ-013,7,Apollo/Athene insurance channel,insurance_private_credit,Apollo and Athene,Retirement-services inflows Athene inflows insurance liabilities and invested assets,Liability-channel money moves into credit and alternatives,Athene invested assets alternatives direct origination and asset-backed finance,Spread-related earnings invested-asset base and deployable capital,Liability-channel spread proxy,insurance spread/cash proxy,"Statutory holdings, Schedule D/BA asset income, realized gains/losses, impairments, NAIC designations, rating migration, liability cost and borrower cash remain missing.","Athene statutory filings, Schedule D/BA, investment income schedules, realized gain/loss schedules, impairments, NAIC designations.",Apollo/Athene has liability-channel invested-asset and spread-earnings evidence but statutory asset-income and credit-quality proof remain missing.,capital-flow-apollo-athene-statutory-cash-return-pass-1.md
CFEMMS-008,CFE2EGUQ-014,8,KKR / Global Atlantic channel,insurance_private_credit,KKR and Global Atlantic,Insurance liabilities credit AUM and Ivy/sponsored reinsurance vehicle capital,Insurance balance sheet and credit platform route money into investment assets,Fixed maturities mortgage and other loans and credit investments,Investment income loan income LTV and allowance proxies,Insurance asset-income/credit-quality proxy,insurance asset-income proxy,"Statutory legal-entity schedules, Schedule D/BA holdings, NAIC designations, vehicle-to-borrower allocation, borrower facility use, cash receipts and liability-cost spread remain missing.","Global Atlantic statutory filings, Schedule D/BA, NAIC schedules, borrower/facility schedules, FHLB collateral files and liability-cost schedules.",KKR/Global Atlantic has insurance balance-sheet asset-income and credit-quality proxy evidence but statutory vehicle-to-borrower allocation remains unproven.,capital-flow-kkr-global-atlantic-borrower-allocation-pass-1.md
CFEMMS-009,CFE2EGUQ-003,9,Ares borrower exposure,private_credit_direct_lending,Ares and Ares-managed vehicles,Ares-managed BDC and private-credit vehicle capital,Holder vehicles report named borrower exposure and commitments,Frontline Road Safety and other borrower exposures,Fair value and commitment destination evidence,Named borrower destination and holder-dollar proof,named borrower destination proof,"Total facility size, use of proceeds, borrower cash generation, lender allocation, Ares funded allocation, debt-service coverage and bank-role proof remain missing.","Borrower credit agreement, lender schedule, payoff letter, borrower financials, repayment evidence, bank residual role support.",Ares reaches named borrower destination and holder-dollar proof through Frontline but not full facility/use/cash proof.,capital-flow-ares-borrower-facility-use-cash-proof-stack-pass-1.md
CFEMMS-010,CFE2EGUQ-015,10,Blackstone credit channel,private_credit_direct_lending,Blackstone Credit & Insurance,Credit & Insurance AUM direct-lending inflows BCRED insurance SMAs and platform capital,Platform and vehicle channels route capital into credit strategies and industry exposure,BXSL industries and borrower candidates including Auctane Guidehouse and Medallia,Segment distributable earnings deployment and strategy return proxy,Channel/vehicle/borrower-candidate proof,channel and borrower-candidate proof,"Source vehicle funding, lender allocations, borrower facility use, interest income by borrower, repayment/cash flow, credit quality, allocation method and residual bank role remain missing.","BXSL/BCRED schedules, N-PORT, SMA holdings, borrower credit agreements, lender allocations, payoff letters and borrower financials.",Blackstone has credit and insurance channel scale plus borrower candidate evidence but borrower-use and cash-return proof remain incomplete.,capital-flow-blackstone-credit-borrower-use-cash-pass-1.md
CFEMMS-011,CFE2EGUQ-009,11,Matador borrowing base,e_and_p_treasury,Matador Resources,Operating cash Credit Agreement movement San Mateo movement senior-note funding and borrowing-base capacity,Treasury and borrowing-base capacity fund capex acquisitions and liquidity,Development capex BLM Acquisition and reserve-backed assets,Production revenue borrowing-base and debt-service context,Aggregate source/use and output/cash context,aggregate source/use proof,"Borrowing notices, lender commitments, reserve values, note proceeds, operating cash allocation, acquisition funds-flow, well/asset contribution, LOE, cash margin and asset-level return remain missing.","Borrowing notices, lender schedules, reserve report, BLM closing statement, acquisition funds-flow and asset-area production/cash margin.",Matador has aggregate source/use plus borrowing-base and output/cash context but not source-specific asset-cash proof.,capital-flow-matador-source-specific-asset-cash-pass-1.md
