claim_id,theme,publication_status,approved_sentence,proof_level,evidence_route,boundary,forbidden_sentence,use_conditions,contrary_role_check,next_proof
PCRC-001,Cross-lane governance,publication-ready-bounded,"The capital-flow thesis should be written as a chain from capital source to vehicle to company to asset or backlog to output to cash or return to durability.","method-ready","capital-flow-big-picture-remaining-work-map-pass-1.md; capital-flow-current-answer-brief-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md","The full chain is proven only in pieces.","The full capital-flow chain is already proven across all sectors and companies.","Use as method framing, not as an empirical completion claim.","Check whether any sentence skips source, use, output, cash, durability, or denominator controls.","Company-role taxonomy and full 519-company extraction template."
PCRC-002,Private-credit platforms,publication-ready-bounded,"Ares and other alternative managers are large credit-routing platforms with measurable AUM, direct-lending AUM, deployment, and borrower examples.","platform-scale-visible","capital-flow-current-answer-brief-pass-1.md; capital-flow-promoted-claims-and-overclaims-pass-1.md; capital-flow-ares-borrower-holder-expansion-pass-1.md","Platform scale does not allocate dollars to a named borrower without vehicle and borrower bridges.","Private credit is broadly replacing banks across lending markets.","Use only for scale and routing language, not borrower allocation or bank-displacement language.","Check bank denominator trends and post-close bank roles before any replacement claim.","Bank/private-credit lane share pass."
PCRC-003,Borrower destination,publication-ready-bounded,"Private credit reaches named borrowers in identifiable industries, and the Ares borrower holder-expansion now normalizes 83 holder/source-taxonomized rows plus a 9-row same-period borrower control.","borrower-holder-visible","capital-flow-ares-borrower-holder-expansion-pass-1.md; capital-flow-ares-borrower-same-period-exposure-summary-pass-1.csv; capital-flow-master-borrower-exposure-rollup.md","Holder rows are partial slices and are not total borrower debt unless reconciled to facility documents.","Visible BDC fair value equals total borrower debt or total facility size.","Use borrower-holder numbers only with period, row type, source channel, and rollup controls.","Check whether rows are same-period, duplicated, comparative, transaction-only, or derived summaries.","Borrower facility-size reconstruction."
PCRC-004,Bank replacement,publication-ready-bounded,"Specific borrower-level bank-facility takeout can be proven in selected cases, while broad bank replacement remains unproven.","isolated-case-visible","capital-flow-bank-role-after-private-credit-pass-1.md; capital-flow-auctane-post-close-bank-role-pass-1.md; capital-flow-medallia-lender-allocation-repayment-pass-1.md; capital-flow-answer-resolution-queue-pass-1.md","Banks may remain as agents, revolver lenders, hedging providers, treasury providers, custody banks, or collateral-facility lenders.","Banks are disappearing from corporate lending.","Use only for selected borrower cases where prior facility status and new financing role are documented.","Check post-close bank roles and lane-matched bank-credit denominators.","Bank-replacement pattern proof and bank/private-credit lane share pass."
PCRC-005,Insurance and retirement capital,internal-not-publication-ready,"Insurance and retirement-linked platforms are visible credit-supply channels, but borrower-level and statutory-quality linkage remains incomplete.","platform-channel-visible","capital-flow-current-answer-brief-pass-1.md; capital-flow-promoted-claims-and-overclaims-pass-1.md; Apollo/Athene and KKR/Global Atlantic platform rows in the evidence ledger","Statutory asset quality, NAIC designations, capital treatment, and borrower destination links remain incomplete.","All insurance assets are private credit or all insurance risk has moved outside banks.","Use only as internal research framing until statutory evidence is extracted.","Check whether assets are public IG, affiliated, structured, impaired, or capital-intensive before making quality claims.","Insurance statutory quality pass."
PCRC-006,Power and grid,publication-ready-bounded,"Some large-load and power-demand evidence has moved into tariffs, ESAs, dockets, and utility planning processes.","official-process-visible","capital-flow-power-grid-first-extraction-pass.md; capital-flow-power-grid-source-upgrade.md; capital-flow-power-grid-claim-dashboard.md","Approval, construction, recovery, MW, customer risk, and in-service status vary by jurisdiction and project.","AI demand has already created fully funded in-service power assets everywhere.","Use only where docket, tariff, ESA, or utility-plan evidence is named.","Check whether load is speculative, cancellable, unapproved, unrecovered, or not yet in service.","Power/load project status pass."
PCRC-007,Regulated utilities,publication-ready-bounded,"Utilities can fund approved assets with debt and equity and recover costs from customers when regulators authorize rate-base or rider treatment.","regulatory-mechanism-visible","capital-flow-power-grid-claim-dashboard.md; utility docket and denominator maps in the evidence ledger","Recoverability depends on jurisdiction, order, allowed ROE, capital structure, rider mechanics, lag, and disallowance risk.","Every utility capex dollar is recoverable at attractive returns.","Use only with jurisdiction and recovery mechanism attached.","Check for disallowance, lower ROE, lag, denial, customer affordability limits, and prudence review.","Utility recovery mechanism pass."
PCRC-008,Energy infrastructure,publication-ready-bounded,"ET and Cheniere show source-backed evidence of energy infrastructure funding capacity and physical output, with Cheniere providing the strongest cargo/entity-debt bridge; full project-level source-of-funds and return proof remain open.","company-entity-output-visible","capital-flow-energy-project-source-use-return-pass-1.md; capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md; capital-flow-capital-intensive-energy-project-denominator-pass-1.md","Named-project cost, financing source, use allocation, customer economics, debt service, waterfall, and return remain open.","ET and Cheniere project returns and source-of-funds are fully proven.","Use only as company/entity/physical-output evidence, not project-and-cash-grade proof.","Check whether output can be attributed to a named project and whether funding ties to that project.","Named-project source-use-return registry for ET and Cheniere."
PCRC-009,United Rentals,publication-ready-bounded,"United Rentals is a repeated-period fleet capital-to-output proxy case with visible rental revenue, fleet productivity, OEC growth, cash coverage, collateral proxies, and Yak acquisition funding-chain evidence.","repeated-proxy-visible","capital-flow-operating-conversion-scorecard-pass-1.md; URI ABL/AR/Yak artifacts listed in the evidence ledger","True fleet ROIC, true utilization, legal borrowing-base availability, growth-versus-replacement capex, and source-to-purchase allocation remain unproven.","All URI fleet capex is high-return growth capex or fully collateral-protected funding.","Use as proxy-grade operating conversion, not asset-level ROIC or collateral certificate proof.","Check replacement capex, utilization, eligible collateral, reserve, advance-rate, and source-to-purchase gaps.","URI fleet utilization, category economics, borrowing-base certificate, and purchase allocation passes."
PCRC-010,Sterling,publication-ready-bounded,"Sterling is a conversion-supported customer-project execution and acquisition platform whose funding need is timing, retainage, bonding and L/C support, working capital, capex, acquisitions, and backlog conversion.","conversion-supported-with-boundary","capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md; capital-flow-sterling-eight-quarter-contract-capital-conversion-pass-1.md; capital-flow-sterling-lc-surety-usage-boundary-pass-1.md","Project-owner source-of-funds, actual post-reset L/C usage, bonded backlog, formal covenant cushion, project margin, cancellation economics, and source-to-project credit allocation remain missing.","Sterling's entire backlog is fully customer-funded, non-cancellable, organic, high-margin, and risk-free.","Use as company-level backlog/cash/funding-wrapper mechanism, not project-source proof.","Check acquired backlog, unsigned awards, L/C usage, surety usage, margin, and cancellation data.","Sterling project/customer funding and post-reset L/C usage bridge."
