company,period,revenue_musd,operating_cash_flow_musd,property_spending_musd,cash_after_property_musd,inventory_signal,working_capital_signal,owner_cash_status,source_artifact,next_upgrade
TJX,FY2024,54217,6057,1722,4335,Inventory 5882 and inventory used 145 of cash,Accounts payable supplied 64,reported-cash-bridge,../deep-company-pages/the-tjx-companies-inc.md,Separate maintenance versus growth capex leases dilution and cash per share
TJX,FY2025,56360,6116,1918,4198,Inventory 6421 and inventory used 539 of cash,Accounts payable supplied 448,reported-cash-bridge,../deep-company-pages/the-tjx-companies-inc.md,Separate maintenance versus growth capex leases dilution and cash per share
TJX,FY2026,60372,6874,1957,4917,Inventory 7297 and inventory used 724 of cash,Accounts payable supplied 239; share-based compensation 214; repurchases 2522,qualified,../deep-company-pages/the-tjx-companies-inc.md,Separate maintenance versus growth capex leases dilution and cash per share
TJX,Q1 FY2027,14300,,,,Current dossier reports comparable sales growth 6 percent,Not populated in current dossier,unresolved,../deep-company-pages/the-tjx-companies-inc.md,Separate transactions ticket inventory turns markdowns and cash conversion from the next filing
TJX,H1 FY2027,29503,3345,1159,2186,Inventory 7862 and inventory used 603 of cash,"Accounts payable supplied 470; share-based compensation 85; repurchases 1418; tariff refunds and credit-card interchange settlement increased operating cash flow",qualified,../deep-company-pages/the-tjx-companies-inc.md,"Separate tariff and settlement benefits, maintenance versus growth capex, lease burden, and diluted-share cash"
Target,FY2023,107412,8621,4806,3815,Not separately normalized in this bridge,Not separately normalized in this bridge,reported-cash-bridge,../deep-company-pages/target-corporation.md,Split maintenance versus growth capex and normalize vendor income leases and dilution
Target,FY2024,106566,7367,2891,4476,Not separately normalized in this bridge,Not separately normalized in this bridge,reported-cash-bridge,../deep-company-pages/target-corporation.md,Split maintenance versus growth capex and normalize vendor income leases and dilution
Target,FY2025,104780,6562,3727,2835,Inventory and payables weakened cash conversion,Accounts-payable leverage and inventory effects became less favorable,qualified,../deep-company-pages/target-corporation.md,Complete FY2026 bridge including tariff refund vendor obligations inventory payables capex and cash per share
Target,H1 2026,51982,4519,2404,2115,Inventory 13200,Accounts payable supplied 612 and supplier-finance eligible vendor obligations were 3200,qualified,../deep-company-pages/target-corporation.md,Normalize tariff refund vendor income inventory payable timing and full-year capex
Walmart,FY2024,642637,35726,20606,15120,Not separately normalized in this bridge,Company-defined FCF excludes debt service contractual obligations and acquisitions,reported-cash-bridge,../deep-company-pages/walmart-inc.md,Split maintenance versus growth capex leases debt taxes and dilution
Walmart,FY2025,674538,36443,23783,12660,Not separately normalized in this bridge,Company-defined FCF excludes debt service contractual obligations and acquisitions,reported-cash-bridge,../deep-company-pages/walmart-inc.md,Split maintenance versus growth capex leases debt taxes and dilution
Walmart,FY2026,706413,41565,26642,14923,OCF benefited from lower cash taxes and payment timing,Company-defined FCF excludes debt service contractual obligations and acquisitions,qualified,../deep-company-pages/walmart-inc.md,Separate attached-service contribution and normalized tax inventory payable and reinvestment effects
Walmart,H1 FY2027,361784,19710,14181,5529,Inventory used 2660 of cash,Accounts payable supplied 1648 and capex rose 2800 year over year,qualified,../deep-company-pages/walmart-inc.md,Separate maintenance versus growth capex and attached-service cash after fulfillment leases debt and SBC
