field,value,context,owner_cash_status
six_month_operating_cash_flow,"$1.784B","H1 2026","observed"
prior_year_six_month_operating_cash_flow,"$1.753B","H1 2025","comparison"
six_month_pp&e_capex,"$2.834B","H1 2026 purchases of other PP&E","growth-and-maintenance-mixed"
six_month_real_estate_acquisitions,"$224M","H1 2026","acquisition burden"
six_month_business_acquisitions,"$0M","H1 2026","observed"
visible_growth_cash_bridge,"$(1.274)B","OCF less PP&E capex less real-estate acquisitions","diagnostic only"
six_month_dividends_paid,"$1.029B","H1 2026","common-owner distribution"
six_month_affo_common,"$2.233B","H1 2026 non-GAAP","definition-sensitive"
six_month_diluted_affo_per_share,"$22.57","H1 2026","per-share non-GAAP"
prior_year_six_month_diluted_affo_per_share,"$19.59","H1 2025","comparison"
six_month_sbc,"$273M","H1 2026","requires dilution treatment"
receivables_increase,"$255M","$1.001B to $1.256B from Jan 1 to Jun 30","working-capital funding"
receivables_operating_cash_use,"$258M","H1 2026 cash-flow statement","working-capital funding"
remaining_performance_obligations,"$15.0B","June 30 2026","not current cash"
xscale_equity_method_investments,"$735M","June 30 2026","JV perimeter"
total_equity_method_investments,"$751M","June 30 2026","JV perimeter"
loan_commitment,"$392M","disclosed VIE/JV table","attached claim"
future_equity_contribution_commitments,"$118M","disclosed VIE/JV table","attached claim"
debt_guarantee_maximum_future_payments,"$48M","disclosed VIE/JV table","attached claim"
senior_note_principal,"$19.873B","June 30 2026","financing claim"
lease_payments_commitment,"$5.0B","material cash commitments","physical/contractual claim"
unaccrued_capex_commitments,"$6.1B","primarily IBX equipment and construction","future liquidity claim"
other_purchase_commitments,"$2.1B","includes power purchases and open orders","future liquidity claim"
fy2026_total_capex_guidance,"$5.0-$6.0B","revised July 29 2026","growth-capital burden"
fy2026_recurring_capex_guidance,"$290-$310M","revised July 29 2026","definition-sensitive"
fy2026_affo_guidance,"$4.240-$4.300B","revised July 29 2026","non-GAAP"
fy2026_cash_dividend_guidance,"$2.039B","revised July 29 2026","common-owner distribution"
normalized_owner_cash,"not calculated","requires project return, power, lease-up, JV/VIE, debt, and dilution bridge","missing"
