"route_id","pilot_id","company","related_proof_ids","priority","source_route_label","official_source_url","official_source_type","source_visibility","acquisition_method","expected_fields","expected_upgrade","known_boundary","next_action","safe_claim"
"CFPGSR-001","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","1","Plains customer tariff search route","https://www.plains.com/customers/tariffs-search/","company tariff search portal","route-visible","Use Plains tariff search for Cactus, Cactus III, EPIC, Corpus Christi, Permian, and related pipeline entity names.","tariff name; pipeline entity; origin/destination; effective date; rate schedule; commodity; filing reference","tariff-route-visible if Cactus III or predecessor tariff is located","Search route does not by itself prove committed shippers, contract duration, minimum volume, or return economics.","Run targeted tariff search and capture exact tariff PDFs or tariff records into the acquisition manifest.","Plains has an official tariff route to pursue; commercial durability remains unproven until exact Cactus III tariff and shipper support are captured."
"CFPGSR-002","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","1","FERC eLibrary Cactus pipeline tariff filing route","https://elibrary.ferc.gov/eLibrary/docinfo?accession_Number=20260715-5107","FERC eLibrary tariff filing metadata","record-visible","Use accession metadata and related eLibrary search terms to find tariff PDFs and nearby Cactus/Cactus III filings.","accession number; pipeline name; filing date; effective date; tariff action; rate schedule attachment","federal-tariff-filing-route-visible","The discovered accession references Cactus II, so it is a route/control record, not proof for Cactus III by itself.","Search eLibrary by Plains, Cactus, Cactus III, EPIC, Corpus Christi, and 2026 effective dates; acquire exact tariff attachments.","FERC eLibrary is an official tariff path, but exact asset matching is still open."
"CFPGSR-003","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010","1","Texas RRC active common-carrier pipeline tariff route","https://www.rrc.texas.gov/gas-services/common-carrier-pipeline-tariffs/","state regulator tariff index","route-visible","Search the RRC active tariff index and use open-records request path when a tariff is not online.","Texas tariff number; pipeline carrier; commodity; intrastate rate; effective date; public request path","state-tariff-route-visible","State tariff availability may cover intrastate legs only and may not expose private shipper commitments.","Search RRC index for Plains, Cactus, EPIC, and Corpus Christi crude pipeline entities; queue missing tariff copies if not online.","Texas tariff records can support rate/route proof, not committed-volume proof."
"CFPGSR-004","CF519P2-012","Plains All American Pipeline, L.P.","CFPGS-010; CFPGS-011; CFPGS-012","2","Plains SEC filing route for commercial contracts, debt, and post-sale segment evidence","https://www.sec.gov/edgar/browse/?CIK=1070423","SEC company filing index","route-visible","Acquire latest 10-K/10-Q filings and exhibits around Cactus III, EPIC acquisition, divestiture proceeds, debt maturity, and segment EBITDA.","commercial contract language; acquisition terms; divestiture proceeds; debt maturities; interest cost; segment EBITDA; risk factors","commercial-and-capital-stack-route-visible","SEC filings may summarize contracts and debt but usually do not disclose individual shipper economics.","Acquire latest Plains 10-K/10-Q and any 8-K acquisition/divestiture exhibits; parse debt footnote and segment discussion.","Plains can be upgraded from capacity evidence toward capital-stack and commercial-context evidence, but not full shipper-level return without tariff/contract records."
"CFPGSR-005","CF519P2-014","NextEra Energy, Inc.","CFPGS-017; CFPGS-019","1","Florida PSC Docket 20250011-EI rate-case docket route","https://www.psc.state.fl.us/clerks-office-dockets-level2?docketNo=20250011","state regulatory docket index","docket-visible","Use docket page to identify final order, settlement, MFRs, testimony, tariff sheets, and hearing record.","docket status; final order; petition; MFR schedules; testimony; tariff sheets; capital categories; ROE; rate base; revenue requirement","recovery-docket-route-visible","Docket route does not equal extraction; project-level recovery still requires specific order/schedule parsing.","Acquire final order and core MFR/testimony/tariff documents from the docket into local raw source folders.","FPL has an official regulatory route for recovery proof; extraction must still map capital category to allowed recovery."
"CFPGSR-006","CF519P2-014","NextEra Energy, Inc.","CFPGS-017; CFPGS-019","1","FPL final settlement order PSC-2026-0022-S-EI","https://www.psc.state.fl.us/library/filings/2026/01201-2026/01201-2026.pdf","state commission final order PDF","direct-document-visible","Fetch final order PDF and parse settlement approval, authorized rates, revenue changes, ROE/capital structure, SoBRA or clause terms, and tariff implementation gates.","approved settlement; order number; effective dates; ROE; equity ratio; base revenue increases; tariff approval; rate-case term; recovery mechanisms","recovery-order-visible","Final order may prove approved recovery framework, but not every project-level capital item or customer contract.","Fetch PDF locally and extract order terms into a recovery-grade metric table.","FPL recovery framework can move above proxy status once final order terms are parsed."
"CFPGSR-007","CF519P2-014","NextEra Energy, Inc.","CFPGS-017; CFPGS-019","1","NextEra/FPL SEC 8-K settlement agreement exhibit","https://www.sec.gov/Archives/edgar/data/753308/000075330825000047/exhibit99tonee-fpl8xkdated.htm","SEC exhibit HTML","direct-document-visible","Use SEC exhibit as a structured settlement source for ROE, equity ratio, 2026/2027 base-rate increases, tariff sheets, and recovery limitations.","authorized ROE range; ROE used for rates; regulatory capital structure; base revenue increases; tariff effective dates; customer credits; term restrictions","settlement-terms-visible","SEC exhibit is company-filed and not a substitute for PSC final order or docket schedules.","Parse exhibit terms, then reconcile to PSC final order and tariff sheets.","FPL settlement economics are visible from an official SEC exhibit, but recovery-grade proof should reconcile to PSC order."
"CFPGSR-008","CF519P2-014","NextEra Energy, Inc.","CFPGS-017; CFPGS-019","1","FPL Storm Protection Plan Cost Recovery Clause docket 20250010-EI","https://www.psc.state.fl.us/library/FILINGS/2025/03306-2025/03306-2025.pdf","state regulatory cost-recovery filing PDF","direct-document-visible","Fetch and parse program-level capital/revenue requirement schedules and WACC/capital-structure support.","program name; monthly investment; recoverable expenses; revenue requirement; WACC; debt/equity components; order references","clause-recovery-schedule-visible","Storm-protection clause evidence is recovery-mechanism proof for specific programs, not all FPL capital spending.","Extract forms 6E/7E/7P and map capital categories to recovery mechanism.","FPL has program-level cost-recovery schedules available; they can support recovery mechanics with bounded scope."
"CFPGSR-009","CF519P2-014","NextEra Energy, Inc.","CFPGS-017; CFPGS-019","2","FPL 2025 rate-case tariff-suspension staff recommendation","https://psc-fl.granicus.com/MetaViewer.php?clip_id=4402&meta_id=3727024&view_id=2","state commission staff recommendation PDF","direct-document-visible","Use recommendation as rate-case background and request baseline before final settlement extraction.","requested 2026 revenue increase; requested 2027 revenue increase; requested ROE; proposed SoBRAs; procedural schedule; intervenors","rate-case-baseline-visible","This is pre-final procedural evidence and does not prove approved recovery.","Fetch PDF locally and use as baseline/delta against final order and settlement terms.","FPL request baseline is visible; approved recovery requires final order and tariff sheets."
"CFPGSR-010","CF519P2-014","NextEra Energy, Inc.","CFPGS-018; CFPGS-020","1","NextEra SEC Q1 2026 exhibit 99 backlog and data-center hub route","https://www.sec.gov/Archives/edgar/data/37634/000075330826000028/neeq12026exhibit99.htm","SEC exhibit HTML","direct-document-visible","Parse Energy Resources backlog additions, total backlog, storage split, in-service projects, and data-center hub development claims.","backlog additions; total backlog; technology split; placed-in-service amount; gas project size; development status; procurement/permitting/commercial structuring","contracted-output-and-development-risk-visible","Backlog size and development status do not provide customer price, financing, or project return.","Acquire/parse exhibit and compare with Q2 2026 release, slides, and prepared remarks.","NextEra Energy Resources backlog and development pipeline are official, but project economics remain open."
"CFPGSR-011","CF519P2-014","NextEra Energy, Inc.","CFPGS-018","1","NextEra Energy Resources and Meta clean-energy contract release","https://www.investor.nexteraenergy.com/news-and-events/news-releases/2025/12-08-2025-123107665","company IR release","direct-document-visible","Parse named customer, PPA/ESA count, project count, MW/GW, markets, storage MW, and scheduled online years.","customer; PPA count; ESA count; contracted GW; project count; market; online window; storage MW","customer-contract-route-visible","Release gives named customer and contract count but not PPA price, margin, debt financing, or project-level capex.","Acquire release locally and map contract/project counts into the NextEra backlog proof task.","Named customer contract evidence can upgrade backlog quality, but not full project-return economics."
"CFPGSR-012","CF519P2-014","NextEra Energy, Inc.","CFPGS-018; CFPGS-020","2","NextEra Energy Resources portfolio route","https://www.nexteraenergyresources.com/","company operating portfolio site","route-visible","Use portfolio pages to identify operating asset categories, capacity scale, project examples, and possible named project pages.","generating capacity; asset categories; project names; geography; technology; development claims","portfolio-route-visible","Portfolio site is broad marketing/operating context and usually lacks return economics.","Search portfolio/project pages for named assets that align with backlog disclosures and customer releases.","NextEra operating scale is visible; project economics still require contracts, financing, and in-service evidence."
