template_id,proof_layer,target_source,public_route,current_evidence,apollo_template_reuse,required_fields,promotion_test,hold_test,next_action
CFKKRGAST-001,official-statutory-source-route,Global Atlantic financial statements page,https://www.globalatlantic.com/investor-relations/financial-statements,"Official Global Atlantic page lists U.S. Statutory Insurance Company Annual and Quarterly Statements plus Bermuda Reinsurers Financial Information, including Q2 2026 and Q4 2025 U.S. statutory statements and FY 2025 Bermuda reports.",Equivalent to Athene statutory filings page route acquisition.,"legal entity, period, statement type, filing link, local path, status, extraction target",Promote when specific legal-entity PDFs are downloaded locally and page-count/schedule locator confirms Schedule D/BA or equivalent investment schedules.,Hold if only the source index is visible and no statement is downloaded or parsed.,Create download queue for Q4 2025 and Q2 2026 U.S. statutory statements and FY 2025 Bermuda reports.
CFKKRGAST-002,u-s-legal-entity-priority,"Accordia Life and Annuity, Commonwealth Annuity and Life, First Allmerica Financial Life, Forethought Life",https://www.globalatlantic.com/investor-relations/financial-statements,Global Atlantic page lists Q2 2026 and Q4 2025 statements for the four U.S. statutory companies.,Equivalent to selecting Athene Annuity and Life Company as the first U.S. legal-entity prototype.,"admitted assets, liabilities, capital/surplus, summary investment schedule, Schedule D, Schedule BA, investment income, realized gains/losses, impairments, NAIC designations","Promote if at least one U.S. entity is downloaded and schedules can be located for investments, income, liabilities, and capital.",Hold if company-level KKR/GA 10-Q numbers cannot be reconciled to any statutory legal entity.,"Start with Q4 2025 annual statements, then use Q2 2026 quarterlies for current-period movement."
CFKKRGAST-003,bermuda-reinsurance-route,Global Atlantic Re Limited and Global Atlantic Assurance Limited Bermuda reports,https://www.globalatlantic.com/investor-relations/financial-statements; https://cdn.bma.bm/documents/2026-07-16-21-57-04-Global-Atlantic-Re-Limited-2025-Financial-Statement-Class-3A.pdf,"Global Atlantic page lists FY 2025 Global Atlantic Re Limited Bermuda Statutory Financial Statements, Global Atlantic Assurance Bermuda Statutory Limited Financial Statements, and Financial Condition Reports; BMA search exposes GA Re 2025 consolidated financial statements.","Equivalent to Athene Life Re/Bermuda secondary statutory route, but GA has a clearer public page route in this pass.","reinsurance assets/liabilities, funds withheld, investment portfolio, related-party balances, capital, statutory/economic balance sheet, notes to investments","Promote if Bermuda reports can be reconciled to GA insurance investments, reinsurance AUM, Ivy/sponsored vehicle AUM, and funds-withheld economics.",Hold if Bermuda reports are used as broad balance-sheet support without asset schedules or liability economics.,Download FY 2025 GA Re and GA Assurance Bermuda reports after U.S. entity parser pattern is set.
CFKKRGAST-004,sec-10q-to-statutory-bridge,KKR Q2 2026 10-Q insurance investment and liability tables,https://www.sec.gov/Archives/edgar/data/1404912/000140491226000027/kkr-20260630.htm,"Local KKR/GA extraction has 189.204380B USD insurance investments, 205.499130B USD insurance policy liabilities, 88.056662B USD AFS fixed maturities, 48.754106B USD mortgage/other loan receivables net, 4.028186B USD six-month insurance net investment income, 671.094M USD loan allowance, 296.4M USD past-due/foreclosure loans, and 9.2B USD FHLB pledged assets.","Equivalent to Apollo/Athene 10-Q/FY platform evidence used as bridge, not final statutory proof.","GAAP-to-statutory reconciliation, entity mapping, asset category crosswalk, liability category crosswalk, income bridge",Promote only when KKR consolidated insurance numbers reconcile to downloaded statutory entity schedules.,Hold while evidence remains public-company asset-class totals without statutory schedule detail.,Build KKR/GA GAAP-to-statutory bridge after first statutory entity extraction.
CFKKRGAST-005,schedule-d-fixed-maturity-extraction,Global Atlantic U.S. statutory Schedule D fixed-maturity holdings,Global Atlantic U.S. statutory annual statement PDFs from official financial statements page,KKR 10-Q shows fixed maturities are the largest disclosed insurance investment category at 88.056662B USD AFS fair value plus 25.809785B USD trading fixed maturities.,"Reuse Athene Schedule D locator, full-range parser, CUSIP cashback match, safe cash-like proceeds summary, row proof packet, and issuer/borrower map pattern.","CUSIP, issuer, description, NAIC designation, book/adjusted carrying value, fair value, actual cost, income, acquired date, maturity, affiliated marker, sale/maturity/proceeds rows",Promote if Schedule D rows parse into named CUSIP holdings and can be reconciled to statutory summary investment totals.,Hold if only broad fixed-maturity totals are visible.,Adapt Athene Schedule D parser to the first downloaded Global Atlantic annual statement.
CFKKRGAST-006,schedule-ba-and-other-invested-assets,"Global Atlantic Schedule BA, other invested assets, limited partnerships, real assets, and affiliated investments",Global Atlantic U.S. statutory annual statement PDFs from official financial statements page,"KKR 10-Q shows 15.313257B USD real assets and 7.377983B USD other insurance investments, while borrower-allocation work says statutory vehicle-to-borrower detail remains missing.",Reuse Athene Schedule BA target definition after Schedule D parser is stable.,"asset name, legal entity, affiliate status, book value, fair value, income, unrealized gain/loss, contribution/distribution, impairments, capital calls, investment type",Promote if Schedule BA or other invested asset rows identify named funds/assets and cash/income/distribution fields.,Hold if real assets and other investments remain broad 10-Q categories.,Add Schedule BA locator after Schedule D page ranges are verified.
CFKKRGAST-007,investment-income-realized-gain-impairment,"statutory investment income, realized gain/loss, impairments, credit-loss, and non-admitted/valuation schedules",Global Atlantic U.S. and Bermuda statutory/financial statements,"KKR 10-Q gives 4.028186B USD six-month insurance net investment income, 3.351757B USD fixed-maturity income, 1.541995B USD mortgage/other-loan income, credit-loss allowances, past-due loans, and LTV buckets.",Reuse Athene legal-entity income/cash bridge and disposal/proceeds parser pattern.,"investment income by asset class, cash received/accrued treatment, realized gains/losses, impairments, allowances, non-accruals, charge-offs, valuation changes",Promote when statutory income and proceeds are tied to Schedule D/BA asset categories and selected named issuer rows.,Hold if net investment income is broad segment income with no statutory asset linkage.,"After Schedule D/BA extraction, build income/proceeds and credit-quality bridge."
CFKKRGAST-008,liability-cost-and-funding-economics,"policy liabilities, credited rates, funds-withheld balances, FHLB funding agreements, reserve exhibits, and ALM support",KKR 10-Q plus Global Atlantic statutory statements and notes,KKR 10-Q shows 205.499130B USD insurance policy liabilities and 9.2B USD FHLB funding-agreement pledged assets; borrower-allocation pass says liability-cost spread remains unproven.,"Reuse Athene liability-to-credit bridge requirement, but add FHLB and reinsurance/funds-withheld economics.","policyholder liabilities, credited interest, funding agreement cost, surrender/duration data, funds-withheld receivable/payable, FHLB terms, pledged collateral, ALM spread model",Promote if asset income can be compared with liability cost and funding-agreement economics by entity or product block.,Hold if liabilities are only balance-sheet denominator values.,Extract liability notes and FHLB/funds-withheld schedules from 10-Q and statutory filings.
CFKKRGAST-009,borrower-facility-source-acquisition,"private placement, mortgage loan, structured credit, and borrower/facility documents tied to Global Atlantic statutory rows",derived from parsed statutory issuer rows plus SEC/rating/trustee search,Current local evidence has loan exposure and income proxies but no borrower/facility allocation.,Reuse Concord/AMAPS named issuer packet pattern after KKR/GA statutory rows expose names.,"issuer/borrower name, facility agreement, note purchase agreement, use of proceeds, collateral, repayment, remittance, rating report, trustee report, return model",Promote selected rows only when named issuer schedules can be tied to external borrower/facility/collateral documents.,Hold if statutory row names exist but no use/receipt/payback support is found.,"After first statutory parse, select top non-public/private-credit/structured-credit rows for source-acquisition packets."
CFKKRGAST-010,template-decision,KKR/Global Atlantic statutory proof architecture,local KKR/GA 10-Q evidence plus Global Atlantic financial statements page,"KKR/GA has stronger current 10-Q asset-income and credit-quality proxy than the original Apollo/Athene pre-statutory state, and Global Atlantic has official public statutory routes by legal entity.","Full Apollo/Athene statutory architecture can be reused: source acquisition, schedule locator, compact extraction, Schedule D parser, reconciliation diagnostic, income/cash bridge, proceeds parser, same-CUSIP proof packet, issuer map, named source acquisition.","legal-entity statutory statements, Schedule D/BA, income, proceeds, credit quality, liability cost, borrower/facility documents, controlled receipts and returns",Template succeeds if KKR/GA advances from 10-Q proxy to downloaded statutory sources and first parsed named Schedule D/BA rows.,Template fails if public routes cannot be downloaded or statements do not expose enough schedule detail.,"Execute statutory source acquisition for the four U.S. entities first, then Bermuda reinsurer route."
