line_id,bridge_stage,metric,amount_musd,period,source_artifact,status,interpretation,next_upgrade
APO-B01,earnings_layer,Fee-related earnings,785,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Recurring fee-layer numerator before HoldCo claims,Fee collections after compensation tax NCI and dilution
APO-B02,earnings_layer,Spread-related earnings,877,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Insurance-spread numerator before HoldCo claims,Realized spread after credit losses capital and liability stress
APO-B03,earnings_layer,Principal-investing income,16,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Volatile principal layer,Through-cycle realized performance evidence
APO-B04,pre_common_bridge,Fee plus spread plus principal,1678,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,derived-reconciled,Sum of reported non-GAAP earnings layers,Segment-level cash and attribution reconciliation
APO-B05,common_claim,HoldCo interest and other financing costs,53,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Financing claim deducted in ANI,Debt service and cash-paid interest schedule
APO-B06,common_claim,Taxes and related payables,311,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Tax claim deducted in ANI,Tax cash paid and allocation by segment/entity
APO-B07,adjusted_owner_proxy,Adjusted net income,1314,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-reconciled,1678 less 53 less 311 equals ANI,Restore recurring non-cash and attribution claims before calling owner cash
APO-B08,gaap_common,GAAP net income attributable to common stockholders,1336,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Common GAAP earnings exceed ANI by 22M in this quarter,Explain reconciliation and recurring quality of difference
APO-B09,capital_return,Dividends declared on common stock,324,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Declared distribution not equivalent to cash generated,Free cash coverage and payment date reconciliation
APO-B10,capital_return,Share repurchases,102,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Capital returned including dilution offset,Repurchase funding and per-share dilution bridge
