"extraction_id","company","ticker","period","field","value","unit","source_anchor","what_it_proves","boundary","claim_status"
"ARCIGC2-001","The Cigna Group","CI","H1 2026","unpaid claims beginning balance","4.241","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Opening Cigna Healthcare unpaid-claims liability is visible.","It is not a customer-cohort or legal-entity collection balance.","claims-rollforward-input"
"ARCIGC2-002","The Cigna Group","CI","H1 2026","beginning reinsurance and other recoverables","0.147","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Recoverable amounts against opening claims are visible.","Recoverability and timing are not the same as cash receipt.","recoverable-visible-with-boundary"
"ARCIGC2-003","The Cigna Group","CI","H1 2026","current-year incurred claims costs","16.093","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Current-period incurred claim costs are visible.","Incurred costs are not cash paid or normalized future cost.","incurred-cost-visible"
"ARCIGC2-004","The Cigna Group","CI","H1 2026","prior-year unpaid-claims development","-0.268","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Favorable prior-year claims development is quantified.","It is not recurring margin or proof of reserve adequacy.","reserve-development-visible-with-boundary"
"ARCIGC2-005","The Cigna Group","CI","H1 2026","total incurred claims costs","15.825","B USD","Cigna Q2 2026 Form 10-Q, Note 7","The claims roll-forward incurred-cost total is visible.","It does not allocate costs across products, customers, or legal entities.","same-period-cost-join"
"ARCIGC2-006","The Cigna Group","CI","H1 2026","current-year paid claims costs","11.576","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Current-year paid-cost component is visible.","It is not a full payer-to-provider cash waterfall.","paid-cost-visible-with-boundary"
"ARCIGC2-007","The Cigna Group","CI","H1 2026","prior-year paid claims costs","3.258","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Prior-year claim settlement cash component is visible.","It does not prove ultimate reserve adequacy or cohort return.","paid-cost-visible-with-boundary"
"ARCIGC2-008","The Cigna Group","CI","H1 2026","total paid claims costs","14.834","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Same-period paid-cost outflow is visible.","It does not include the broader pharmacy/service or parent cash perimeter.","claims-payment-visible-with-boundary"
"ARCIGC2-009","The Cigna Group","CI","June 30 2026","ending unpaid claims and claim expenses","5.228","B USD","Cigna Q2 2026 Form 10-Q, Note 7","Closing gross Cigna Healthcare claims liability is visible.","A closing liability is not normalized common-owner cash.","liability-visible-with-boundary"
"ARCIGC2-010","The Cigna Group","CI","H1 2026","operating cash flow","0.710","B USD","Cigna Q2 2026 Form 10-Q, Statements of Cash Flows","Company-level H1 operating cash is visible.","It is not Cigna Healthcare segment cash or unrestricted parent cash.","cash-visible-with-boundary"
"ARCIGC2-011","The Cigna Group","CI","H1 2026","pharmacy and other service costs payable cash-flow change","-4.108","B USD","Cigna Q2 2026 Form 10-Q, Statements of Cash Flows","Broader pharmacy/service payable timing consumed operating cash.","It cannot be pooled with medical claims or treated as permanent margin erosion.","working-capital-timing-visible"
"ARCIGC2-012","The Cigna Group","CI","H1 2026","accounts receivable sold through facilities","1.5","B USD","Cigna Q2 2026 Form 10-Q, Note 3","Receivable-sale cash-timing support is quantified.","Sale proceeds are not automatically durable collected operating cash.","receivable-factoring-visible-with-boundary"
"ARCIGC2-013","The Cigna Group","CI","June 30 2026","sold receivables not collected","0.9","B USD","Cigna Q2 2026 Form 10-Q, Note 3","Uncollected sold receivables are visible at period end.","The balance does not by itself prove loss or non-collection.","collection-timing-open"
"ARCIGC2-014","The Cigna Group","CI","June 30 2026","collections not remitted to financial institution","0.3","B USD","Cigna Q2 2026 Form 10-Q, Note 3","Collected-but-not-remitted receivables are identified.","The cash remains within a financing/collection perimeter rather than common-owner cash.","remittance-boundary-visible"
