section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARINDX-001,opening_frame,The Vertical Integration Ratchet; The Workers Invisible Tax; The Outage Anxiety Economy; The Commodity Whiplash Transfer,"Industrial uptime companies get paid because the cost of stopping physical work is often higher than the cost of keeping equipment, parts, labor, inventory, and support available.","customer uptime need -> rental/distributor/contractor/service provider -> fleet, inventory, labor, or project execution -> invoice/backlog/rental revenue -> working capital/fleet/capex -> cash flow",United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MasTec; Sterling; Jacobs; Comfort Systems,inventory turns; receivables; service revenue; branch density; customer retention; backlog; contract liabilities; labor cost; OCF; capex,"Use as a no-background industrial uptime frame, not as proof that every distributor or contractor converts demand into cash."
ARINDX-002,downtime_cost,all four old dynamics,The customer is not really buying a part or rental machine; the customer is buying a lower probability that work stops.,risk of stoppage -> availability purchase -> work continues -> invoice/payment -> cash after cost,plants; contractors; utilities; warehouses; data-center builders; maintenance teams,lost-time risk; service level; utilization; fill rate; delivery speed; customer retention,Safe claim: uptime has value because stoppage is expensive.
ARINDX-003,availability_as_product,Outage Anxiety Economy; Workers Invisible Tax,"Availability itself is the product: equipment on time, parts near the job, trained labor ready, and technical support reachable.",work need -> available equipment/part/labor/support -> completed work -> bill and collection -> OCF,United Rentals; Fastenal; Grainger; WESCO; Applied Industrial,fleet utilization; branch count; onsite/vending; inventory turns; receivables; OCF,Safe claim: availability matters only if it is used and collected.
ARINDX-004,rental_fleet_economics,Outage Anxiety Economy,"Rental converts ownership cost into temporary access, but the rental company bears fleet capex, utilization, residual value, and debt risk.",customer project need -> rented fleet -> rental revenue -> maintenance/depreciation/debt -> free cash flow,United Rentals; Herc; Ashtead/Sunbelt; specialty rental firms,time utilization; rental rates; fleet OEC; capex; fleet age; used-equipment sales; leverage; FCF,"Safe claim: fleet availability can be valuable, but fleet ROIC and residual value must be proven."
ARINDX-005,mro_distribution,Workers Invisible Tax; Outage Anxiety Economy,"MRO distributors sell speed, breadth, and certainty because a cheap missing part can stop an expensive system.",maintenance need -> distributor inventory/branch/digital/vending -> product sale -> receivable collection -> cash,Fastenal; Grainger; MSC Industrial; Applied Industrial,daily sales; inventory turns; gross margin; onsite signings; vending devices; receivables; customer retention,"Safe claim: MRO value is proximity to failure points, but cash depends on inventory and receivables."
ARINDX-006,embedded_inventory,Workers Invisible Tax,"Onsite bins, vending machines, managed inventory, and branch density move supply closer to use and reduce search, approval, and downtime friction.",customer site need -> embedded inventory -> automatic replenishment/product sale -> billing and collection -> cash,Fastenal; Grainger; Applied Industrial; WESCO,onsite locations; vending devices; inventory turns; account retention; sales per site; gross margin,"Safe claim: embedded inventory can deepen the customer relationship, but proof needs retention and cash conversion."
ARINDX-007,labor_constraint,Workers Invisible Tax,"Labor scarcity turns tools, automation, prefabrication, outsourcing, and technical service into margin and execution questions.",labor shortage -> automation/rental/service/outsourcing -> productivity or substitution -> revenue/margin -> cash,Comfort Systems; MasTec; Sterling; Jacobs; Applied Industrial; automation suppliers,labor cost; backlog conversion; utilization; productivity; subcontractor cost; margin; OCF,"Safe claim: labor scarcity can create demand, but the worker burden and company cash effect must be separated."
ARINDX-008,vertical_integration,Vertical Integration Ratchet,"Vertical integration is a bet that owning more of the chain reduces volatility or captures spread, but it can also add fixed cost and debt.",supply-chain risk -> acquisition/integration/capex -> controlled input or channel -> margin protection or fixed-cost drag -> cash,Commercial Metals; Suncor; EMCOR; Cleveland-Cliffs old-site example; industrial platforms,acquisition cost; debt; segment margin; input cost; utilization; integration savings; FCF,"Safe claim: integration can protect uptime or spread, but only if it improves cash after fixed costs."
ARINDX-009,commodity_whiplash,Commodity Whiplash Transfer,"Input shocks do not disappear; contract power decides who absorbs them: producer, distributor, contractor, customer, farmer, builder, or household.",input price shock -> contract/pass-through/hedge/inventory -> margin shift -> cash effect,CF Industries; Freeport; Nucor; WESCO; contractors; packaging firms,realized price; input cost; pass-through; inventory; contract terms; gross margin; working capital,"Safe claim: commodity volatility is a transfer mechanism, not just a price chart."
ARINDX-010,contractor_backlog,Vertical Integration Ratchet; Workers Invisible Tax,"Backlog is demand waiting to become work. It is not cash until the project is executed, billed, collected, and margin-protected.",owner project need -> contractor backlog -> labor/material/equipment execution -> billing/retainage -> cash,MasTec; Sterling; Jacobs; Comfort Systems; Quanta,backlog/RPO; project margin; contract liabilities; retainage; owner funding; OCF; surety/L/C capacity,"Safe claim: backlog is starting evidence, not cash proof."
