workbench_id,candidate,scenario,market_cap_usd_m,h1_mechanical_cash_usd_m,annualized_mechanical_cash_usd_m,denominator_haircut,annualized_screen_cash_usd_m,implied_market_cap_to_screen_cash,case_definition,reinvestment_or_macro_stress,status
IUV-001,WESCO,low,16341.1,223.5,447.0,0.50,223.5,73.2,"Only half of the reported H1 OCF-less-property screen persists",working-capital release does not recur; project margin and customer funding weaken,qualified-expectation-screen
IUV-002,WESCO,base,16341.1,223.5,447.0,0.75,335.25,48.7,"Three quarters of the mechanical screen persists after timing and burden leakage",maintenance spending and receivable/inventory burden remain explicit,qualified-expectation-screen
IUV-003,WESCO,high,16341.1,223.5,447.0,1.00,447.0,36.6,"Full mechanical screen persists",requires recurring conversion without supplier-finance or acquisition support,qualified-expectation-screen
IUV-004,Fastenal,low,56398.3,521.1,1042.2,0.75,781.65,72.1,"Three quarters of the stronger reported cash screen persists",service cost and customer mix compress margin; inventory economics normalize,qualified-expectation-screen
IUV-005,Fastenal,base,56398.3,521.1,1042.2,0.90,937.98,60.1,"Ninety percent of the mechanical screen persists",onsite and digital growth must offset large-account mix and maintenance burden,qualified-expectation-screen
IUV-006,Fastenal,high,56398.3,521.1,1042.2,1.00,1042.2,54.1,"Full mechanical screen persists","requires recurring cash after service; leases; taxes; dilution; and reinvestment",qualified-expectation-screen
IUV-007,Sterling,low,15031.8,258.375,516.75,0.50,258.375,58.2,"Only half of H1 OCF-less-company-capex persists",unsigned awards and future phases delay; project estimates and acquisition cash disappoint,qualified-expectation-screen
IUV-008,Sterling,base,15031.8,258.375,516.75,0.75,387.5625,38.8,"Three quarters persists after acquisition and contract leakage","CEC cash return; earn-outs; dilution; retainage; and customer funding remain open",qualified-expectation-screen
IUV-009,Sterling,high,15031.8,258.375,516.75,1.00,516.75,29.1,"Full mechanical H1 screen persists",requires signed backlog conversion and stable cost-to-complete estimates,qualified-expectation-screen
IUV-010,United Rentals,low,62631.5,374.0,748.0,0.50,374.0,167.5,"Half of OCF less gross rental capex persists","utilization; used-equipment recovery; debt cost; and replacement capex weaken",qualified-expectation-screen
IUV-011,United Rentals,base,62631.5,374.0,748.0,0.75,561.0,111.7,"Three quarters persists after fleet-cycle leakage",gross capex is not maintenance-free; borrowing-base and lifecycle return remain open,qualified-expectation-screen
IUV-012,United Rentals,high,62631.5,374.0,748.0,1.00,748.0,83.7,"Full mechanical fleet screen persists",requires recurring utilization and used-equipment proceeds without balance-sheet stress,qualified-expectation-screen
