scorecard_id,theme,company_rows,source_visible_rows,theme_candidate_rows,queued_candidate_rows,readiness_level,what_we_can_say_now,main_gap,next_evidence_job
ARTEDS-001,Power scarcity,5,4,1,0,high-theme-readiness,"The folder can already support power scarcity as one of the strongest themes because FPL/NextEra, AEP, MasTec, and Sterling have local source-visible work around recovery, backlog, project execution, or cash proxy evidence.","The remaining gap is not whether power matters; it is whether specific projects have customer receipts, billing determinants, debt-service coverage, and asset-level return.","Deepen NextEra/FPL, Duke, and AEP into billed-cash and approved-recovery proof; deepen MasTec and Sterling into project-owner funding and cash-collection proof."
ARTEDS-002,Capital platforms,5,5,0,0,high-theme-readiness,"The folder can now support the capital-platform theme through BlackRock, Blackstone, Apollo/Athene, KKR/Global Atlantic, and Brookfield evidence. BlackRock has been upgraded to platform-scale source-visible status with a strict named-borrower boundary.","The gap is full source-to-asset-to-return proof: legal-entity schedules, borrower receipts, collateral files, waterfall documents, and return models.","Deepen BlackRock/HPS from platform-scale evidence into vehicle, borrower, use-of-proceeds, repayment, collateral, and return proof; continue Apollo/Athene and KKR/Global Atlantic statutory asset-income evidence."
ARTEDS-003,Industrial uptime,5,1,4,0,medium-theme-readiness,"The folder can explain industrial uptime clearly and has source-visible URI proof, but most company examples are still theme candidates rather than extracted company cases.","The gap is broad company evidence for distributors and MRO firms: inventory turns, receivables, service revenue, customer retention, and cash conversion.","Extract Fastenal, WESCO, Grainger, and Applied Industrial from annual reports and add company-level uptime proof tables."
ARTEDS-004,Healthcare access,5,5,0,0,high-theme-readiness,"The first-pass healthcare access packet is complete across five source-visible company cases: UnitedHealth for payer/control-plane routing, Cigna for benefits/pharmacy routing, DaVita for recurring dialysis treatment sites, Addus for home-care labor/reimbursement, and Option Care for home and alternate-site infusion. The theme can now be written as a complete access system: payment routing, pharmacy routing, treatment delivery, home-care labor, specialty-therapy coordination, reimbursement, and cash-conversion boundaries.","The remaining gap is no longer first-pass company coverage. It is second-pass cash-quality proof: medical costs, claims payable, receivables, payer mix, treatment economics, billable hours, caregiver availability, therapy mix, drug reimbursement, working capital, operating cash flow, free cash flow, quality, and patient outcomes.","Build a healthcare cash-quality bridge across UnitedHealth, Cigna, DaVita, Addus, and Option Care: payer medical-cost/claims/receivables, dialysis revenue per treatment and patient-care cost, home-care billable hours and reimbursement rates, infusion therapy mix and working capital, and operating-cash-flow to free-cash-flow reconciliation."
ARTEDS-005,Built-environment upkeep,5,5,0,0,high-theme-readiness-first-pass-complete,"Built-environment upkeep now has five source-visible company cases: Home Depot for repair/remodel and Pro-trade distribution, Lowe's for service-widened home improvement and Pro workflow, Core & Main for civic waterworks and infrastructure replacement, Builders FirstSource for professional builder workflow and prefabrication, and Sherwin-Williams for coatings, repaint, contractor access, surface renewal, controlled distribution, and pricing discipline.","The remaining gap is no longer first-pass company coverage. It is cash-quality proof across the five-company upkeep chain: ticket and transaction split, Pro versus DIY mix, online and service margins, receivables, inventory turns, municipal funding, category margin, branch economics, price versus volume, raw-material pass-through, operating cash flow, free cash flow, debt, and acquisition return.","Build a built-environment cash-quality bridge across Home Depot, Lowe's, Core & Main, Builders FirstSource, and Sherwin-Williams that ties demand signals to margin, working capital, operating cash flow, free cash flow, receivables, inventory, channel economics, and proof gaps."
ARTEDS-006,Digital control,5,5,0,0,high-theme-readiness-first-pass-complete,"Digital control now has five source-visible company cases and first-pass company coverage is complete. Cloudflare supports newer protected-edge control; Akamai supports incumbent delivery-to-security and distributed-cloud transition; Zscaler supports Zero Trust access and AI-era policy control; Fortinet supports hardware-attached security enforcement and recurring services; Roblox supports governed digital participation, virtual spending, creator payouts, discovery, communication, safety, and engagement economics.","The remaining digital-control gap is no longer first-pass company coverage. It is second-pass cash-quality proof: retention, current RPO, deferred-revenue aging, product attachment, segment margin, infrastructure cost, stock compensation, acquisition integration, capex, contract ramp, customer concentration, channel health, renewal rates, bookings quality, monetization per hour, creator payouts, moderation cost, safety friction, and free-cash-flow bridges.","Build a digital-control cash-quality bridge across Cloudflare, Akamai, Zscaler, Fortinet, and Roblox. The bridge should separate traffic control, delivery/security transition, access policy, hardware-attached enforcement, and participatory-world governance, then list exactly what cash proof is still missing for each."
ARTEDS-007,Value retail,5,5,0,0,high-theme-readiness,"The theme is now supported by source-visible Costco, Walmart, Target, Dollar General, and Burlington evidence. Costco shows paid-access value trust; Walmart shows household basket consolidation plus ads, membership, marketplace, fulfillment, and cash-flow evidence; Target shows pressured-middle repair; Dollar General shows proximity-based essential replenishment; Burlington shows off-price branded bargain discovery.","The first-pass value-retail company set is complete, but stronger proof still needs traffic versus ticket, cohort behavior, membership renewal, discretionary mix, shrink, markdowns, inventory turn, fulfillment cost, store productivity, operating cash flow, free cash flow, and channel-level margin.","Move from first-pass company coverage to cash-quality proof across Costco, Walmart, Target, Dollar General, and Burlington: traffic/ticket, margin, inventory, shrink, fulfillment, renewal, and operating-cash-flow bridges."
ARTEDS-008,Services and cultural consumption,5,0,5,0,medium-theme-readiness,"The theme is useful for explaining where people spend on time, convenience, travel, habit, status, and experience, but current examples are candidate-level.","The gap is proving demand quality: traffic, occupancy, bookings, take rate, loyalty, credit usage, labor cost, and discretionary resilience.","Extract Marriott, Booking, McDonald's, Starbucks, and MGM around volume, pricing, margin, loyalty, and free cash flow."
ARTEDS-009,Consumer goods and household identity,5,0,5,0,medium-theme-readiness,"The theme captures routine, trust, beauty, food habits, and family spending, but the company layer still needs direct annual-report evidence.","The gap is separating real brand power from price-only sales growth: volume, price/mix, market share, shelf position, inventory, and cash.","Extract P&G, Colgate, Estee Lauder, Coca-Cola, and Hasbro around organic sales, volume versus price, gross margin, channel inventory, and cash flow."
ARTEDS-010,Basic materials and input scarcity,5,1,4,0,medium-theme-readiness,"The theme is clear and has source-visible Steel Dynamics evidence, but most input companies still need extraction.",The gap is proving that scarcity becomes producer cash rather than only higher capex or cyclical price exposure.,"Extract Freeport, Nucor, Vulcan, and CF Industries around volume, realized price, cash cost, utilization, capex, reserves, and free cash flow."
ARTEDS-011,Real estate and scarce locations,5,0,5,0,medium-theme-readiness,"The theme is useful because location scarcity appears across towers, logistics, data centers, healthcare real estate, and net lease, but current rows are candidate-level.","The gap is tenant-payment durability: occupancy, rent collection, escalators, AFFO, debt cost, tenant credit, and new supply.","Extract American Tower, Prologis, Equinix, Welltower, and Realty Income around occupancy, churn, leasing spreads, rent collection, debt maturity, and AFFO."
ARTEDS-012,Broad technology beyond internet software,5,0,5,0,medium-theme-readiness,"The theme broadens technology beyond app software into chips, cloud, networking, infrastructure software, and enterprise workflow, but the company rows need hard metric checks.","The gap is whether AI and digital demand become durable cash after capex, competition, customer concentration, and product cycles.","Extract Microsoft, NVIDIA, Broadcom, Cisco, and ServiceNow around revenue by product, RPO/backlog, capex, margin, cash flow, and concentration risk."
ARTEDS-013,Healthcare tools and medical infrastructure,5,0,5,0,medium-theme-readiness,"The theme correctly separates healthcare tools and infrastructure from payer/care access, but the company evidence is still candidate-level.","The gap is procedure volume, reimbursement, hospital labor, diagnostics demand, drug-distribution working capital, device margin, and cash quality.","Extract Abbott, Thermo Fisher, HCA, McKesson, and Stryker around volume, payer mix, inventory, receivables/payables, margin, and operating cash."
ARTEDS-014,Energy affordability and supply route,5,4,1,0,high-theme-readiness,"The folder can already support energy route evidence through Energy Transfer, ONEOK, Plains, and Cheniere, with Exxon as the broad integrated energy candidate.","The gap is named-asset economics: route-level volumes, committed contracts, tariff billing, project debt service, and contribution by asset.","Deepen Energy Transfer, ONEOK, Plains, and Cheniere into asset/route-level billing and cash waterfall proof, then add Exxon for integrated energy context."
ARTEDS-015,Ordinary finance,5,3,2,0,medium-theme-readiness-three-anchors-started,"Ordinary finance now has three source-visible company cases: JPMorgan for broad bank scale, deposits, markets, payments, capital, and credit-pressure framing; American Express for premium card spend, merchant networks, membership, fees, younger cohorts, and credit tone; and Capital One for consumer credit, card loans, auto loans, deposits, funding cost, charge-offs, provisions, Discover integration, and payment-network expansion.","The remaining first-pass coverage gap is Progressive and Visa. The deeper cash-quality gap remains primary schedule extraction across NIM, deposits, loans, delinquency, charge-offs, allowances, billed business yield, discount revenue, rewards cost, provisions, card balances, auto credit, payment volume, loss ratio, capital, and segment profitability.","Extract Progressive next for auto/property premiums, claims inflation, combined ratio, policy count, loss severity, investment income, and retention; then extract Visa for payment volume, transactions, cross-border, take rate, regulation, and cash conversion."
