system_family,channel_control_type,owned_demand_subtype,company_name,ticker,sector,industry,company_packet_path,relationship_control_source,main_repeat_behavior,channel_posture,service_or_extension_layer,main_second_monetization_layer,identity_or_utility_axis,main_open_extension,last_updated,status
"Owned demand and channel control","DTC-led brand-control operator","Performance and athletic identity control","NIKE, Inc.",NKE,Retail,"Apparel, Shoe & Accessory Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/apparel-shoe-accessory-stores/nike-inc/company-packet.md","first-party brand storytelling global customer-file depth and direct retail surfaces","repeat brand engagement and athletic identity participation","balanced hybrid","digital surfaces and first-party retail","DTC mix pricing power customer-file control","performance aspiration and athletic identity","compare against weaker or lower-price brand-control operators rather than another top-tier athletic name",2026-08-10,in-progress
"Owned demand and channel control","DTC-led brand-control operator","Heritage and wardrobe-control system","Levi Strauss & Co.",LEVI,"Consumer Goods","Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/apparel-stores/levi-strauss-co/company-packet.md","heritage fit familiarity and higher-margin direct access","repeat wardrobe usage and trusted-fit replenishment","DTC-led","category extension and first-party demand","DTC mix data ownership category extension","heritage identity and wardrobe continuity","compare against Gap and American Eagle on weaker apparel-control structures",2026-08-10,in-progress
"Owned demand and channel control","Balanced hybrid operator","Practical-wellness and body-alignment control","Birkenstock Holding plc",BIRK,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/birkenstock-holding-plc/company-packet.md","product authority foot-health credibility and premium-utility demand","repeat demand tied to comfort body alignment and practical wellness","balanced hybrid","closed-toe expansion and category broadening","pricing power B2B sell-through category extension","wellness utility and comfort","compare against Deckers and Crocs on different comfort and wellness lanes",2026-08-10,in-progress
"Owned demand and channel control","DTC-led brand-control operator","Outdoor-utility and gifting control","YETI Holdings, Inc.",YETI,"Consumer Goods",Sporting Goods,"/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/sporting-goods/yeti-holdings-inc/company-packet.md","premium hardgoods attachment direct reach and utility trust across owned and marketplace surfaces","repeat premium outdoor-utility and gifting behavior","DTC-led with marketplace extension","Amazon Marketplace retail stores and corporate sales","DTC sales mix marketplace-assisted reach and premium gifting attachment","utility outdoor identity and gifting","compare against Crocs Levi and Birkenstock on non-apparel owned-demand quality",2026-08-10,in-progress
"Owned demand and channel control","Marketplace-extended operator","Beauty-discovery and service control","Ulta Beauty, Inc.",ULTA,Services,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/services/specialty-retail-other/ulta-beauty-inc/company-packet.md","assortment authority loyalty services and discovery control","repeat replenishment experimentation and service attachment","marketplace-extended","salons UB Marketplace UB Media and Space NK","services media marketplace assortment loyalty","beauty identity discovery and service","compare against e.l.f. Beauty and Bath & Body Works on retailer versus brand beauty economics",2026-08-10,in-progress
"Owned demand and channel control","DTC-led brand-control operator","Fit-and-vision control","Warby Parker Inc.",WRBY,Healthcare,"Medical Instruments & Supplies","/home/manishmehta/ui-projects/annual-report-research/extracted/healthcare/medical-instruments-supplies/warby-parker-inc/company-packet.md","facial identity eyewear fit and direct vision-care relationship","repeat interaction through eyewear exams contacts and vision-care convenience","DTC-led","eye exams contacts virtual tools and store network","service-linked customer-file depth and category extension","fit confidence sight and healthcare-adjacent service","connect more explicitly to relationship-thickness work around service-linked owned demand",2026-08-10,in-progress
"Owned demand and channel control","Balanced hybrid operator","Performance-plus-comfort control","Deckers Outdoor Corp.",DECK,"Consumer Goods","Textile - Apparel Footwear & Accessories","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-footwear-accessories/deckers-outdoor-corp/company-packet.md","brand mix product authority and channel balance across HOKA and UGG","repeat demand through movement culture and comfort-lifestyle attachment","balanced hybrid","sub-brand mix and category widening","pricing power and channel balance","performance comfort and wellness","compare against Birkenstock and Crocs on hybrid control versus mass comfort",2026-08-10,in-progress
"Owned demand and channel control","DTC-led brand-control operator","Mass comfort and casualization control","Crocs, Inc.",CROX,"Consumer Goods","Textile - Apparel Footwear & Accessories","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-footwear-accessories/crocs-inc/company-packet.md","ease identity and direct brand relationship at mass scale","repeat low-friction wearability and comfort-led identity demand","DTC-led","global brand reach and DTC expansion","DTC expansion and global familiarity","comfort casualization and mass identity","compare against Deckers and Birkenstock on mass comfort versus premium utility",2026-08-10,in-progress
"Owned demand and channel control","Direct-relationship and partner-distribution operator","Female-identity and beauty-adjacent control","Victoria's Secret & Co.",VSCO,"Consumer Goods","Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/apparel-stores/victorias-secret-co/company-packet.md","category authority fit emotional marketing and beauty adjacency","repeat shopping tied to fit self-presentation and brand heat","direct-plus-partner","Adore Me plus partner-store international widening","brand heat direct engagement beauty adjacency","female identity fit and self-presentation","compare against Bath & Body Works and Tapestry on adjacent self-presentation systems",2026-08-10,in-progress
"Owned demand and channel control","Direct-relationship and partner-distribution operator","Accessible-luxury and visible-status control","Tapestry, Inc.",TPR,"Consumer Goods","Textile - Apparel Clothing","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-clothing/tapestry-inc/company-packet.md","emotional connection direct brand heat and younger-customer recruitment","repeat engagement through handbags gifting and visible-status signaling","direct-plus-partner","data analytics and global house-of-brands distribution","DTC brand heat and category authority","status self-expression and aspiration","compare against Levi and Victoria's Secret on different identity-led owned-demand structures",2026-08-10,in-progress
