selection_id,rank,platform,legal_entity_or_case,cusip_or_identifier,issuer_or_wrapper,asset_lane,current_evidence,book_or_exposure_usd,interest_received_or_income_usd,proceeds_or_event_usd,selection_status,why_selected,decisive_next_documents,proof_boundary,next_action
CFAKSNAS-001,1,Apollo Athene,Athene Annuity and Life Company,00264#-AB-3,AP Aristotle Holdings LLC,Apollo-affiliated private credit or finance vehicle,"same-CUSIP cash-like proceeds candidate; issuer named; principal paydown class; selected in safe cash-like issuer map",300834391,28317574,776032348,tier1_named_cashlike_proceeds_candidate,"High-dollar same-CUSIP paydown candidate with named issuer and Apollo-related finance-vehicle lane; better immediate row proof than disposal-only rows","raw holding and disposal rows; note purchase or offering document; borrower/use document; repayment or paydown notice; Athene allocation; liability-cost support",Does not yet prove borrower receipt use remittance waterfall liability spread or final return,Build row-level proof packet for AP Aristotle
CFAKSNAS-002,2,Apollo Athene,Athene Annuity and Life Company,02300A-AA-8,AMAPS 1 LLC Tranche A Note,Apollo structured credit and asset-backed credit,"same-CUSIP cash-like proceeds candidate; AMAPS wrapper mapped; 1.917500000B USD year-end book value; 48.871440M USD year-end interest income in prototype synthesis",1917500000,48871440,268000000,tier1_named_wrapper_proceeds_candidate,"Strongest Apollo/Athene platform-wrapper alignment row; high book value and visible cash-like consideration","AMAPS offering memo; tranche support; rating rationale; collateral tape; trustee remittance; Athene allocation; subsidiary reconciliation; liability-cost support",Does not identify underlying borrowers collateral cash waterfall or Athene-specific final return,Build AMAPS row-level wrapper and waterfall proof packet
CFAKSNAS-003,3,Apollo Athene,Athene Annuity and Life Company,20633K-AN-8,Concord Music Royalties LLC,music royalty ABS finance,"selected same-CUSIP cash-like issuer map row; borrower wrapper and use proxy visible; Concord named-cash source acquisition already public-route-tested",0,0,229053398,named_borrower_wrapper_use_proxy_candidate,"Best Apollo/Athene borrower-facing case because public evidence links Concord to ABS issuance and refinancing/use proxy","offering circular; indenture; trustee remittance; payoff ledger; collateral or royalty tape; Athene allocation; liability-cost spread; return model",Current row is borrower wrapper and use proxy not Athene remittance or final return proof,Keep Concord in controlled-document request queue and row-proof packet
CFAKSNAS-004,4,Apollo Athene,Athene Annuity and Life Company,28655*-AA-7,Eliant Invest Holding LP,Apollo-related private credit or finance vehicle,"safe cash-like issuer map row; same-CUSIP cash-like consideration; Apollo subsidiary-route context",0,0,358251536,tier1_named_cashlike_proceeds_candidate,"High-dollar same-CUSIP cash-like row with platform-related issuer signal; good private-credit issuer source chase","issuer financing documents; note purchase agreement; collateral support; paydown or sale records; Athene allocation; liability-cost support",Does not prove operating borrower use or cash remittance to Athene,Source-acquire Eliant issuer and financing documents
CFAKSNAS-005,5,Apollo Athene,Athene Annuity and Life Company,00024D-AL-7,AA Infrastructure Fund 2 LLC,infrastructure and real assets,"safe cash-like issuer map row; same-CUSIP cash-like consideration; infrastructure lane mapped",0,0,347965250,tier1_named_infrastructure_proceeds_candidate,"Best Apollo/Athene bridge into infrastructure/real-assets theme while staying in statutory named-asset evidence","fund documents; asset schedule; note terms; paydown or sale support; collateral or project exposure; Athene allocation; return support",Does not prove underlying asset source/use customer cash or project return,Test public source availability for AA Infrastructure Fund 2
CFAKSNAS-006,6,Apollo Athene,Athene Annuity and Life Company,592918-AA-4,MF1 2025-B2 LLC,real estate credit or CMBS-style finance,"safe cash-like issuer map row; same-CUSIP cash-like consideration; securitization vehicle mapped through SEC/Fitch route",0,0,209559375,tier1_named_securitization_proceeds_candidate,"Good collateral/waterfall test because securitization sources may expose trustee and collateral mechanics","pooling and servicing agreement; remittance report; collateral tape; tranche cash flow; Athene allocation; liability-cost support",Does not prove loan-level collateral cash or Athene return,Use MF1 as securitization waterfall source-availability test
CFAKSNAS-007,7,KKR Global Atlantic,Accordia Life and Annuity Company,90231*-AA-0,Private-marker issuer not yet named in match table,private placement or statutory private-marker credit,"top Accordia owned-bond interest row; 202.125000M USD book value; 17.419245M USD interest received; no current-year proceeds event",202125000,17419245,0,highest_interest_private_marker_candidate,"Highest interest-received row and private-marker CUSIP; best KKR/Accordia issuer-identification target","raw Schedule D coordinate row; issuer name resolution; private placement documents; liability-cost spread; reinsurance/funds-held route; borrower/use support",Interest received is statutory row evidence only and no proceeds event is matched,Resolve issuer and build private-marker source request
CFAKSNAS-008,8,KKR Global Atlantic,Accordia Life and Annuity Company,458140-BM-1,Intel Corp,public corporate bond,"top 40 Accordia row; same-CUSIP disposal candidate; 66.417686M USD book value; 2.902052M USD interest received; 1.815000M USD largest raw event token",66417686,2902052,1815000,owned_interest_plus_disposal_candidate,"Best KKR public issuer row for disposal-coordinate extraction because it already has owned interest and disposal continuity","matched disposal page coordinate extraction; consideration/book/gain-loss columns; settlement or broker support if available; liability-cost comparison",Raw event token is not reconciled statutory disposal proceeds or settlement cash,Run disposal coordinate extraction for Intel matched row
CFAKSNAS-009,9,KKR Global Atlantic,Accordia Life and Annuity Company,685218-AB-5,Orange SA,public corporate bond,"top 40 Accordia row; same-CUSIP disposal candidate; 19.337902M USD book value; 906.125K USD interest received; 155.737K USD largest raw event token",19337902,906125,155737,owned_interest_plus_disposal_candidate,"Useful smaller disposal-coordinate test because issuer is named and event token is manageable","matched disposal coordinate extraction; consideration/book/gain-loss columns; maturity or sale classification; liability-cost comparison",Raw event token is not final proceeds proof or borrower cash proof,Use as second Accordia disposal-coordinate test row
CFAKSNAS-010,10,KKR Global Atlantic,Accordia Life and Annuity Company,94974B-GU-8,Wells Fargo and Co,public financial bond,"top 40 Accordia row; acquisition-context same-CUSIP event; 45.705863M USD book value; 2.623425M USD interest received; 55.230000M USD largest raw event token",45705863,2623425,55230000,owned_interest_plus_acquisition_context_candidate,"High-interest row with current-year acquisition context; useful for purchase-to-income continuity but not cash-back proceeds","acquisition coordinate extraction; purchase columns; holding continuity; liability-cost support; issuer credit context",Acquisition event is not cash return or disposal proceeds,Use after disposal candidates for purchase-to-income proof
