system_family,relationship_band,company_name,ticker,sector,industry,company_packet_path,core_repeated_behavior,main_widening_mechanism,why_it_sits_here,likely_direction,last_updated,status
"Relationship thickness systems","Thick","Starbucks Corporation",SBUX,Services,Restaurants,"/home/manishmehta/ui-projects/annual-report-research/extracted/services/restaurants/starbucks-corporation/company-packet.md","repeat drink purchase and app-led ordering","stored value Stars deferred revenue and digital ordering","the filing set discloses a formal preload-and-rewards engine","remain thick or deepen app-wallet economics",2026-08-10,in-progress
"Relationship thickness systems","Thick","Costco Wholesale Corporation",COST,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/costco-wholesale-corp/company-packet.md","repeat warehouse trips and stock-up behavior","membership fees and trusted value access","membership fees are a major explicit economic layer","remain thick through paid utility membership",2026-08-10,in-progress
"Relationship thickness systems","Thick","Delta Air Lines, Inc.",DAL,Services,"Major Airlines","/home/manishmehta/ui-projects/annual-report-research/extracted/services/major-airlines/delta-air-lines-inc/company-packet.md","repeat travel and premium trip behavior","sold miles partner remuneration and co-brand economics","loyalty economics are directly disclosed and strategically central","remain thick through partner-funded travel loyalty",2026-08-10,in-progress
"Relationship thickness systems","Thick","Marriott International, Inc.",MAR,Services,Lodging,"/home/manishmehta/ui-projects/annual-report-research/extracted/services/lodging/marriott-international-inc/company-packet.md","repeat hotel stays and branded travel trust","loyalty concentration co-brand economics and fee-network support","loyalty-linked distribution is highly visible in reported operating structure","remain thick through branded-stay distribution economics",2026-08-10,in-progress
"Relationship thickness systems","Thick","Caesars Entertainment, Inc.",CZR,Services,"Resorts & Casinos","/home/manishmehta/ui-projects/annual-report-research/extracted/services/resorts-casinos/caesars-entertainment-corporation/company-packet.md","repeat resort visits and digital wagering","rewards identity universal wallet and cross-market spend capture","one rewards identity and one wallet span multiple surfaces","remain thick through cross-surface wallet continuity",2026-08-10,in-progress
"Relationship thickness systems","Mid","United Airlines Holdings, Inc.",UAL,Services,"Major Airlines","/home/manishmehta/ui-projects/annual-report-research/extracted/services/major-airlines/united-airlines-holdings-inc/company-packet.md","repeat premium and business travel","app utility premium mix loyalty revenue and network breadth","relationship is visible but less directly financialized than Delta","could thicken if loyalty disclosure and app economics become more explicit",2026-08-10,in-progress
"Relationship thickness systems","Mid","Hilton Worldwide Holdings Inc.",HLT,Services,Lodging,"/home/manishmehta/ui-projects/annual-report-research/extracted/services/lodging/hilton-worldwide-holdings-inc/company-packet.md","repeat branded stays and owner signings","loyalty-linked distribution fee compounding and pipeline scale","repeat behavior matters but disclosure centers more on network economics than wallet economics","could thicken modestly through more visible loyalty-linked distribution economics",2026-08-10,in-progress
"Relationship thickness systems","Mid","Booking Holdings Inc.",BKNG,Services,"Transportation Services","/home/manishmehta/ui-projects/annual-report-research/extracted/services/transportation-services/booking-holdings/company-packet.md","repeat trip planning and booking","direct mix merchant shift app behavior payments and Connected Trip","workflow ownership is real but not yet a classic thick wallet system","high thickening potential through payments and traveler-identity control",2026-08-10,in-progress
"Relationship thickness systems","Mid","Airbnb, Inc.",ABNB,Technology,"Application Software","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/application-software/airbnb-inc/company-packet.md","repeat travel discovery and booking","app identity flexible payments hotels services and experiences","repeat interface ownership is strong but not formalized as points or fee membership","high thickening potential through broader trip and payments control",2026-08-10,in-progress
"Relationship thickness systems","Mid","Ulta Beauty, Inc.",ULTA,Services,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/services/specialty-retail-other/ulta-beauty-inc/company-packet.md","repeat beauty discovery and self-care spend","loyalty data marketplace media salons and app-store interaction","relationship is widening through data and services more than through one explicit wallet mechanic","high thickening potential through media and loyalty-data monetization",2026-08-10,in-progress
