theme_slug,theme_name,scope,description,linked_sectors,linked_industries,linked_companies,evidence_count,status,notes
technology-ai-platform-split,Technology AI platform split,cross-company,Large-cap technology is separating into premium ecosystem winners enterprise AI platform winners creative-document-workflow AI software winners workflow-infrastructure and AI-control-tower software winners AI-reinforced search-cloud-media platforms dominant AI-inflected consumer-attention and advertising platforms accelerated-computing infrastructure suppliers enterprise networking-security-control infrastructure suppliers pure-play cybersecurity platformization winners cyclical hardware-adjacent enterprise infrastructure suppliers endpoint-device and printing incumbents stressed semiconductor incumbents trying to rebuild relevance lower-quality consumer-attention platforms trying to improve monetization and enterprise-services reinvention operators monetizing implementation rather than ownership of the core platform,Technology,Application Software;Communication Equipment;Computer Hardware;Consumer Services;Information Technology Services;Internet Information Providers;Networking & Communication Devices;Semiconductor - Broad Line;Semiconductor - Specialized,"Microsoft Corporation;Adobe Inc.;ServiceNow, Inc.;Cisco Systems Inc.;Palo Alto Networks Inc.;HP Inc.;Dell Technologies Inc.;Apple Inc.;Alphabet Inc.;Meta Platforms, Inc.;Intel Corporation;NVIDIA Corporation;Snap Inc.;Accenture plc",56,in-progress,"Initial memo now includes Adobe ServiceNow Palo Alto Networks HP and Accenture, and Meta now sharpens the split between a dominant AI-reinforced consumer-attention platform and the weaker-moat ad-dependent player through Snap; the AI and platform evidence now spans not only software internet platforms semiconductors networking-control layers a foundry-turnaround incumbent and a cyclical full-stack enterprise-infrastructure supplier but also a dominant social-and-advertising interface layer with heavy infrastructure concentration and a labor-and-execution-heavy enterprise-services reinvention layer"
financial-large-bank-scale,Financial large-bank scale,cross-company,Scale banks are still winning through diversification balance-sheet strength capital-markets leverage payments-and-treasury infrastructure and compliance capacity as moat,Financial,Money Center Banks,JPMorgan Chase & Co.;Bank of America Corporation;Citigroup Inc.,15,in-progress,"Initial memo now covers JPM BAC and Citi and adds a clearer cross-border-services payments-infrastructure transformation AI-workflow and compliance-as-moat layer to the money-center-bank evidence set, aligning the bank read more explicitly with the money-gets-unbundled and compliance-tax force map"
financial-premium-payments-and-membership,Financial premium payments and membership,initial-sector-theme,Premium payments and membership economics are still compounding through spend quality fees closed-loop data merchant economics and trusted premium-network bundling,Financial,Credit Services,American Express Company,6,in-progress,Initial memo now uses American Express to widen Financial beyond banks into premium-card spend card-fee monetization closed-loop network economics younger-cohort adoption travel-and-dining demand agentic-commerce positioning and a clearer money-gets-unbundled plus card-rails force-map read
financial-insurance-underwriting-and-investment-float,Financial insurance underwriting and investment float,initial-sector-theme,Insurance earnings are still being driven by underwriting discipline catastrophe management and investment-float income,Financial,Property & Casualty Insurance,Chubb Limited,6,in-progress,Initial memo now uses Chubb to widen Financial beyond banks and cards into underwriting combined-ratio discipline reserve quality catastrophe exposure life-income contribution and investment-float economics
financial-asset-management-flows-and-fee-rate-pressure,Financial asset management flows and fee-rate pressure,initial-sector-theme,Asset-management earnings are being driven by market levels product migration fee-rate pressure and flow quality,Financial,Asset Management,"T. Rowe Price Group, Inc.;Franklin Resources, Inc.;Invesco Ltd.;BlackRock, Inc.",25,in-progress,Initial memo now uses T. Rowe Price Franklin Resources Invesco and BlackRock to widen Financial into AUM economics fee-rate pressure flow quality wrapper migration ETF and SMA adoption alternatives and private-markets adjacency plus the split between narrower legacy active-management pressure broader hybrid-manager recovery ETF-and-index-dominant scale economics and dominant platform-scale asset management with technology-and-data breadth
financial-alternative-manager-fees-and-realizations,Financial alternative manager fees and realizations,initial-sector-theme,Alternative-manager earnings are being driven by fee-related earnings realizations fundraising breadth monetization and in some cases insurance-linked spread or insurance-economics support,Financial,Asset Management,"Blackstone Inc.;Apollo Global Management, Inc.;KKR & Co. Inc.;Ares Management Corporation;The Carlyle Group Inc.",20,in-progress,Initial memo now uses Blackstone Apollo KKR Ares and Carlyle to widen Financial into alternative-asset-management economics including fee-related earnings distributable earnings fundraising breadth perpetual capital deployment realizations monetization private credit insurance wealth distribution asset-based finance AI-data-center-power investment themes Apollo-specific spread-related-earnings and retirement-services economics KKR-specific insurance-economics plus private-wealth breadth an Ares-specific management-fee fee-paying-AUM dry-powder and fundraising-scale model and a Carlyle-specific diversified fee-plus-carry model across Global Private Equity Global Credit and AlpInvest
financial-market-infrastructure-and-risk-transfer,Financial market infrastructure and risk transfer,initial-sector-theme,Market-infrastructure earnings are being driven by volatility demand benchmark centrality clearing collateral efficiency data monetization and risk-transfer utility economics,Financial,Investment Brokerage - National,CME Group Inc.,6,in-progress,Initial memo now uses CME Group to widen Financial into exchange and clearing infrastructure benchmark-liquidity network effects market-data monetization contract-mix sensitivity volatility-linked hedging demand and a clearer money-gets-unbundled plus money-movers force-map read
financial-custody-and-asset-servicing-scale,Financial custody and asset servicing scale,initial-sector-theme,Custody and asset-servicing earnings are being driven by institutional scale fee breadth and hidden workflow infrastructure,Financial,Asset Management,State Street Corp.,6,in-progress,Initial memo now uses State Street to widen Financial into custody asset-servicing AUC/A scale institutional-fee breadth software-and-processing revenue and embedded workflow infrastructure economics
financial-ratings-benchmarks-and-data-infrastructure,Financial ratings benchmarks and data infrastructure,initial-sector-theme,Ratings benchmarks and data-workflow earnings are being driven by embedded decision infrastructure benchmark dependence regulatory embedment and high-value recurring information,Financial,Investment Brokerage - National,S&P Global Inc.,6,in-progress,Initial memo now uses S&P Global to widen Financial into ratings authority benchmark licensing commodity-pricing information market-intelligence subscriptions analytics-workflow infrastructure and a clearer money-gets-unbundled plus compliance-embedment force-map read after the Mobility separation
consumer-goods-value-portfolio,Consumer goods value portfolio,initial-sector-theme,Consumer-goods growth is becoming more dependent on affordability architecture international breadth resilient care-category portfolio mix functional-energy demand and the packaging layer behind everyday consumption,Consumer Goods,Beverages - Soft Drinks;Packaging & Containers;Processed & Packaged Goods;Personal Products,PepsiCo Inc.;Procter & Gamble Co.;Kimberly-Clark Corp.;Colgate-Palmolive Co.;Coty Inc;The Estee Lauder Companies Inc.;Graphic Packaging Holding Company;Monster Beverage Corp,50,in-progress,Initial consumer-goods memo now covers PepsiCo P&G Kimberly-Clark Colgate Coty Estee Lauder Graphic Packaging and Monster across packaged food-beverage functional-energy personal-care oral-care pet-nutrition split beauty-category evidence sets and the packaging-and-consumer-infrastructure layer
