target_id,linked_ladder_ids,lane_or_case,priority,current_proof_level,cash_realization_gap,target_document_family,source_route,current_route_status,fields_to_extract,upgrade_rule,hold_or_disproof_rule,output_artifact,safe_claim
CFCRST-001,CFRL-002,FPL Distribution Inspection,1,category-output-recovery-with-component-and-capital-structure-attribution-partial,"Category customer receipts and source-of-funds allocation are missing.","SPPCRC 2027 actual/estimated true-up and category allocation workpapers","Florida PSC Docket 20250010-EI; FPL 2026 actual/estimated SPPCRC filing expected in 2027; Form 2A/5P/6P/7A/8A workpapers",route-visible-not-yet-acquired,"program; month; billed revenue; collected revenue; customer class; billing determinant; factor; category allocation; true-up balance; funding source","Upgrade if Distribution Inspection customer cash or billing allocation is visible for the same period and source-of-funds allocation is disclosed.","Hold if the filing remains aggregate SPPCRC revenue only; weaken if category is excluded, disallowed, refunded, or cannot be separated.",capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.md,"FPL remains the best regulated recovery bridge, but not cash-realization proof until category receipts/source allocation are captured."
CFCRST-002,CFRL-003,URI fleet,2,repeated-period-capital-to-output-proxy,"Asset-class cash yield and growth-versus-replacement economics are missing.","Fleet utilization, segment OEC, rental margin, capex split, and borrowing-base certificate","URI 10-Q/10-K tables; investor presentations; ABL public documents; AR securitization reports; possible lender certificates",partial-local-evidence-visible,"fleet class; OEC; utilization; rental revenue; gross profit; maintenance capex; growth capex; sale proceeds; eligible collateral; advance rate; reserves","Upgrade if same-period fleet capital can be tied to rental revenue, margin, cash conversion, utilization, and recovery proceeds by class.","Hold if evidence stays company-level; weaken if growth depends mostly on acquisition goodwill or replacement need without cash yield.",capital-flow-uri-fleet-cash-yield-source-target-pass-1.md,"URI is the strongest cash-conversion proxy, not full asset-level ROIC proof."
CFCRST-003,CFRL-004,Sterling backlog,3,conversion-supported-backlog-platform,"Backlog collectability, owner funding, retainage, L/C usage, surety usage, and project margin are missing.","Project-owner funding and backlog cash collection evidence","Sterling 10-Q/10-K; credit agreement schedules; surety/L/C disclosures; project awards; owner agency budget records",partial-local-evidence-visible,"RPO; backlog burn; contract liabilities; retainage; billed receivables; L/C outstanding; surety bonded backlog; owner funding; margin; cancellation","Upgrade if backlog converts into revenue/cash with owner funding and risk supports visible in same period.","Hold if only RPO and company OCF are visible; weaken if backlog is unsigned, acquired-only, low-margin, cancellable, or working-capital intensive.",capital-flow-sterling-project-cash-collection-source-target-pass-1.md,"Sterling is conversion-supported, but project cash and risk allocation remain open."
CFCRST-004,CFRL-005,Cheniere LNG,4,entity-output-bridge-visible,"Train-level project cash, debt service, waterfall, and customer economics are missing.","Project-finance waterfall, SPA economics, train-level debt/capex/revenue schedule","Cheniere SEC filings; SPL/CQP indentures; offering memoranda; FERC project dockets; DOE export data; SPA/IPP customer filings",partial-local-evidence-visible,"train; entity; source/use; debt draw; restricted cash; SPA volume; price formula; cargo/customer; revenue; EBITDA; debt service; distribution","Upgrade if train/entity source-use-output can be tied to customer revenue/cash and debt service.","Hold if only entity debt and cargo counts are visible; weaken if output cannot be mapped to contracted cash or project debt.",capital-flow-cheniere-project-cash-waterfall-source-target-pass-1.md,"Cheniere is strong physical-output evidence, not yet project-cash-grade."
CFCRST-005,CFRL-006,Private-credit borrower rows,5,borrower-destination-and-vehicle-stack-visible,"Facility size, funds flow, borrower cash use, repayment source, and bank role are missing for most borrowers.","Borrower credit agreements, rating reports, funds-flow records, payoff evidence, lender schedules","SEC borrower/proxy filings; sponsor financing releases; rating agency reports; UCC/payoff searches; BDC schedule footnotes",mixed-local-evidence-visible,"borrower; facility; lender; amount; tranche; use of proceeds; repayment target; old bank role; borrower EBITDA/cash; covenant; maturity","Upgrade if holder exposure can be mapped to facility, use, cash generation or repayment capacity, and bank-role outcome.","Hold if only fair value/commitment rows exist; weaken if use is dividend, refinancing-only, or lender role differs from hypothesis.",capital-flow-private-credit-borrower-cash-use-source-target-pass-1.md,"Private credit is destination-proven, not generally cash-use-proven."
CFCRST-006,CFRL-008,Bank role pattern,6,selected-case-bank-replacement-visible,"The broad before/after bank-role pattern is not proven.","Credit-agreement termination and retained ancillary bank-role evidence","SEC 8-K/proxy exhibits; UCC releases; lender schedules; administrative-agent records; treasury/hedging disclosures; rating reports",selected-cases-visible,"old facility; old agent; payoff; termination; new facility; new lender group; revolver; treasury; hedging; collateral; agency role","Upgrade if multiple cases show whether banks exited, stayed, or migrated roles after private-credit financing.","Hold if only one-off takeout evidence exists; weaken broad replacement if banks retain material revolver/treasury/hedging roles.",capital-flow-bank-role-pattern-source-target-pass-1.md,"Bank replacement is selected-case visible, not broad-pattern proven."
CFCRST-007,CFRL-007,Vehicle liability-to-asset pool,7,vehicle-source-stack-visible,"Ultimate liability/source allocation to borrower assets is missing.","Vehicle liability stack and asset-pool allocation documents","BDC annual reports; non-traded BDC prospectuses; notes payable schedules; subscription facility documents; CLO/SPV filings; statutory schedules",partial-local-evidence-visible,"assets; debt; notes; credit facilities; equity/NAV; leverage; asset coverage; subscription funding; CLO/SPV; insurance liability; borrower asset pool","Upgrade if same-period vehicle liabilities can be tied to the asset pool that includes the borrower without one-dollar overclaiming.","Hold if stack is visible but not allocable; weaken if vehicle is only historical or borrower exposure no longer current.",capital-flow-vehicle-liability-to-asset-pool-source-target-pass-1.md,"Vehicle-stack proof is source context, not exact borrower-dollar provenance."
CFCRST-008,CFRL-010,Publication claim cash audit,8,publication-ready-bounded,"Existing publication sentences may not all distinguish cash realization from proxy evidence.","Claim-to-evidence cash-realization audit","Publication register; evidence-backed insights; cash-realization ladder; rendered source pages",local-derived-ready,"claim; proof level; evidence route; amount; period; cash-realization level; forbidden overclaim; contrary-source check; citation page","Upgrade if every external sentence has a cash-realization level and boundary tied to server-visible evidence.","Hold or rewrite if any sentence treats aggregate revenue, OCF, backlog, cargoes, or fair value as asset-level cash.",capital-flow-publication-claim-cash-realization-audit-pass-1.md,"Publication language is usable only with cash-realization boundaries."
CFCRST-009,CFRL-009,519-company cash-realization batch,9,process-scale-visible,"The 519-company template is procedural, not empirical cash proof.","Lane-specific cash-realization batch extraction","35-company pilot; 71 selected lane queue; source-acquisition manifest; lane-specific public sources",queue-ready,"company; lane; role; target source; expected cash field; current proof; disproof test; first extraction artifact; safe claim","Upgrade if a batch produces named-source, named-metric, proof-level, disproof-test, and publication-boundary fields.","Hold if rows remain templates or source routes; weaken representativeness if first batch has low proof yield.",capital-flow-519-company-cash-realization-batch-pass-1.md,"The process scales; empirical cash proof needs lane batches."
CFCRST-010,CFRL-005;CFRL-009,Energy Transfer / midstream,10,company-level-funding-and-output-visible,"Named-project source/use, tariff/customer economics, and cash return are missing.","Project source/use, tariff, shipper contract, debt/refinancing, and throughput cash bridge","ET SEC filings; FERC tariffs; project permits; shipper filings; debt offering documents; state pipeline records",partial-local-evidence-visible,"project; capex; source; use; tariff; shipper; volume; rate; revenue; debt service; completion; contribution","Upgrade if a named project links funding source, asset build, customer/shipper revenue, output, and debt/cash economics.","Hold if only company EBITDA, DCF, growth capex, or refinancing is visible.",capital-flow-et-midstream-project-cash-source-target-pass-1.md,"ET is company-funding visible, not named-project cash-return proven."
