review_id,reader_question,target_section,good_feedback_looks_like,out_of_scope,decision,priority,next_action,status
ARRRP-001,Do you understand the thesis quickly?,Opening,Point to the first sentence where the thesis clicks or gets blurry.,Rewriting the whole introduction.,review,1,Reader marks clarity issue if any.,ready
ARRRP-002,Does the bottleneck idea feel useful?,Opening definition,Say whether the physical financial legal operational digital examples help.,Demanding proof for the metaphor itself.,review,1,Reader marks usefulness of frame.,ready
ARRRP-003,Are the seven themes easy to remember?,Whole-map exhibit,Identify which theme name is confusing or redundant.,Adding every possible annual-report theme.,review,1,Reader marks theme naming issues.,ready
ARRRP-004,Does power scarcity work as the first chapter?,Power scarcity,Say whether the power section makes the rest of the article feel more concrete.,Treating power as completed project-return proof.,review,1,Reader reviews opening chapter order.,ready
ARRRP-005,Does the capital-platform section answer who is investing where?,Capital platforms,Say whether the source-wrapper-destination explanation is clear.,Asking AUM to prove borrower cash or returns.,review,1,Reader reviews money-flow explanation.,ready
ARRRP-006,Is the money-flow ladder understandable?,Money-flow ladder,Mark any level that needs plainer wording.,Turning the ladder into a full model in this article.,review,1,Reader checks ladder clarity.,ready
ARRRP-007,Does industrial uptime feel distinct from power and built environment?,Industrial uptime,Say whether the equipment parts service backlog frame is clear.,Requiring project-level cash proof in this synthesis.,review,2,Reader checks theme distinction.,ready
ARRRP-008,Does healthcare access avoid sounding like generic healthcare demand?,Healthcare access,"Say whether access, labor, reimbursement, and trust are separated clearly.",Treating volume as care-quality proof.,review,2,Reader checks healthcare distinction.,ready
ARRRP-009,Does built-environment upkeep avoid a generic housing-cycle story?,Built environment,"Say whether repair, Pro, coatings, materials, and waterworks feel distinct.",Collapsing the section into housing beta.,review,2,Reader checks built-environment framing.,ready
ARRRP-010,Does digital control explain why software/security/platforms belong together?,Digital control,"Say whether permission, routing, security, identity, and governance connect.",Treating ARR or traffic as proof of durable margins.,review,2,Reader checks digital-control coherence.,ready
ARRRP-011,Does value retail improve on the trade-down story?,Value retail,Say whether regret reduction is clearer than cheapness alone.,Assuming all value retailers win equally.,review,2,Reader checks consumer framing.,ready
ARRRP-012,Do the proof boxes make the article more rigorous?,Proof boxes,Say which box is most useful and which feels too abstract.,Treating proof boxes as completed proof.,review,1,Reader checks proof-box usefulness.,ready
ARRRP-013,"Are the boundaries too heavy, too light, or right?",Throughout,Identify any boundary that interrupts flow or any claim that needs a stronger boundary.,Removing the boundary system.,review,1,Reader checks boundary pacing.,ready
ARRRP-014,What needs citation first for public release?,Source notes and company examples,Mark the highest-priority company-specific claims.,Requiring all citations before reader review.,review,1,Reader flags citation priorities.,ready
ARRRP-015,Should the piece be shorter or split into two pieces?,Whole article,Say whether a reader would finish it in one sitting.,Cutting the proof discipline out to make it shorter.,review,2,Reader checks length and pacing.,ready
ARRRP-016,What is the most memorable takeaway?,Final takeaway,Say which sentence should become the abstract or summary.,Turning the takeaway into a stock call.,review,2,Reader selects takeaway.,ready
