section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARHCAX-001,opening_frame,Gray Wave Dividend; Screening Revolution; Trust Market,Healthcare access is the hard distance between medical need and paid care.,medical need -> permission -> capacity -> delivery -> claim -> reimbursement -> cash -> quality/trust test,UnitedHealth; Cigna; DaVita; Addus; Option Care; BrightSpring; Enhabit,authorization; staffing; reimbursement; claims; receivables; OCF; quality,"Safe claim: healthcare access is a conversion system, not mere demand."
ARHCAX-002,need_is_not_access,all three old dynamics,"A sick or aging patient does not become revenue until care is reachable, authorized, staffed, delivered, billed, and paid.",patient need -> provider/payer route -> appointment or authorization -> delivered care -> claim -> payment,UnitedHealth; Cigna; DaVita; Addus; Option Care; CVS; Humana; HCA,patients served; appointments; authorizations; claims; payer mix; cash collection,"Safe claim: need creates pressure, not proof of delivered care."
ARHCAX-003,payers_control_routes,Trust Market,"Payers and PBMs control networks, authorization, claims, pharmacy routing, and medical-cost risk.",premium or fee -> payer/PBM -> network/authorization/claims/pharmacy route -> cost and earnings -> cash,UnitedHealth; Cigna; CVS; Elevance; Humana,medical cost ratio; claims payable; premium receivables; segment margin; retention; OCF,"Safe claim: payer scale is routing power, but not proof of fair access."
ARHCAX-004,pharmacy_routing,Screening Revolution; Trust Market,"Drugs become care only when prescribed, covered, dispensed, delivered, reimbursed, and taken.",therapy need -> prescription/referral -> authorization -> pharmacy/specialty route -> claim -> reimbursement,Cigna/Evernorth; CVS/Caremark; OptumRx; McKesson; Cencora; Option Care; BrightSpring,script volume; specialty mix; rebates/regulatory risk; inventory; receivables; margin,"Safe claim: pharmacy routing is infrastructure, not automatic affordability proof."
ARHCAX-005,aging_moves_care_home,Gray Wave Dividend,"Aging and chronic disease move care into homes, senior housing, hospice, home health, infusion, and equipment logistics.",aging/chronic need -> home-care referral -> caregiver/nurse/equipment/drug route -> reimbursed visit/service -> cash after wages,Addus; BrightSpring; Enhabit; Aveanna; AdaptHealth; Welltower; Ventas; Option Care,census; visits; billable hours; reimbursement rates; caregiver retention; receivables,"Safe claim: aging supports demand, but worker and reimbursement math decide cash."
ARHCAX-006,labor_is_capacity,Gray Wave Dividend,Healthcare labor is not just expense; it is the capacity to deliver the product.,care need -> clinician/caregiver availability -> scheduled service -> wage cost -> reimbursement -> margin,Addus; Enhabit; BrightSpring; Aveanna; HCA; DaVita; Option Care,staffing ratios; billable hours; wage rates; hiring; retention; labor productivity,Safe claim: labor shortage can raise value or destroy margin.
ARHCAX-007,recurring_care_density,Gray Wave Dividend,"Chronic conditions create repeated care routes, but repeated volume is not quality or cash proof.",chronic condition -> repeated treatment schedule -> staffed center/home model -> claim per treatment -> reimbursement -> cash,DaVita; Fresenius; UnitedHealth kidney care; chronic-care operators,treatments; revenue per treatment; cost per treatment; payer mix; utilization; outcomes,"Safe claim: recurring care creates density, not automatic good economics."
ARHCAX-008,screening_and_diagnosis,Screening Revolution,"Screening turns hidden risk into tests, diagnoses, referrals, and downstream care routes.",risk/symptom -> test order -> lab/device workflow -> coverage/payment -> result -> treatment/referral,Labcorp; Quest; Natera; Exact Sciences; Abbott; Thermo Fisher; Hologic,test volume; reimbursement; payer coverage; false positives; downstream care; outcomes,"Safe claim: diagnostics can open care pathways, but volume is not clinical value proof."
ARHCAX-009,trust_is_economic,Trust Market,"Patients cannot easily judge medical quality, so trusted routes have economic value.",vulnerable patient need -> trusted route -> appointment/test/treatment/fill -> continued use/referral -> cash,UnitedHealth; Cigna; HCA; Labcorp; Quest; DaVita; Option Care; trusted care brands,retention; referrals; quality scores; complaints; denials; adherence; outcomes,"Safe claim: trust matters economically, but scale or brand is not proof of trust."
ARHCAX-010,reimbursement_gate,all three old dynamics,"Reimbursement quality decides whether access becomes cash after payer rules, rates, coding, and denials.",covered service -> coded claim -> payer adjudication -> allowed amount -> payment timing -> cash collection,UnitedHealth; Cigna; DaVita; Addus; Option Care; HCA; McKesson; Cencora,payer mix; rates; denials; receivable aging; claim collections; medical cost ratio,Safe claim: revenue needs reimbursement and collection support.
ARHCAX-011,working_capital,all three old dynamics,"Healthcare can look healthy in revenue while cash is tied up in drugs, claims, receivables, wages, or inventory.",service/drug cost -> claim or bill -> receivable/claims payable -> payment lag -> operating cash flow,Option Care; Cigna; UnitedHealth; McKesson; Cencora; DaVita; Addus; hospitals,inventory; receivables; claims payable; DSO; OCF; FCF; debt,Safe claim: cash quality requires balance sheet and cash-flow evidence.
ARHCAX-012,family_burden,Gray Wave Dividend,Families provide coordination labor that company accounts often do not capture.,patient need -> family coordination -> formal provider/payer route -> reimbursed care -> unpaid burden remains,home care; hospice; senior housing; chronic care; infusion; dialysis,caregiver burden; visit gaps; coordination measures; patient support; complaints,Safe claim: company revenue omits some social cost.
ARHCAX-013,proof_ladder,all three old dynamics,The proof ladder runs from demand to access to reimbursement to operating conversion to trust and cash proof.,demand -> access -> reimbursement -> operating conversion -> claims/receipts/outcomes/trust,all target healthcare companies,covered lives; patients; claims; receivables; OCF; quality; outcomes; denial data,Safe claim: most current evidence is levels 1-4 in pieces; level 5 remains open.
ARHCAX-014,company_reading_rules,all three old dynamics,"Each healthcare model needs its own proof standard: payer, PBM, dialysis, home care, infusion, hospital, lab, device, and distributor.",company type -> correct healthcare metric -> cash-quality bridge -> safe claim or gap,UnitedHealth; Cigna; DaVita; Addus; Option Care; BrightSpring; HCA; Labcorp,model-specific metrics; segment data; reimbursement; labor; cash flow; quality,Safe claim: no one generic healthcare metric proves the whole theme.
ARHCAX-015,social_question,Gray Wave Dividend; Trust Market,The central question is whether companies reduce patient burden or simply control the route through which burden passes.,vulnerability -> administrative route -> access or friction -> company revenue -> patient/family outcome,payers; providers; PBMs; home-care operators; diagnostics; hospitals,denials; quality; satisfaction; outcomes; affordability; labor adequacy; complaints,Safe claim: healthcare access is both an economic and social burden-transfer system.
ARHCAX-016,next_work,all three old dynamics,"The next proof pass must go below revenue into claims, receivables, payer mix, labor, drug cost, quality, and cash conversion.",source pull -> service-line table -> claim/reimbursement bridge -> cash-quality and outcome boundary,UnitedHealth; Cigna; DaVita; Addus; Option Care,MCR; claims payable; receivables; payer mix; rates; billable hours; drug inventory; OCF; quality,Safe claim: this page defines the next cash-quality extraction path; it is not extraction itself.
