deliverable_id,deliverable,status,authoritative_artifact,boundary_or_gap,verification
D-01,Social and macro force atlas,partial,analysis/company-first-principles/combined-investment-research-force-to-company-atlas-2026-09-15.md,"Six bounded routes now cover the three original pilots plus FPL, MF1/Apollo-Athene, and URI next-cycle public-source admissions; prevalence, causality, upstream discovery, and company attribution remain qualified where not directly evidenced.","Check six atlas rows, source boundaries, CSV, expansion handoffs, and force-to-pilot verifiers"
D-02,IBIS-style industry and adjacency map,usable,notes/ibis-industries-crosswalk.md,"Industry context does not prove company-period financial facts.","Check crosswalk and Pilot 02 handoff"
D-03,Inc. 5000 growth-company discovery layer,usable,/home/mehtama1/git-repo/inc5000-analysis/README.md,"Private-company growth is discovery context, not profitability or owner cash.","Check external repository artifact and source boundary"
D-04,Company packets and source ledgers,partial,analysis/company-first-principles/combined-investment-research-active-pilot-packet-coverage-2026-09-15.md,"Active pilot packets, ledgers, dossiers, and current evidence coverage are now explicitly audited; roster-wide depth and some call-transcript/current-quarter coverage remain uneven.","Check the active-pilot coverage matrix, packet paths, pilot ledgers, and source-path verifier"
D-05,Deep company dossiers,usable,analysis/deep-company-pages/the-tjx-companies-inc.md,"Dossier depth varies across the broader company roster.","Check deep-company page and reader route"
D-06,First-principles cohort essays,usable,analysis/cross-sector/company-and-cohort-writing-map-2026-09-14.md,"Cohort conclusions remain qualified where owner-cash normalization is open.","Check writing map and linked comparison essays"
D-07,Cross-sector comparisons,usable,analysis/cross-sector/financial-intermediation-to-owner-cash-forensic-synthesis-2026-09-14.md,"Comparisons connect mechanisms but do not replace company proof.","Check comparison route and linked company cases"
D-08,Damodaran method and valuation registry,qualified,analysis/company-first-principles/combined-investment-research-method-registry.md,"Valuation outputs remain illustrative where cash or reinvestment inputs are unresolved; the September 16 market snapshot is preserved in both Markdown and structured CSV form.","Check registry, dated market snapshot CSV, and three valuation workbenches"
D-09,Lyn Alden macro and liquidity routes,qualified,analysis/company-first-principles/combined-investment-research-macro-liquidity-transmission-matrix.md,"Mechanism and regime consistency are shown; the through-cycle causal-test protocol now defines the promotion gate, but causal attribution remains open.","Check transmission matrix, current-regime validation, historical validation, and through-cycle causal-test protocol"
D-10,Investments-article hypothesis and hard-gate bridge,usable,analysis/company-first-principles/combined-investment-research-investments-repo-bridge.md,"Article-derived hypotheses remain subordinate to primary filing evidence.","Check article bridge and Pilot 01 handoff"
