detail_row_id,coordinate_row_id,schedule_part,page,cusip,cusip_marker_type,book_adjusted_carrying_value,interest_income_due_accrued,interest_received_during_year,payment_due_at_maturity,simple_interest_received_on_book_pct,proof_use,boundary,next_action
CFKKRGACOBIBD-001,CFKKRGACEDCOB-1006,Schedule D Part 1 Section 1 issuer-credit obligations owned,240,90231*-AA-0,statutory-private-marker-cusip,202125000,6585906,17419245,208177521,8.618056,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-002,CFKKRGACEDCOB-0015,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,54438C-PA-4,standard-cusip-like,56626113,1288969,3093525,47376763,5.463071,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-003,CFKKRGACEDCOB-0563,Schedule D Part 1 Section 1 issuer-credit obligations owned,230,458140-BM-1,standard-cusip-like,66417686,778820,2902052,64380157,4.369396,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-004,CFKKRGACEDCOB-0981,Schedule D Part 1 Section 1 issuer-credit obligations owned,240,94974B-GU-8,standard-cusip-like,45705863,174895,2623425,56541713,5.739800,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-005,CFKKRGACEDCOB-0081,Schedule D Part 1 Section 1 issuer-credit obligations owned,219,78486#-AA-3,statutory-private-marker-cusip,61250000,552611,2305722,,3.764444,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-006,CFKKRGACEDCOB-1007,Schedule D Part 1 Section 1 issuer-credit obligations owned,240,L9632@-AA-0,statutory-private-marker-cusip,21019811,1252938,1992125,22175901,9.477369,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-007,CFKKRGACEDCOB-0957,Schedule D Part 1 Section 1 issuer-credit obligations owned,239,92343V-DS-0,standard-cusip-like,37084038,357295,1692452,34614226,4.563829,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-008,CFKKRGACEDCOB-0747,Schedule D Part 1 Section 1 issuer-credit obligations owned,234,68389X-CK-9,standard-cusip-like,25630607,227489,1574925,,6.144704,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-009,CFKKRGACEDCOB-0019,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,072024-NV-0,standard-cusip-like,25657269,334807,1339226,8368855,5.219675,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-010,CFKKRGACEDCOB-0651,Schedule D Part 1 Section 1 issuer-credit obligations owned,232,58013M-FA-7,standard-cusip-like,30494597,80810,1322344,10216092,4.336322,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
