boundary_family,boundary_type,company_name,ticker,sector,industry,company_packet_path,customer_return_anchor,control_center_of_gravity,marketplace_or_coordination_role,best_comparison_pair,main_analytical_use,last_updated,status
"Retail versus marketplace boundary","Inventory-led retailer with marketplace extension","Walmart Inc.",WMT,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/walmart-inc/company-packet.md","first-party household basket value convenience and omnichannel utility","merchanting store network first-party basket and mass utility relationship","widens retail through media membership and marketplace layers","Amazon; Target","separate retail-first systems from interface-heavy hybrids",2026-08-10,in-progress
"Retail versus marketplace boundary","Inventory-led retailer with marketplace extension","Target Corp.",TGT,Services,"Discount, Variety Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/discount-variety-stores/target-corp/company-packet.md","household trips curated mass retail same-day utility and app reinforcement","owned merchanting store base same-day utility and retail relationship","widens retail through Roundel Target Circle 360 and Target+","Walmart; Amazon","separate lighter retail widening from Walmart and Amazon scale",2026-08-10,in-progress
"Retail versus marketplace boundary","Inventory-led retailer with marketplace extension","Ulta Beauty, Inc.",ULTA,Services,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/services/specialty-retail-other/ulta-beauty-inc/company-packet.md","beauty replenishment discovery services and loyalty","category environment loyalty services and discovery interface","marketplace assortment and media widen a retailer-controlled category environment","Warby Parker; Amazon","separate retailer-controlled discovery from interface-first systems",2026-08-10,in-progress
"Retail versus marketplace boundary","Inventory-led retailer with marketplace extension","Best Buy Co., Inc.",BBY,Services,"Electronics Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/electronics-stores/best-buy-co-inc/company-packet.md","electronics replacement support and service interaction","owned category environment services and support relationship","marketplace and ads widen a service-stabilized retailer","Target; eBay","separate service-stabilized retail from marketplace-first demand",2026-08-10,in-progress
"Retail versus marketplace boundary","Utility retailer with major ecosystem widening","Amazon.com, Inc.",AMZN,Retail,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/specialty-retail-other/amazoncom-inc/company-packet.md","utility search replenishment Prime and account-level convenience","interface demand fulfillment seller services ad inventory and ecosystem utility","central to the economics rather than merely additive","Walmart; eBay","separate retail demand loop with ecosystem monetization from retail-first and marketplace-first cases",2026-08-10,in-progress
"Retail versus marketplace boundary","Marketplace retail without owned inventory","eBay Inc.",EBAY,"Consumer Goods","Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/internet-service-providers/ebay/company-packet.md","search discovery resale trust and category culture","seller supply traffic trust features and listing economics","defines the economics","Etsy; Amazon","separate marketplace-first demand from inventory-led retail",2026-08-10,in-progress
"Retail versus marketplace boundary","Marketplace retail without owned inventory","Etsy, Inc.",ETSY,Technology,"Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-service-providers/etsy-inc/company-packet.md","uniqueness gifting self-expression and creator-led discovery","seller identity creative supply discovery and trust","defines the economics","eBay; Ulta","separate creator marketplace demand from retailer-controlled discovery",2026-08-10,in-progress
"Retail versus marketplace boundary","Retailer-enablement coordination layer","Maplebear Inc. dba Instacart",CART,Technology,"Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-service-providers/maplebear-inc/company-packet.md","grocery convenience basket assembly and digital grocery habit","retailer enablement grocery-demand routing retail media and store software","defines the economics and sits around retailers rather than replacing them","Kroger; Amazon","separate retailer-enablement coordination from owned-retail control",2026-08-10,in-progress
"Retail versus marketplace boundary","Local-demand coordination layer","DoorDash, Inc.",DASH,Technology,"Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/internet-service-providers/doordash/company-packet.md","convenience local ordering fill-in purchasing and membership habit","merchant density routing logistics memberships and merchant tooling","defines the economics","Uber; Instacart","separate convenience infrastructure from retail inventory systems",2026-08-10,in-progress
"Retail versus marketplace boundary","Local-demand coordination layer","Uber Technologies, Inc.",UBER,Technology,"Application Software","/home/manishmehta/ui-projects/annual-report-research/extracted/technology/application-software/uber-technologies-inc/company-packet.md","movement delivery wallet behavior and account-level local-demand utility","routing wallet-like account behavior supply coordination and memberships","defines the economics","DoorDash; Amazon","separate movement-and-wallet coordination from retail-first utility",2026-08-10,in-progress
