realization_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
CFETPCR-001,CFE2EGUQ-005,queue-decision,capital-flow-end-to-end-graph-upgrade-queue-pass-1.csv,executed-local-boundary-pass-1,current synthesis,Energy Transfer projects were the fifth end-to-end graph upgrade target,priority 5,boundary-pass,"Question is whether ET's company capital sources can be tied to named projects and customer cash.","Named-project contract cash and EBITDA contribution were not proven before this pass.",ET project contracts tariff billing project EBITDA and source/use records,ET is ready for named-project cash-realization testing but not full upgrade.
CFETPCR-002,CFE2EGUQ-005,company-cash-generation,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Adjusted EBITDA for the three months ended June 30 2026,5.07B USD,company-cash-proxy-visible,"Cash generation exists at partnership level and can support the growth-capex program.","Adjusted EBITDA is non-GAAP and not allocable to Nederland or Lone Star.",DCF reconciliation retained cash distributions and project EBITDA bridge,ET has company-level cash-generation evidence.
CFETPCR-003,CFE2EGUQ-005,company-cash-generation,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Distributable Cash Flow attributable to partners as adjusted,2.59B USD,company-cash-proxy-visible,"DCF is visible as a same-period cash proxy for the partnership.","DCF is not retained cash after distributions and is not project-specific.",Distribution coverage retained cash and project contribution schedule,ET has DCF support but not project cash-return proof.
CFETPCR-004,CFE2EGUQ-005,use-of-funds,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Growth capital expenditures in the second quarter of 2026,1.10B USD,use-visible,"ET is deploying material capital into expansion work during the same period as cash generation.","The Q2 growth capex is not allocated to individual projects.",Project-level capex schedule and in-service project spend table,ET has growth-capex use evidence at company level.
CFETPCR-005,CFE2EGUQ-005,use-of-funds,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,FY 2026 guidance,Expected investment in growth capital for 2026,5.6B-5.9B USD,program-scale-visible,"The 2026 program gives the denominator for ET's expansion investment cycle.","Guidance is not actual cash spent and does not identify funding source by project.",Year-end capex table and project-by-project actuals,ET has program-scale evidence but not project funding proof.
CFETPCR-006,CFE2EGUQ-005,funding-capacity,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Five-Year Credit Facility unused availability after letters of credit,3.76B USD,facility-capacity-visible,"Revolver availability shows liquidity capacity around the buildout.","Availability is not a draw and does not prove revolver-funded project spend.",Borrowing history use-of-proceeds records and revolver draw roll-forward,ET has facility-capacity evidence only.
CFETPCR-007,CFE2EGUQ-005,debt-stack,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Long-term debt less current maturities,68.393B USD,balance-sheet-context-visible,"ET's projects sit inside a large debt-funded partnership capital stack.","Total debt does not identify project-level lenders maturities or proceeds allocation.",Debt maturity table note proceeds and project financing support,ET has balance-sheet funding context.
CFETPCR-008,CFE2EGUQ-005,refinancing-source,capital-flow-capital-intensive-filed-credit-term-summary-pass-1.csv,source-visible,January 2026,Senior notes issued with refinancing use language,3.00B USD,refinancing-source-visible,"New senior notes refinanced existing indebtedness including commercial paper and Five-Year Credit Facility borrowings.","The notes are not traced into Nederland Lone Star or y-grade project spend.",Note prospectus supplement and debt/use-of-proceeds bridge,ET has refinancing-source evidence but not source-to-project allocation.
CFETPCR-009,CFE2EGUQ-005,refinancing-use,capital-flow-capital-intensive-filed-credit-term-summary-pass-1.csv,source-visible,January-February 2026,Senior notes redeemed,1.60B USD,liability-management-visible,"The financing route includes liability management rather than a pure project-funding draw.","Refinancing capacity relief is not quantified into incremental project capital.",Debt roll-forward and pro forma liquidity bridge,ET has liability-management evidence.
CFETPCR-010,CFE2EGUQ-005,covenant-capacity,capital-flow-capital-intensive-filed-credit-term-summary-pass-1.csv,source-visible,2026 Q2,Partnership leverage ratio under Five-Year Credit Facility covenant,3.01x,covenant-clue-visible,"Covenant disclosure gives a numeric capacity clue for the funding wrapper.","The covenant limit and full calculation schedule are not extracted.",Five-Year Credit Facility agreement and covenant calculation exhibit,ET has covenant-context evidence only.
CFETPCR-011,CFE2EGUQ-005,named-project-output,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Nederland ethane export capacity addition,240000 bpd,project-output-visible,"A named project output denominator is visible for Nederland ethane export capacity.","Project cost financing source customer fee economics utilization and EBITDA are missing.",Nederland project filing investor presentation shipper support and billing evidence,Nederland is output-visible but not cash-realization proof.
CFETPCR-012,CFE2EGUQ-005,named-project-output,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Nederland LPG capacity addition plus pipeline and dock work,55000 bpd,project-output-visible,"The Nederland expansion has a second capacity component tied to LPG and logistics work.","Placed-in-service timing cost contract terms and cash contribution are missing.",Nederland expansion documents and terminal-level volume evidence,Nederland LPG capacity is visible but not return proof.
CFETPCR-013,CFE2EGUQ-005,named-project-output,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Lone Star Express incremental Permian NGL takeaway capacity,more than 90000 bpd,in-service-output-visible,"Lone Star Express has named completed capacity evidence.","Incremental volume utilization customer cash and EBITDA contribution are not separable.",Lone Star project cost volume billing and margin bridge,Lone Star is in-service/output visible but not cash-realization proof.
CFETPCR-014,CFE2EGUQ-005,customer-contract-denominator,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.csv,source-visible,2026 Q2,Long-term transportation and fractionation agreements on y-grade assets,about 300000 bpd,contracted-capacity-visible,"ET has commercial-demand evidence through long-term y-grade transportation/fractionation agreements.","Customer names minimum-volume obligations pricing credit support and cash receipts are not extracted.",Contract exhibits tariff filings customer disclosures and billing volumes,Y-grade agreements support demand but not customer-cash proof.
CFETPCR-015,CFE2EGUQ-005,proof-decision,capital-flow-energy-project-source-use-return-pass-1.csv,executed-local-boundary-pass-1,current synthesis,ET evidence joins company cash generation growth capex refinancing liquidity debt context named capacity and demand clues,boundary-pass,hold-not-upgrade,"Money flow answer: company cash generation and capital markets capacity fund a broad growth-capex program that includes Nederland Lone Star and y-grade assets. The pass holds because exact source-to-project allocation and customer cash by project are not visible.","Named project cost financing source shipper identity tariff billing utilization project EBITDA DCF contribution debt service and return remain missing.",ET project schedules shipper contracts tariff billing terminal volumes and project EBITDA bridge,ET has company-level source/use/output/cash-proxy evidence but named-project cash realization remains unproven.
