locator_id,extraction_target,page_start,page_end,evidence_found,proof_use,boundary,current_status,next_action,upgrade_test
CFAASSL-001,assets page,3,3,"net admitted assets include bonds preferred stock common stock mortgage loans and other investment categories","legal-entity asset base and Schedule D denominator","summary only not issuer-level holdings",page-located,extract assets table,"promote only when asset categories are parsed into numeric fields"
CFAASSL-002,"liabilities surplus and other funds",4,4,"aggregate reserve for life contracts and liability for deposit-type contracts are visible","liability base for spread and funding-cost bridge","not full liability-cost or product-level reserve analysis",page-located,extract liabilities and surplus table,"promote only when reserve and liability fields are normalized"
CFAASSL-003,summary of operations,5,5,"net investment income line is visible","income bridge from invested assets to statutory earnings","summary line only needs asset-class detail",page-located,extract summary operations table,"promote only when income and gain/loss fields are normalized"
CFAASSL-004,cash flow,6,6,"premiums collected and net investment income cash-flow lines are visible","cash receipt/proxy bridge at legal-entity level","does not allocate cash to holdings or borrowers",page-located,extract cash flow table,"promote only when cash-flow fields are normalized"
CFAASSL-005,exhibit of net investment income,18,18,"collected and earned investment income columns are visible for bond and other categories","key source for asset-income extraction","needs full table extraction and category normalization",page-located,extract net investment income exhibit,"promote only when collected and earned income are parsed by category"
CFAASSL-006,interest maintenance reserve,99,99,"IMR calculation page is visible","realized gain/loss smoothing and statutory spread support","not connected to asset disposals yet",page-located,extract IMR table,"promote only when IMR movement ties to gains/losses"
CFAASSL-007,asset valuation reserve,100,100,"AVR default and equity components are visible","credit-quality and statutory reserve pressure","not issuer-level NAIC migration proof",page-located,extract AVR table,"promote only when reserve components are parsed"
CFAASSL-008,Schedule BA verification,450,450,"other long-term invested assets verification between years is visible","roll-forward for alternatives and other invested assets","not issuer/general-partner detail",page-located,extract verification roll-forward,"promote only when cost additions disposals income and carrying-value fields are parsed"
CFAASSL-009,Schedule D verification,451,451,"bonds and stocks verification between years is visible","roll-forward for bonds and stocks acquisition disposal and carrying values","not issuer-level detail",page-located,extract Schedule D verification,"promote only when acquisition disposal and carrying-value roll-forward is parsed"
CFAASSL-010,Schedule D summary by country,452,452,"long-term bonds and stocks owned by country are visible","geographic summary for bond and stock portfolio","not issuer-level holdings",page-located,extract country summary,"promote only when book fair cost and par fields are parsed"
CFAASSL-011,Schedule BA Part 1,5813,5825,"other long-term invested assets owned at year-end with CUSIP name vendor/GP NAIC designation cost fair value book value income and commitments","main Schedule BA holdings and income extraction target","needs tabular parsing across detail pages",range-located,extract BA owned detail,"promote only when rows are normalized by CUSIP issuer NAIC value income and commitment"
CFAASSL-012,Schedule BA Part 2,5826,5829,"other long-term invested assets acquired and additions made with CUSIP name vendor/GP acquisition date type/strategy cost and additions","alternative-asset acquisition/use evidence","detail extraction still required",range-located,extract BA acquisition detail,"promote only when acquisition/addition rows are normalized"
CFAASSL-013,Schedule D Part 1 Section 1,5836,5911,"long-term issuer-credit obligations with CUSIP description NAIC designation cost par fair value book value effective rate income accrued/received interest acquisition and maturity fields","main issuer-credit bond/loan holdings and income extraction target","needs issuer/CUSIP normalization and borrower matching",range-located,extract issuer-credit obligations,"promote only when issuer-credit rows parse into holdings and income fields"
CFAASSL-014,Schedule D Part 1 Section 2,5912,6027,"asset-backed securities detail with CUSIP description NAIC designation cost par fair value book value interest income received interest maturity and origination fields","main ABF holdings and income extraction target","needs ABS type issuer and originator classification",range-located,extract ABS detail,"promote only when ABS rows parse into holdings income maturity and quality fields"
CFAASSL-015,Schedule D Part 2 Section 1,6028,6030,"preferred stock holdings and dividends received fields are visible","equity/preferred income and holding support","not central to private-credit proof unless issuer is relevant",range-located,extract preferred stock detail,"promote only when holdings and dividend fields parse"
CFAASSL-016,Schedule D Part 4,6074,6283,"bonds and stocks sold redeemed or disposed during year with consideration and realized gain/loss fields","realized cash/disposal and gain/loss proof","needs extraction and matching to holdings",range-located,extract disposals detail,"promote only when consideration and realized gain/loss rows are normalized"
CFAASSL-017,Schedule D Part 5,6284,6335,"bonds and stocks acquired and fully disposed during current year","same-year acquisition/disposal cash and gain/loss evidence","needs extraction and matching",range-located,extract same-year acquisition/disposal detail,"promote only when acquisition disposal consideration and gain/loss fields are normalized"
CFAASSL-018,locator decision,3,6336,"targeted schedule pages and ranges are identified inside the 9612-page statutory statement","turns downloaded source into extraction-ready source","does not yet prove holdings income credit quality liability spread or asset cash return",locator-ready,targeted extraction parser,"promote only when extracted rows support statutory cash-return bridge"
