claim_id,source_id,reporting_entity,period,metric_category,metric_name,value,unit,source_url,local_path,source_location,what_it_proves,what_it_does_not_prove,status
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,vehicle structure,joint venture name,Senior Direct Lending Program LLC,text,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC describes the Senior Direct Lending Program LLC as a joint venture with Varagon to make first-lien senior secured loans, including stretch senior and unitranche loans, primarily to U.S. middle-market companies.","This does not prove ultimate investor identity for Varagon clients or individual borrower facility size.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,vehicle structure,ARCC capital form,subordinated certificates,text,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC says it provides capital to SDLP in the form of subordinated certificates.","This does not identify the investors behind ARCC's own balance sheet.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,vehicle structure,Varagon and client capital form,senior notes; intermediate funding notes; SDLP certificates,text,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC says Varagon and its clients provide capital to SDLP through senior notes, intermediate funding notes, and SDLP certificates.","This does not identify the Varagon clients by name.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,governance,portfolio-decision approval,ARCC and Varagon representatives,text,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC says SDLP portfolio decisions generally require approval by an investment committee with representatives of ARCC and Varagon.","This does not prove which party originated or funded a specific borrower loan.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,ownership,ARCC share of outstanding SDLP certificates,87.5,percent,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC says it owned 87.5% of outstanding SDLP certificates at June 30 2026.","This is certificate ownership, not ownership of all SDLP senior notes or total vehicle economics.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,ownership,Varagon client share of outstanding SDLP certificates,12.5,percent,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC says a client of Varagon owned 12.5% of outstanding SDLP certificates at June 30 2026.","The client is not identified in this extracted source.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,capital availability,total agreed capital available to SDLP,6150,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC says ARCC plus Varagon and its clients had agreed to make 6.150B USD available to SDLP at June 30 2026.","Capital availability is not the same as funded borrower debt.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,capital availability,ARCC agreed capital available to SDLP,1444,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 222,"ARCC says 1.444B USD of the agreed SDLP capital availability was to be made available from ARCC.","This does not identify ARCC shareholder or debt funding behind that capital.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,capital funded,total capital funded to SDLP,4889,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 182/222,"ARCC reports 4.889B USD total capital funded to SDLP at principal amount at June 30 2026.","This is vehicle-level funded capital, not total fair value of a borrower facility.",extracted
CF-005,arcc-2026q2-sec-10q,Senior Direct Lending Program LLC,Q2 2026,capital funded,ARCC capital funded to SDLP,1322,USD millions,https://www.sec.gov/Archives/edgar/data/1287750/000162828026050307/arcc-20260630.htm,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,ARCC MD&A SDLP section page 182/222,"ARCC reports 1.322B USD of capital funded to SDLP by ARCC at June 30 2026.","This does not show how ARCC funded that amount internally.",extracted
