sample_id,schedule,page,cusip_or_identifier,named_holding_or_issuer,naic_designation,actual_cost,fair_value,book_adjusted_carrying_value,income_or_interest_received,other_signal,current_status,proof_use,boundary,next_action
CFAASDSE-001,Schedule BA Part 1,5813,00264#-AA-5,AP Aristotle Holdings LLC Aristotle Junior 0.000% perpetual,,16.122455M USD,10.783834M USD,10.783834M USD,,unrealized decrease 5.338621M USD,named-holding-sample-visible,named Schedule BA holding with valuation fields,not cash receipt or borrower-use proof,include in BA parser test set
CFAASDSE-002,Schedule BA Part 1,5813,G2973#-AB-4,AP Chia Issuer LLC AP Chia PERP NC10 JR Notes,,118042 USD,112655 USD,111779 USD,,amortization/accretion 9118 USD,named-holding-sample-visible,named Schedule BA debt-style holding,not complete income/return proof,include in BA parser test set
CFAASDSE-003,Schedule BA Part 1,5813,G2971@-AA-0,AP Pistachio LP Pistachio Jr Secured Perp Nts,,3.944526M USD,4.425152M USD,4.291472M USD,,transfer from Schedule D; deferred interest/other 346946 USD,named-holding-sample-visible,named Schedule BA holding and transfer clue,not source/use or repayment proof,include in BA parser test set
CFAASDSE-004,Schedule BA Part 1,5813,90117P-AQ-8,1211 Avenue of the Americas Tr AOTA 2015-1211 E,3.C,85.081101M USD,77.949983M USD,77.949983M USD,3.463856M USD,unrealized decrease 6.856740M USD,named-holding-income-sample-visible,named real-estate/structured-credit style Schedule BA income row,does not prove underlying property cash waterfall,include in BA income extraction
CFAASDSE-005,Schedule BA Part 1,5813,04410R-AQ-9,Ashford Hospitality Trust 2018 AHT1 2018-ASHF F,3.B,46.997050M USD,46.962386M USD,46.962386M USD,4.052450M USD,unrealized decrease 34664 USD,named-holding-income-sample-visible,named hospitality-related Schedule BA income row,not borrower-level hotel cash proof,include in BA income extraction
CFAASDSE-006,Schedule BA Part 1,5813,61764B-AU-7,Morgan Stanley Capital I Trust MSC 2014-150E G,6.,34.234162M USD,22.425000M USD,22.425000M USD,595159 USD,OTTI 11.809162M USD,named-impaired-holding-sample-visible,named impaired Schedule BA row,needs underlying collateral and loss attribution,include in impairment extraction
CFAASDSE-007,Schedule BA Part 1,5813,G2964#-AB-5,AP Grange Holdings LLC AP Grange Tranche B,2.B,429.756073M USD,411.998739M USD,411.998739M USD,31.661927M USD,affiliated debt securities subtotal context,named-large-holding-sample-visible,large named affiliated Schedule BA holding,not ultimate borrower cash proof,include in affiliate classification
CFAASDSE-008,Schedule BA Part 2,5826,00455*-AA-8,Ace Credit Fund LP ACE J59738 5.420% 04/01/69,,50.955599M USD,,,,"acquired/addition row",named-acquisition-sample-visible,named Schedule BA acquisition/addition row,not year-end income or return proof by itself,include in BA acquisition parser
CFAASDSE-009,Schedule BA Part 2,5826,00455*-AB-6,Ace Credit Fund LP ACE J59738 5.460% 07/18/68,,37.389504M USD,,,,"acquired/addition row",named-acquisition-sample-visible,second named Schedule BA acquisition row,not cash return proof,include in BA acquisition parser
CFAASDSE-010,Schedule D Part 1 Section 1,5836,912810-QH-4,United States Treasury Bond,1.A,143.226702M USD,144.950562M USD,143.285105M USD,"836189 USD income; 1.848438M USD interest received","par 147.210000M USD; maturity 2040-05-15",named-schedule-d-income-sample-visible,named Schedule D issuer-credit row with income and received-interest fields,government bond row not private-credit borrower destination,include in Schedule D issuer-credit parser
CFAASDSE-011,Schedule D Part 1 Section 1,5836,912810-QE-1,United States Treasury Bond,1.A,61.157561M USD,61.941881M USD,61.160841M USD,1.068972M USD income,"par 61.191000M USD; maturity 2040-02-15",named-schedule-d-income-sample-visible,named Schedule D row with designation and income,not private-credit cash loop,include in Schedule D issuer-credit parser
CFAASDSE-012,Schedule D Part 1 Section 2,5912,38375B-3G-5,Government National Mortgage Association GNR 2013-H14 SI,1.A,161848 USD,136264 USD,157636 USD,55826 USD interest received,maturity 2063-05-20,named-abs-sample-visible,named ABS Schedule D row with received-interest field,not originator-level borrower proof,include in ABS parser
CFAASDSE-013,Schedule D Part 1 Section 2,5912,38375B-AE-2,Government National Mortgage Association GNR 2010-H02 DI,1.A,77116 USD,125297 USD,85909 USD,"2787 USD income; 53237 USD interest received",maturity 2060-02-20,named-abs-income-sample-visible,named ABS row with income/received-interest fields,not security-level prepayment/collateral cash proof,include in ABS parser
CFAASDSE-014,Schedule D Part 1 Section 2,5912,38375B-KM-3,Government National Mortgage Association GNR 2011-H06 FI,1.A,163101 USD,105078 USD,149850 USD,"5627 USD income; 76488 USD interest received","OTTI 6706 USD; maturity 2061-02-20",named-abs-impairment-sample-visible,named ABS row with impairment and income/receipt fields,needs full collateral/prepayment explanation,include in ABS impairment parser
CFAASDSE-015,current,decision,detail-sample-extraction,named Schedule BA and Schedule D holding rows,,,,,,"named holding extraction readiness confirmed",sample-extracted-full-parse-pending,supports holding-level extraction readiness,not full portfolio or asset-return proof,build broader Schedule D/BA parser
