section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARSVCHEX-001,opening_frame,The Addiction Dividend; The Presence Premium; The Ritual Economy; Membership or Nothing; The Local News Collapse,"Services are not just discretionary purchases; they are purchases of a changed day, a repeated habit, a scarce slot, a social ritual, an access right, or trusted local information.",household or business need -> service/venue/platform/membership/media route -> usage or access -> payment/fee/booking/ticket/ad spend -> margin/cash,Marriott; Booking; McDonalds; Starbucks; MGM; Live Nation; Disney; Netflix; Uber; Gannett; New York Times,usage; renewal; traffic; occupancy; attendance; deferred revenue; subscription; advertising revenue; labor cost; free cash flow,"Use as a no-background services chapter frame, not as proof that every service company has durable cash."
ARSVCHEX-002,changed_day,all five old dynamics,"The first unit sold by many service companies is not a meal, room, show, article, ride, or stream; it is a change in the customer state.",customer friction or desire -> purchased relief/time/presence/attention/access -> payment -> operating cost -> cash conversion,restaurants; hotels; travel platforms; event venues; streaming platforms; delivery platforms,traffic; ticket; basket; frequency; cancellation; churn; margin,"Safe claim: services show what people pay to feel, avoid, save, signal, or experience."
ARSVCHEX-003,habit_loop,The Addiction Dividend; The Ritual Economy; Membership or Nothing,Habit becomes valuable when the customer stops making a fresh purchase decision each time.,routine trigger -> app/membership/autoship/store/platform -> repeat order or renewal -> recurring revenue/deferred revenue -> margin,Starbucks; McDonalds; Chewy; Uber; Netflix; American Express,active users; loyalty members; autoship or subscription share; frequency; churn; deferred revenue; rewards cost,"Safe claim: habit can lower comparison shopping, but proof must show retention and cash quality."
ARSVCHEX-004,presence_scarcity,The Presence Premium,"Live presence is scarce because time, venue capacity, location, seats, rooms, and dates cannot scale like digital content.",scarce event/place/time -> ticket/room/table/resort booking -> operator/venue/platform -> labor/rent/rights/capex -> cash,Live Nation; Disney Experiences; Marriott; Host Hotels; MGM; airlines; sports venues,attendance; occupancy; RevPAR; advance bookings; event-related deferred revenue; spend per visitor; debt burden,"Safe claim: presence can price differently from abundant content, but only when capacity and demand evidence support it."
ARSVCHEX-005,ritual_spending,The Ritual Economy; The Addiction Dividend,"Rituals are pre-decided purchases tied to identity, family role, social occasion, comfort, or routine.",occasion or routine -> brand/service/venue/retailer -> repeat purchase -> gross margin/loyalty/cash,Starbucks; Chewy; beauty companies; restaurants; jewelers; food brands; theme parks,frequency; repeat purchase; active customers; price/mix; gross margin; inventory; loyalty activity,"Safe claim: rituals explain why some spending persists under pressure, but not every ritual is price-insensitive."
ARSVCHEX-006,membership_gate,Membership or Nothing,"A membership is a paid relationship gate: once the customer pays to enter, the company can layer pricing, delivery, rewards, financing, ads, and data on top.",fee -> access/right/status -> repeated transactions -> fee revenue plus margin surfaces -> retention and data value,Costco; Amazon; Uber One; American Express; Walmart Plus; streaming services; travel loyalty programs,members; renewal; fee revenue; member share of volume; rewards cost; fulfillment cost; ads; churn,"Safe claim: membership changes the relationship from transaction to account, but proof must show renewal economics and cost to serve."
ARSVCHEX-007,attention_and_local_information,The Local News Collapse; The Trust Market,"Local information fails when the old local advertising and subscription base cannot cover newsroom cost, while platforms take the attention route.",local advertiser/reader budget -> platform/national media/local publisher -> ad/subscription revenue -> newsroom cost or platform margin,Gannett; New York Times; Google/Meta as ecosystem references; local broadcasters; streaming platforms,digital revenue share; subscriber count; advertising revenue; total revenue trend; margin; local cost base,"Safe claim: local news collapse is a unit-economics and distribution problem, not simply lack of reader interest."
ARSVCHEX-008,affordability_pressure,Affordability Ceiling as secondary input,"Services can remain desired while the consumer weakens; the change appears in frequency, mix, promotions, trading down, credit use, and margin.",budget pressure -> fewer visits or cheaper mix -> promotion/loyalty/credit -> revenue may hold while margin/cash weakens,McDonalds; Starbucks; restaurants; travel; casinos; streaming; cards,traffic versus ticket; promotional mix; credit balances; delinquency; labor cost; margins; free cash flow,Safe claim: service growth does not prove consumer health.
ARSVCHEX-009,business_services_and_capacity,Workers Invisible Tax as secondary input,"Businesses buy services when they lack labor, expertise, flexibility, time, compliance capacity, or customer reach.",business need -> outsourced provider/platform/advertiser/staffing/service firm -> contract/ad spend/service fee -> margin/cash,staffing firms; ad platforms; travel management; delivery logistics; maintenance providers,contract value; billable hours; utilization; wage spread; customer retention; working capital,"Safe claim: outsourced services can reveal corporate capacity shortages, but proof must show utilization and cash collection."
ARSVCHEX-010,company_reading_rules,all five old dynamics,"Each services company must be read through its specific service unit, not a generic consumer-spending lens.",company service unit -> metric that measures usage -> metric that measures price -> cost to deliver -> cash,Marriott; Booking; McDonalds; Starbucks; MGM,RevPAR; room nights; traffic; ticket; occupancy; gaming win; margin; FCF,Safe claim: company examples are starting points until source-visible extraction upgrades them.
