line_id,entity,metric,amount_musd,period,flow_direction,return_or_access_status,source_artifact,interpretation,next_upgrade
APO-R01,Athene,Related-party investments,70616,H1 2026,asset exposure,primary-source-confirmed,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,15 percent of Athene total assets is connected-party exposure,Reconcile fair value income impairment and liquidity by category
APO-R02,Athene,Apollo funds within related-party investments,17931,H1 2026,asset exposure,primary-source-confirmed,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Insurance assets invested in Apollo-linked funds,Obtain fund-level realized return fees and cash distributions
APO-R03,Athene,Asset-origination platforms within related-party investments,13070,H1 2026,asset exposure,primary-source-confirmed,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Origination exposure is visible inside the insurer,Separate credit losses impairment and borrower cash performance
APO-R04,Athene,Retirement-services platforms within related-party investments,4206,H1 2026,asset exposure,primary-source-confirmed,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Retirement platform exposure is visible,Reconcile spread contribution and upstream distributions
APO-R05,Athene,Athora investment,3191,H1 2026,asset exposure,primary-source-confirmed,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Named connected-platform investment,Obtain valuation movement income and funding terms
APO-R06,Athene,Athora additional commitment,134,H1 2026,commitment,primary-source-confirmed,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Future funding obligation is visible,Reconcile draw conditions and capital adequacy
APO-R07,Athene,Management fees incurred to Apollo,785,H1 2026,expense to parent,fee-expense-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Fee expense is visible but parent collection is not proven,Match Athene expense to Apollo cash receipt and fee categories
APO-R08,Athene,Net investment earnings,7800,H1 2026,investment income,reported-return-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Portfolio earnings before cost of funds are visible,Allocate earnings to related-party and third-party assets
APO-R09,Athene,Cost of funds,5700,H1 2026,liability burden,reported-burden-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Liability funding burden is visible,Reconcile policyholder funding and spread by product
APO-R10,Athene,Net investment spread,1.41 percent,H1 2026,spread,reported-return-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Spread declined from 1.62 percent prior year,Link spread change to asset mix credit and funding cost
APO-R11,Athene,Commonholder income,-1000,H1 2026,earnings to common,negative-common-return-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Approximate negative income available to common holder,Reconcile GAAP loss to distributable cash and capital requirements
APO-R12,Athene,Common stock dividends,375,H1 2026,cash to common,entity-common-distribution-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Athene common dividends are visible,Prove recipient entity and upstream transfer to Apollo
APO-R13,Athene,Preferred stock dividends,71,H1 2026,cash to preferred,preferred-claim-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Preferred cash claim ranks ahead of common,Map preferred dilution and cash priority
APO-R14,Athene,NCI distributions,301,H1 2026,cash to NCI,noncontrolling-distribution-visible,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Cash leaves Athene for noncontrolling interests,Reconcile ownership and restricted upstream cash
APO-R15,Athene,Atlas impairment,NA,H1 2026,valuation loss,impairment-visible-amount-unresolved,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-related-party-return-bridge.md,Underlying asset impairment reduced Atlas valuation,Obtain impairment amount and affected portfolio return
APO-R16,Athene,Management fees payable at period end,140,H1 2026,fee liability,fee-collection-boundary-visible,analysis/company-first-principles/capital-flow-apollo-athene-related-party-fee-transfer-upgrade-2026-09-15.md,Period-end fee payable is visible against 785M of H1 fee expense; it is not a parent cash receipt,Obtain opening payable settlements intercompany eliminations and Apollo recipient cash
APO-R17,Athene,Commercial mortgage portfolio purchased from ARI,8700,H1 2026,related-party asset transfer,named-asset-transfer-visible,analysis/company-first-principles/capital-flow-apollo-athene-related-party-fee-transfer-upgrade-2026-09-15.md,Athene acquired a named commercial mortgage loan portfolio including accrued interest from Apollo origination platform ARI,Obtain borrower-level collateral credit performance fees repayment and Apollo cash realization
APO-R18,Athene,Management fees payable at prior year end,134,Prior year end,fee liability,comparative-fee-boundary-visible,analysis/company-first-principles/capital-flow-apollo-athene-related-party-fee-transfer-upgrade-2026-09-15.md,Opening payable context is visible for the fee collection bridge,Obtain settlement rollforward from 134M opening payable to 140M ending payable
APO-R19,ACRA,Contingent investment fees payable to Apollo,392,H1 2026,fee liability,contingent-fee-boundary-visible,analysis/company-first-principles/capital-flow-apollo-athene-related-party-fee-transfer-upgrade-2026-09-15.md,Separate related-party contingent-fee payable is visible at the insurance affiliate,Obtain fee trigger calculation settlement terms and recipient cash realization
