field,value,context,owner_cash_status
core_ffo_per_diluted_share,"$7.39","FY2025","observed; non-GAAP"
approximate_core_ffo,"$2.56B","FY2025; approximately 346.1M diluted shares/units","observed; not owner cash"
operating_cash_flow,"$2.412B","FY2025","observed"
business_acquisition_payments,"$309M","net FY2025","observed; acquisition burden"
dividends_paid,"$1.728B","FY2025","common distribution claim"
year_end_cash,"$3.452B","FY2025","liquidity context, not owner cash"
ocf_less_business_acquisitions_screen,"$2.103B","OCF less net business-acquisition payments","diagnostic only; excludes capex and financing"
development_capex_guide,"$3.25B-$3.75B","2026; net of partner contributions","future capital burden"
recurring_capex_and_leasing_cost_guide,"$400M-$425M recurring capex plus capitalized leasing costs","2026 outlook","maintenance/distribution burden"
development_in_process_assets,"$4.977B","FY2025 year-end","construction capital before rent"
year_end_backlog,"$817M annualized base rent","Digital Realty share; signed but not commenced","visibility, not current cash"
booking_run_rate_q4,"$400M annualized GAAP rent","100% share; Q4 2025","visibility, not current cash"
commencement_gap,"eight months weighted average","Q4 2025 booking/backlog timing","lease-up and timing risk"
debt,"approximately $18.4B","FY2025 year-end","financing claim"
net_debt_to_adjusted_ebitda,"4.9x","FY2025 year-end","leverage constraint"
equity_value_screen,"approximately $68.2B","September 2026 expectation screen","market-implied burden"
core_ffo_multiple_screen,"approximately 26.7x","equity value / approximate Core FFO","expectation screen only"
normalized_owner_cash,"not calculated","requires recurring capex, leasing, development, JV, debt, preferred, and dilution bridge","missing"
