denominator_id,claim_link,subtheme,outside_source,source_url,metric_family,why_needed,join_key,first_numbers_to_extract,acceptance_rule,disproof_signal,priority,next_artifact
PGOD-001,PGD-001,Regulated rate-base growth and utility buildout,EIA Form EIA-861 detailed data,https://www.eia.gov/electricity/data/eia861/,"retail sales; customer counts; sector demand; balancing authority/state utility data","Tests whether utility load-growth claims show up in delivered electricity, customers, or sector sales rather than only in forward-looking investor decks.","utility; state; balancing authority; year","annual retail sales by sector; customer counts; peak demand where available; utility service territory indicators","Accept only if the company utility can be mapped to EIA respondent/state/balancing-authority data and the period is explicit.","Company claims rising load but EIA utility/state/sector data show flat or declining demand without a timing explanation.",High,capital-flow-power-grid-outside-denominator-pass.md
PGOD-002,PGD-001,Regulated rate-base growth and utility buildout,FERC Form 1 electric utility annual reports,https://www.ferc.gov/general-information-0/electric-industry-forms,"plant in service; construction work in progress; transmission plant; distribution plant; rate-base-adjacent financial data","Tests whether utility capital plans are visible in regulatory financial accounts and whether capex is becoming plant rather than only forecast spend.","utility legal entity; FERC respondent; year","electric plant in service; construction work in progress; transmission plant additions; distribution plant additions; accumulated depreciation","Accept only if FERC respondent maps cleanly to the company utility and table/line references are recorded.","Investor deck says capital deployment is rising but FERC plant/CWIP additions do not support the direction or mix.",High,capital-flow-power-grid-outside-denominator-pass.md
PGOD-003,PGD-001,Regulated rate-base growth and utility buildout,FERC Form 714 balancing authority and planning area data,https://www.ferc.gov/industries-data/electric/general-information/electric-industry-forms/form-no-714-annual-electric/overview,"hourly load; peak demand; planning-area demand","Tests whether load-growth and reliability claims match actual balancing-authority/planning-area load patterns.","balancing authority; planning area; year; hour","annual peak load; load duration indicators; hourly load growth; planning-area demand trend","Accept only if balancing authority or planning area can be tied to a named utility region or relevant service territory.","Forward load claims are large but actual peak/load history gives no directional support and no timing bridge is disclosed.",High,capital-flow-power-grid-outside-denominator-pass.md
PGOD-004,PGD-002,Merchant and contracted power,EIA Form EIA-860 detailed generator data,https://www.eia.gov/electricity/data/eia860/,"generator capacity; planned additions; retirements; fuel type; ownership/operator","Tests whether generation fleet scale, acquisitions, and planned capacity additions appear in plant-level capacity data.","plant; generator; operator; owner; fuel; county; year","nameplate capacity; summer/winter capacity; planned generators; retirements; fuel mix; operating status","Accept only plant/generator rows with explicit company/operator/owner matching or documented asset-name crosswalk.","Company claims capacity scarcity but EIA shows relevant owned/operator capacity declining or planned additions delayed without replacement explanation.",High,capital-flow-power-grid-outside-denominator-pass.md
PGOD-005,PGD-002,Merchant and contracted power,EIA Form EIA-923 detailed generation and fuel data,https://www.eia.gov/electricity/data/eia923/,"generation; fuel consumption; delivered fuel cost; plant utilization","Tests whether owned/operated generation is actually producing power and whether fuel cost or utilization explains earnings.","plant; generator; fuel; month; year","net generation; fuel consumption; fuel receipts; fuel cost; capacity factor proxy by plant/fuel","Accept only if EIA plant IDs can be linked to company assets or acquired fleets.","Company monetization claim rests on scarce generation, but generation/utilization/fuel data do not support the claimed operating role.",Medium,capital-flow-power-grid-outside-denominator-pass.md
PGOD-006,PGD-002,Merchant and contracted power,ERCOT GIS Report,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,"generation interconnection milestones; project status; projected commercial operation dates","Tests Texas generation queues and BYOP/new-build claims against ERCOT project/milestone data.","project name; developer; county; fuel; MW; commercial operation date","active projects; fuel type; MW; interconnection stage; projected COD; status changes","Accept only if project/developer/county/fuel/MW evidence reasonably matches the company-disclosed project.","A BYOP/new-build claim has no matching ERCOT queue/project evidence or shows major delay/cancellation.",High,capital-flow-power-grid-outside-denominator-pass.md
PGOD-007,PGD-002,Merchant and contracted power,PJM Data Miner 2,https://dataminer2.pjm.com/,"interconnection queues; generator status; market data","Tests Mid-Atlantic/Midwest capacity additions, retirements, and interconnection constraints against PJM public data.","queue ID; project name; zone; fuel; MW; status","active queue MW; withdrawn projects; fuel mix; projected in-service dates; queue status changes","Accept only if queue/project identifiers and status dates are captured.","Company-level contracted or development claims cannot be matched to queue status, or matched projects are withdrawn/delayed.",Medium,capital-flow-power-grid-outside-denominator-pass.md
PGOD-008,PGD-003,Midstream infrastructure and fuel logistics,EIA natural gas and liquids datasets/API,https://www.eia.gov/opendata/browser/,"natural gas production; flows; storage; NGL/LPG; exports; price series","Tests ONEOK/Targa logistics growth against basin, NGL, LNG/export, and gas-market denominators.","state; basin; product; month; year","natural gas marketed production; NGL production; LPG exports; storage; regional price spreads where available","Accept only source series with stable series IDs, date coverage, units, and geographic/product definitions.","Company volume/capex growth is not supported by basin/product/export denominator growth or is mostly price/mix rather than volume.",Medium,capital-flow-power-grid-outside-denominator-pass.md
PGOD-009,PGD-004,Buildout service layer,Company quarterly and annual reports plus derived conversion table,company filings and source ledgers,"backlog conversion; revenue; EBITDA; operating cash flow; working capital; project charges","Tests whether contractor backlog is converting into earnings and cash rather than only demand optics.","company; segment; quarter; year","beginning backlog; awards; revenue; gross margin; adjusted EBITDA; operating cash flow; working capital; project charges","Accept only if backlog/revenue/cash-flow periods align and segment definitions are stable or reconciled.","Backlog rises but revenue, margin, or cash conversion deteriorates for multiple quarters without one-time explanation.",High,capital-flow-power-grid-backlog-to-cash-pass.md
PGOD-010,PGD-005,Digital infrastructure adjacency,Company annual/quarterly reports for ABM CACI and selected peers,company filings and source ledgers,"data-center; mission-critical; secure infrastructure; facility services; backlog; revenue exposure","Tests whether digital infrastructure adjacency is a real disclosed revenue/backlog lane or just thematic proximity.","company; segment; customer vertical; quarter; year","data-center revenue/backlog references; mission-critical facility services; secure infrastructure bookings; customer concentration; margin","Accept only explicit source-backed disclosures; do not infer data-center exposure from generic technology or facilities language.","Adjacency companies do not disclose data-center/mission-critical/secure-infrastructure metrics, or exposure is immaterial/generic.",Medium,capital-flow-digital-infrastructure-adjacency-pass.md
