map_id,lane_node,cash_question,money_source,wrapper_or_mechanism,funded_asset_or_beneficiary,best_current_evidence,current_status,cash_back_or_payment_proxy,missing_named_cash_proof,next_document_chase,safe_claim,priority
CFPGDCCM-001,FPL SPPCRC regulated recovery,Did utility spending become customer bills and collected customer cash?,utility customers plus regulated capital structure,storm protection plan cost recovery clause and approved rate factors,Distribution Inspection and other SPPCRC categories,FPL final true-up; factor order; category recovery extraction; billing determinant proof chase,regulated_recovery_proxy_visible,804.620369M USD aggregate 2025 SPPCRC clause revenue and category recovery components,Distribution Inspection-specific billing determinants; billed revenue; collected cash; category allocation ledger; source-of-funds allocation,2027 SPPCRC factor workpapers and billing determinant schedules,FPL has the strongest public customer-cash route but not category-specific receipt proof,1
CFPGDCCM-002,AEP Ohio large data-center tariff,Do data-center customers accept financial obligations before the utility builds for them?,large-load customers and utility capital,large-load tariff; application; study; LOA or ESA; reimbursement mechanics,grid facilities for large data-center load,AEP/Duke approved-recovery bridge; AEP Ohio tariff evidence,customer_obligation_gate_visible,study fee range and cancellation or delay reimbursement mechanics are visible,executed LOA/ESA examples; customer-specific collateral; minimum demand payments; actual reimbursement or billing records,PUCO tariff sheets; executed or redacted ESA/LOA examples; discovery responses,AEP Ohio shows customer-obligation mechanics for large load; execution and receipt remain unproven,2
CFPGDCCM-003,AEP load and capital plan,Does disclosed data-center and large-load demand become recoverable utility capital?,large-load customers; ratepayers; public debt; equity,customer agreements; capital plan; turbine procurement; state and RTO approval routes,transmission; distribution; generation; turbines; grid upgrades,AEP/Duke approved-recovery bridge,approved_recovery_pathway_visible,69 GW Q2 2026 incremental contracted load with conditions; 78B USD five-year capital plan; 13 GW secured turbines,no project-by-project load allocation; final approvals; cost recovery; in-service dates; earned return,FERC Form 1; state commission orders; project lists; turbine allocation table,AEP shows demand moving into capital-formation channels; not all GW or capex is proved recoverable or in service,3
CFPGDCCM-004,Duke secured ESA ladder,Do secured data-center ESAs become construction and later customer cash?,data-center customers; ratepayers; public debt; equity,ESA ladder; capital plan; generation project table; state approvals,generation; transmission; distribution; gas turbines; data-center service capacity,AEP/Duke approved-recovery bridge,secured_load_and_project_pathway_visible,7.6 GW secured data-center ESAs; about 5 GW under construction; 103B USD capital plan; 20 secured gas turbines,ESA split by utility/customer/project; billed demand charges; in-service service dates; recovery treatment; earned return,Duke ESA workpapers; state filings; rate cases; construction updates,Duke has stronger-than-pipeline evidence because secured ESAs and under-construction load are visible,4
CFPGDCCM-005,Duke Anderson County project,Can one named generation approval become a project-level cash-return case?,Duke capital; cooperative owners; ratepayers; project financing if applicable,state approval and ownership allocation,named combined-cycle generation capacity,AEP/Duke approved-recovery bridge,named_project_approval_visible,1.365 GW Anderson County approval with 95 MW Central Electric and 100 MW NCEMC ownership allocations,final cost; construction cash draws; rate-base treatment; customer allocation; in-service date; earned ROE; project return,final order conditions; construction reports; FERC/EIA generator records; rate-case recovery schedules,Anderson County is the strongest named Duke project row but not a full return case,5
CFPGDCCM-006,Sterling and MasTec contractor beneficiary route,Which contractors receive operating cash from grid and infrastructure demand?,utilities; municipalities; infrastructure owners; data-center and industrial customers,contracts; backlog; RPO; contract liabilities; revolvers; surety and L/C support,civil infrastructure; e-infrastructure; power delivery; site development,Power/grid pilot proof dashboard; Sterling backlog customer-funding pass; MasTec source-table extraction,contractor_backlog_cash_proxy_visible,Sterling RPO/backlog and MasTec backlog/revenue/EBITDA/OCF proxies are visible,project-owner funding; contract cash collection; retainage; cancellation rights; project margin; surety and L/C draw usage,customer/project funding schedules; retainage and contract asset/liability roll-forward; bonded backlog,Sterling and MasTec are plausible operating beneficiaries of the buildout but project-level customer cash is not yet proved,6
CFPGDCCM-007,Turbine and equipment procurement,Does load demand become hard procurement and supplier revenue?,utilities; OEM customers; public debt; equity,turbine reservations; purchase commitments; generation resource plans,turbines; electrical equipment; generation equipment,AEP/Duke approved-recovery bridge; power/grid proof dashboard,physical_procurement_visible,AEP has 13 GW secured turbine capacity; Duke has 20 secured gas turbines,OEM supplier identity; purchase price; deposit cash; delivery schedule; cancellation terms; supplier revenue recognition,procurement contracts; resource plans; supplier annual reports; turbine allocation exhibits,Turbine procurement moves the theme beyond load narrative into physical supply-chain commitment,7
CFPGDCCM-008,Hyperscaler and large-customer contract gap,Which named customers pay for the load-driven buildout?,hyperscalers; data-center developers; industrial large-load customers,ESA; PPA; minimum demand; collateral; contribution-in-aid-of-construction; tariff riders,data-center service capacity and customer-specific grid assets,AEP/Duke approved-recovery bridge; theme opportunity map,named_customer_cash_gap,no local artifact proves named hyperscaler billing or customer cash collection,signed customer contracts; customer IDs; minimum bill records; deposits; collateral; termination payments; billed and collected cash,state docket confidential summaries; redacted ESA/PPA forms; discovery responses,The biggest power/grid proof gap is not whether demand exists; it is which named customers pay what and when,8
CFPGDCCM-009,Asset-manager and infrastructure platform route,Do Blackstone or Brookfield-style platforms fund assets that sit behind the power and data-center boom?,institutions; insurance clients; infrastructure funds; private credit; public debt,infrastructure funds; project companies; credit facilities; PPAs; joint ventures,power assets; data centers; grid-adjacent infrastructure; renewables; storage,Big-money destination lane map; platform proof chase matrix; annual-report theme opportunity map,platform_route_visible_hold,platform destination lanes are mapped but local named project cash proof is not yet present,named project source/use; customer contract; project company accounts; debt waterfall; receipt ledger; IRR/NPV,select one named platform power or data-center financing and run a source availability pass,Asset-manager power/data-center routes are important but remain below named-cash proof in the local corpus,9
CFPGDCCM-010,Outside denominator and in-service validation,Is the theme broad enough to matter outside company anecdotes?,utilities; ratepayers; load customers; public markets,EIA; FERC Form 1; ISO/RTO queues; state commission dockets; company filings,planned and in-service generation; transmission; load; rate base; billed customers,Power/grid outside denominator plan; AEP/Duke bridge; FPL receipt chase,outside_denominator_needed,some company-level and docket-level numbers are visible but not yet normalized against external denominators,ISO/RTO queue status; EIA planned/in-service generators; FERC plant additions; rate-base and sales denominators,build outside denominator bridge for AEP/Duke/FPL against EIA/FERC/state data,Outside denominators are required before turning strong examples into a broad macro claim,10
