event_row_id,match_row_id,detail_row_id,cusip,event_type,parser_row_id,schedule_part,page,issuer_or_description,transaction_date_1,transaction_date_2,money_token_count,money_tokens_first_12,raw_text,proof_use,boundary,next_action
CFKKRGACOBIPCE-001,CFKKRGACOBIPCM-003,CFKKRGACOBIBD-003,458140-BM-1,same-cusip-sold-redeemed-disposed-during-year,CFKKRGACEDP-1704,Schedule D Part 4 sold/redeemed/disposed during year,262,INTEL CORP,05/15/2025,03/25/2050,8,"1,406,099; 1,815,000; 1,590,012; 1,597,685; 1,597,788; (191,689); (191,689); 25,385","INTEL CORP ................................................... ..05/15/2025 . GOLDMAN SACHS & CO. .... ..................... .........1,406,099 .......... 1,815,000 ......... 1,590,012 ......... 1,597,685 ................... ...............102 ................... ................102 ................. ........1,597,788 ................. ........(191,689) ........(191,689) ............. 25,385 ..03/25/2050 .",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-002,CFKKRGACOBIPCM-004,CFKKRGACOBIBD-004,94974B-GU-8,same-cusip-acquired-during-year,CFKKRGACEDP-1496,Schedule D Part 3 acquired during year,255,WELLS FARGO & CO,05/15/2025,,3,"45,569,168; 55,230,000; 1,195,084","WELLS FARGO & CO ..................................................................................................................... ....05/15/2025 ... GS GA .................................................................................................................................. ................................... ......................45,569,168 ......................55,230,000 ....................... 1,195,084",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-003,CFKKRGACOBIPCM-008,CFKKRGACOBIBD-008,68389X-CK-9,same-cusip-acquired-during-year,CFKKRGACEDP-1391,Schedule D Part 3 acquired during year,253,ORACLE CORP,01/21/2025,,3,"25,667,169; 22,825,000; 328,109","ORACLE CORP ............................................................................................................................ ....01/21/2025 ... J.P. MORGAN SECURITIES LLC ....................................................................................................... ................................... ......................25,667,169 ......................22,825,000 ..........................328,109",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-004,CFKKRGACOBIPCM-012,CFKKRGACOBIBD-012,0778FP-AN-9,same-cusip-acquired-during-year,CFKKRGACEDP-1175,Schedule D Part 3 acquired during year,250,BELL TELEPHONE COMPANY OF CANADA OR BELL,01/21/2025,,3,"18,163,526; 19,420,000; 476,033","BELL TELEPHONE COMPANY OF CANADA OR BELL ...................................................................................... ....01/21/2025 ... J.P. MORGAN SECURITIES LLC ....................................................................................................... ................................... ......................18,163,526 ......................19,420,000 ..........................476,033",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-005,CFKKRGACOBIPCM-013,CFKKRGACOBIBD-013,202795-JY-7,same-cusip-sold-redeemed-disposed-during-year,CFKKRGACEDP-1664,Schedule D Part 4 sold/redeemed/disposed during year,261,COMMONWEALTH EDISON CO,11/13/2025,02/01/2053,1,"1,000","COMMONWEALTH EDISON CO ................................... ..11/13/2025 . J.P. MORGAN SECURITIES LLC ......................... ..................... .................957 ................1,000 .................998 ................. 998 ................... .................. ................... .................... ................. ................998 ................. ...............(41) ...............(41) .................. 16 ..02/01/2053 .",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-006,CFKKRGACOBIPCM-014,CFKKRGACOBIBD-014,747525-BT-9,same-cusip-acquired-during-year,CFKKRGACEDP-1416,Schedule D Part 3 acquired during year,254,QUALCOMM INC,01/21/2025,,3,"17,390,531; 16,503,000; 176,032","QUALCOMM INC .......................................................................................................................... ....01/21/2025 ... J.P. MORGAN SECURITIES LLC ....................................................................................................... ................................... ......................17,390,531 ......................16,503,000 ..........................176,032",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-007,CFKKRGACOBIPCM-018,CFKKRGACOBIBD-018,89153V-AV-1,same-cusip-acquired-during-year,CFKKRGACEDP-1462,Schedule D Part 3 acquired during year,254,TOTALENERGIES CAPITAL INTERNATIONAL SA,05/15/2025,,3,"27,317,713; 30,005,000; 448,278","TOTALENERGIES CAPITAL INTERNATIONAL SA ......................................................................................... ....05/15/2025 ... GS GA .................................................................................................................................. ................................... ......................27,317,713 ......................30,005,000 ..........................448,278",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-008,CFKKRGACOBIPCM-026,CFKKRGACOBIBD-026,685218-AB-5,same-cusip-sold-redeemed-disposed-during-year,CFKKRGACEDP-1735,Schedule D Part 4 sold/redeemed/disposed during year,263,ORANGE SA,01/21/2025,02/06/2044,8,"145,523; 150,000; 155,737; 155,473; 155,465; (9,942); (9,942); 3,850","ORANGE SA .................................................... ..01/21/2025 . J.P. MORGAN SECURITIES LLC ......................... ..................... ............145,523 .............150,000 ............155,737 ............155,473 ................... ................(9) ................... .................(9) ................. ...........155,465 ................. ...........(9,942) ...........(9,942) .............. 3,850 ..02/06/2044 .",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-009,CFKKRGACOBIPCM-027,CFKKRGACOBIBD-027,031162-BZ-2,same-cusip-acquired-during-year,CFKKRGACEDP-1127,Schedule D Part 3 acquired during year,249,AMGEN INC,05/19/2025,,3,"1,902,090; 2,319,000; 5,385","AMGEN INC .............................................................................................................................. ....05/19/2025 ... J.P. MORGAN SECURITIES INC. ...................................................................................................... ................................... ....................... 1,902,090 ....................... 2,319,000 .............................5,385",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
CFKKRGACOBIPCE-010,CFKKRGACOBIPCM-036,CFKKRGACOBIBD-036,437076-CD-2,same-cusip-acquired-during-year,CFKKRGACEDP-1296,Schedule D Part 3 acquired during year,252,HOME DEPOT INC,05/15/2025,,3,"47,289,326; 50,002,000; 167,507","HOME DEPOT INC ........................................................................................................................ ....05/15/2025 ... GS GA .................................................................................................................................. ................................... ......................47,289,326 ......................50,002,000 ..........................167,507",raw same-CUSIP event row for top owned-bond income/proceeds matching,"event row preserves raw parser tokens only; columns are not reconciled to final consideration, proceeds, gain/loss, interest, or settlement cash",perform page-coordinate column extraction for event row before any proceeds or gain/loss claim
