bridge_id,proof_gate,source_document,source_route,period,current_evidence,value_or_metric,current_status,what_it_proves,what_it_does_not_prove,next_required_source,upgrade_test
CFFPLCRWB-001,legal recovery route,Florida Administrative Code Rule 25-6.031 and PSC SPPCRC docket route,public rule and PSC docket route,current,SPPCRC annual proceeding framework requires final true-up estimated true-up projected costs proposed factors and program/project detail,rule framework,legal-route-visible,Confirms the correct legal/regulatory file family for the missing source,Does not prove FPL category customer receipts or source funding,FPL workpapers and filed schedules under the SPPCRC docket,Upgrade if filed workpapers expose billing determinants category allocation and receipts
CFFPLCRWB-002,subaccount separation,Florida Administrative Code Rule 25-6.031,public rule,current,Rule requires subaccounts for storm protection costs and excludes costs recovered through base rates or other mechanisms,subaccount requirement,subaccount-framework-visible,Confirms accounting separation should exist in the regulatory framework,Does not expose FPL Distribution Inspection subaccount cash ledger,Distribution Inspection subaccount ledger and regulatory accounting support,Upgrade if subaccount records tie Distribution Inspection costs and recoveries to billed/collected cash
CFFPLCRWB-003,category output,FPL Distribution Inspection customer receipt source test,local extraction,2025 final true-up,FPL reported actual Distribution Inspection activity,193199 actual projects,category-output-visible,Physical category output is visible,Does not prove customer billing cash collection or project return,Billing determinants category allocation and customer receipt support,Upgrade if output cost and recovered cash can be joined by category and period
CFFPLCRWB-004,category cost and use,FPL Distribution Inspection customer receipt source test and project detail extraction,local extraction,2025 final true-up,FPL reported Distribution Inspection actual cost expenditures and plant additions,61.500000M USD actual cost; 38.320627M USD expenditures; 22.263219M USD plant additions,category-cost-visible,Named category cost/use is visible,Does not prove debt equity operating cash source or customer receipt,Source-of-funds allocation and category receipt ledger,Upgrade if funding sources and category customer cash reconcile to category cost/use
CFFPLCRWB-005,category recovery,FPL final true-up and billing determinant proof chase,local PSC PDF extraction,2025 final true-up,Distribution Inspection final recoverable amount is visible in SPPCRC schedules,15.942971M USD final recoverable amount,category-recovery-visible,Category revenue requirement/recovery amount is visible,Does not prove billed customer revenue collected cash or earned return,Category allocation and receipt workpaper,Upgrade if category recovery is reconciled to customer billings or collections
CFFPLCRWB-006,aggregate SPPCRC revenue,FPL final true-up Form 2A,local PSC PDF extraction,2025 final true-up,FPL reported aggregate SPPCRC clause revenues net of revenue taxes,804.620369M USD aggregate clause revenue,aggregate-cash-proxy-visible,Aggregate customer recovery proxy is visible,Does not allocate cash to Distribution Inspection or rate class,Billing determinant and category allocation workpapers,Upgrade if aggregate revenue is allocated to Distribution Inspection by method period and rate class
CFFPLCRWB-007,true-up mechanics,FPL final true-up petition and testimony,local PSC PDF extraction,2025 final true-up / 2027 factor calculation,Final true-up and collection/refund mechanics are visible,65.318726M USD true-up collected/refunded; 16.579976M USD final over-recovery, true-up-mechanics-visible,Recovery differences flow into later factor calculation,Does not prove category-specific collections or customer cash timing,2027 SPPCRC factor workpapers and category true-up support,Upgrade if 2027 workpapers show Distribution Inspection allocation and billing determinants
CFFPLCRWB-008,factor authority,FPL 2026 SPPCRC factor order and PSC docket route,local PSC PDF and public docket route,January-December 2026,Approved SPPCRC factors support customer charge authority by rate class,rate-class factors visible,factor-authority-visible,Customer billing authority is visible,Does not prove rate-class usage billed revenue collected cash or category allocation,Billing determinants usage schedules and collection support,Upgrade if factors are reconciled to determinants and collected revenue by rate class
CFFPLCRWB-009,billing determinants,Current local/public source search,no normalized determinant source found,current,No current source exposes Distribution Inspection billing determinants or rate-class usage support,not found,billing-determinant-hold,Identifies the missing determinant proof layer,Does not prove billed dollars customer usage or collection,Billing determinant schedules and rate-class usage workpapers,Upgrade only if determinants by rate class and period are extracted and tied to SPPCRC factors
CFFPLCRWB-010,category receipt ledger,Current local/public source search,no category receipt ledger found,current,No current source ties billed or collected customer cash to Distribution Inspection,not found,category-receipt-ledger-hold,Identifies the final customer receipt gap,Does not prove Distribution Inspection customer cash source-of-funds earned ROE or project return,Category receipt ledger allocation workpaper source-of-funds support and earned-return workpapers,Upgrade only if billed or collected cash is allocated to Distribution Inspection with source funding and return support
