row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
SLCB-001,2026-06-30,Sterling Infrastructure,STRL,Capital-intensive buildout,Pre-reset facility,L/C limit under old revolver,75.0,M USD,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q debt note,Old 150M USD revolver with 75M USD L/C limit,filed-capacity-visible,"Before the July reset, Sterling had a specific 75M USD letter-of-credit limit.","This does not disclose actual letters of credit outstanding.","Next 10-Q liquidity table or debt footnote."
SLCB-002,2026-06-30,Sterling Infrastructure,STRL,Capital-intensive buildout,Pre-reset facility,Revolver borrowings outstanding,0.0,M USD,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q debt note,Debt table and narrative,filed-borrowing-visible,"Sterling had no outstanding borrowings under the old revolving credit facility at June 30 2026.","No revolver borrowing does not mean no letters of credit or no surety exposure.","Separate L/C outstanding and surety exposure disclosures."
SLCB-003,2026-06-30,Sterling Infrastructure,STRL,Capital-intensive buildout,Pre-reset facility,Letter-of-credit fees on outstanding instruments,disclosed,status,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,Q2 2026 10-Q debt note,Company says it was assessed letter-of-credit fees on outstanding instruments,filed-usage-signal-no-amount,"The filing implies there were outstanding instruments subject to fees.","The filing does not provide a dollar amount of L/C outstanding.","Debt note with L/C outstanding amount or bank facility availability table."
SLCB-004,2026-07-02,Sterling Infrastructure,STRL,Capital-intensive buildout,Post-reset facility,New L/C sublimit,600.0,M USD,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1 credit agreement,L/C Sublimit definition,agreement-term-visible,"The new facility has 600M USD of L/C capacity.","Capacity is not actual usage.","Post-reset L/C outstanding disclosure."
SLCB-005,2026-07-02,Sterling Infrastructure,STRL,Capital-intensive buildout,Post-reset facility,L/C capacity increase,8.0,x,derived from Q2 2026 10-Q and Exhibit 10.1,derived metric,600M USD new L/C sublimit divided by 75M USD old L/C limit,derived-capacity-change,"L/C capacity increased 8.0x after the July 2026 reset.","This does not prove Sterling needed or used the full increase.","Post-reset availability and L/C usage table."
SLCB-006,2026-07-02,Sterling Infrastructure,STRL,Capital-intensive buildout,Post-reset facility,L/C sublimit share of revolver,40.0,percent,derived from Exhibit 10.1,derived metric,600M USD L/C sublimit divided by 1.5B USD revolver,derived-wrapper-mix,"L/C capacity equals 40% of the revolver, so guarantee support is a core feature of the wrapper.","It does not identify beneficiaries, projects, or actual utilization.","Letter-of-credit schedule or borrowing-base availability table."
SLCB-007,2026-07-02,Sterling Infrastructure,STRL,Capital-intensive buildout,L/C mechanics,L/C obligations definition,face amount plus reimbursement obligations,status,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1 credit agreement,Definition of L/C Obligations,agreement-mechanics-visible,"The agreement defines L/C Obligations as undrawn face amounts of outstanding letters of credit plus unpaid reimbursement obligations.","The definition is mechanics, not a usage number.","Actual outstanding L/C obligations."
SLCB-008,2026-07-02,Sterling Infrastructure,STRL,Capital-intensive buildout,L/C mechanics,Cash collateralization requirement,103.0,percent of aggregate L/C obligations,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1 credit agreement,Cash Collateralize definition,agreement-mechanics-visible,"If cash collateralization is required, the collateral amount is 103% of aggregate L/C obligations unless a greater amount is required.","This is a stress/default/remedy mechanic, not normal-course usage.","Events that trigger cash collateralization and actual L/C balance."
SLCB-009,2026-07-02,Sterling Infrastructure,STRL,Capital-intensive buildout,Bonding mechanics,Bonding agreement definition,surety bid appeal indemnity performance payment bonds,status,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1 credit agreement,Definition of Bonding Agreement,agreement-mechanics-visible,"The credit agreement explicitly recognizes surety, bid, appeal, indemnity, performance, payment, and similar bonding arrangements.","This does not quantify bonded backlog or surety capacity.","Surety agreement and bonded backlog schedule."
SLCB-010,2026-07-02,Sterling Infrastructure,STRL,Capital-intensive buildout,Indebtedness definition,Letters of credit and surety bonds included in indebtedness definition,included,status,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1 credit agreement,"Indebtedness definition includes L/Cs, demand guarantees, surety bonds, performance bonds, and similar instruments",agreement-mechanics-visible,"The covenant framework treats L/Cs and surety/performance-type instruments as relevant contingent obligations.","It does not say the full face amount is currently outstanding or covenant-binding in the same way as funded debt.","Formal covenant calculations and compliance certificate."
SLCB-011,FY2025,Sterling Infrastructure,STRL,Capital-intensive buildout,Operating bonding need,Bid bond range,5-10,percent of bid amount,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,FY2025 10-K insurance and bonding section,Company disclosure,filed-operating-need-visible,"Transportation bidders generally must post bid bonds equal to 5% to 10% of the bid amount.","This is a general business requirement, not a contract-specific balance.","Bid backlog and bonded-project schedule."
