bridge_id,queue_id,evidence_gate,evidence_source,current_status,period,evidence_now,value_or_metric,proof_result,money_movement_answer,missing_proof,next_required_source,safe_claim
RASC-001,Q-06,target-attached-revenue,https://www.sec.gov/Archives/edgar/data/27419/000002741926000042/tgt-20260801.htm,visible,H1 2026,Target advertising credit-card profit-sharing and other revenue,525M + 269M + 347M = 1141 USD millions; 2.19% of 51982M total net sales,passes-attached-revenue-visibility,"Target reports multiple attached revenue streams alongside merchandise sales.","The streams have different economics and do not have separately disclosed costs taxes capex or cash collection.","Target annual/quarterly service-level cost and cash disclosures.","Attached revenue is visible but remains excluded from standalone owner cash."
RASC-002,Q-06,target-roundel-accounting,https://www.sec.gov/Archives/edgar/data/27419/000002741926000042/tgt-20260801.htm,visible,H1 2026,Roundel advertising classification,May be Net Sales or reduction of Cost of Sales or SG&A depending on arrangement,passes-classification-boundary,"Target's accounting presentation makes the advertising control point visible.","Reported advertising revenue is not necessarily a clean incremental gross-profit line.","Arrangement-level accounting and allocated Roundel operating-cost disclosure.","Roundel revenue cannot be converted to margin or cash one-for-one."
RASC-003,Q-06,target-card-payer-and-burden,https://www.sec.gov/Archives/edgar/data/27419/000002741926000042/tgt-20260801.htm,visible,H1 2026,Target Circle card profit-sharing route,269 USD millions; TD underwrites funds owns receivables and controls risk; Target services and markets,passes-payer-burden-map,"The external payer and card-credit burden carrier are named: TD owns and funds receivables while Target receives a profit share.","Target service costs and net profit-share economics are not separately disclosed.","Target-TD agreement economics and allocated servicing/marketing cost schedule.","Target card profit sharing is a named external-payer receipt, not Target-owned lending revenue."
RASC-004,Q-06,target-company-cash-denominator,https://www.sec.gov/Archives/edgar/data/27419/000002741926000042/tgt-20260801.htm,visible,H1 2026,Target consolidated cash denominator,4500 USD millions operating cash; 2400 USD millions investing cash use,passes-consolidated-denominator,"Target provides a consolidated cash-flow denominator for the retail system.","Cash is not allocated to Roundel card profit sharing other revenue or specific service burdens.","Service-level cash collection cost tax capex and overhead allocation.","Consolidated Target cash cannot be promoted to attached-service owner cash."
RASC-005,Q-06,walmart-us-attached-income,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-26-000154/wmt-20260731.htm,visible,H1 FY2027,Walmart U.S. membership and other income,1676 USD millions; 0.69% of 244034M total revenues,passes-segment-attached-income,"Walmart U.S. reports attached income within a segment-level operating bridge.","Membership and other income includes other items and is not separately costed.","Walmart+ advertising fulfillment data and membership cost/cash schedules.","Walmart U.S. attached income is visible but not a standalone cash stream."
RASC-006,Q-06,walmart-segment-operating-bridge,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-26-000154/wmt-20260731.htm,visible,H1 FY2027,Walmart U.S. segment operating bridge,244034M revenue; 172991M cost of sales; 57026M operating expenses; 14017M operating income,passes-segment-operating-denominator,"The segment's total revenue, cost, and operating-income denominator is visible.","The filing says individual products/services are impractical to segregate; service-level profit is not proven.","Allocated service cost, capex, tax, and working-capital disclosures.","Segment operating income must not be treated as attached-service profit."
RASC-007,Q-06,walmart-ecosystem-accounting,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-26-000154/wmt-20260731.htm,visible,H1 FY2027,eCommerce ecosystem and membership composition,Advertising arrangements fulfillment data insights and membership/other income are disclosed qualitatively,passes-ecosystem-boundary,"Walmart's ecosystem control point includes advertising fulfillment data and membership functions.","No standalone advertising amount or complete incremental margin/cash bridge is disclosed.","Walmart ecosystem revenue and allocated-burden disclosure.","Ecosystem presence strengthens the control-point thesis but not owner-cash attribution."
RASC-008,Q-06,attached-service-owner-cash,combined-investment-research-pilot-02-retail-attached-services-cash-upgrade-2026-09-15.md,not-proven,H1 2026 / H1 FY2027,service revenue through cash to common owners,NA,holds-owner-cash-addition,"The current evidence supports revenue visibility, payer mapping, and segment denominators.","Direct costs working capital capex taxes collection cash dilution and legal-entity allocation remain unresolved.","Future filings or company-level service economics schedules.","Attached-service revenue remains excluded from normalized owner cash."
RASC-009,Q-06,walmart-advertising-growth-signal,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-26-000145/earningsreleasefy27q2.htm,visible,Q2 FY2027,Walmart U.S. advertising growth,38% overall; Walmart Connect 43% excluding VIZIO,passes-operating-signal,"The current earnings release confirms strong attached-service operating momentum.","Growth percentages do not disclose advertising dollars service costs cash collection tax capex or parent cash.","Walmart advertising revenue and allocated service-cost/cash schedule.","Use as a control-point growth signal only; do not add it to owner cash."
RASC-010,Q-06,walmart-membership-growth-signal,https://stock.walmart.com/sec-filings/all-sec-filings/content/0000104169-26-000145/earningsreleasefy27q2.htm,visible,Q2 FY2027,Walmart global membership-fee growth,17% growth in membership-fee revenue,passes-operating-signal,"The current earnings release confirms membership-fee momentum within the broader membership-and-other-income pool.","The filing does not disclose standalone membership costs cash conversion or legal-entity owner distribution.","Walmart+ revenue, allocated cost, working-capital, tax, and cash schedule.","Use as a growth signal only; the reported service pool remains excluded from normalized owner cash."
