row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIYBID-001,March 2024 to August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,Source boundary,bond-identifier-and-market-data-boundary-visible,text,"https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm; https://es.tradingview.com/symbols/FINRA-URI5769315/; https://bondterminal.com/calculator/US911365BR47; https://cbonds.com/bonds/1637295/; https://terrapinfinance.com/screener/USU91139AK85; https://public.com/bonds/corporate/united-rentals-north-america-inc/uri-6.125-03-15-2034-u91139ak8; https://www.schwabassetmanagement.com/allholdings/SCYB?page=2","SEC indenture, bond-reference pages, current retail quote page, and Schwab ETF holdings page","Synthesis of identifier, quote, and holder-locator sources",source-boundary,"The Yak senior notes can now be looked up by security identifiers and traced into at least one later public fund holding.","This does not identify original initial purchasers, original investor allocation, institutional spread tape, exact ABL draw allocation, or Matting ROIC.","Offering memorandum, purchase agreement, TRACE/bond database, fund/statutory holder schedules"
URIYBID-002,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,CUSIP 1,911365BR4,CUSIP,https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm,SEC Exhibit 4.1 form of note,"Form of note lists CUSIP NO. [911365 BR4][U91139 AK8]",primary-identifier-visible,"One CUSIP for the note is visible in the filed indenture.","The indenture does not by itself map holder ownership or allocation.","CUSIP-level bond database and holder schedules"
URIYBID-003,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,CUSIP 2,U91139AK8,CUSIP,https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm,SEC Exhibit 4.1 form of note,"Form of note lists CUSIP NO. [911365 BR4][U91139 AK8]",primary-identifier-visible,"A second CUSIP for the note is visible in the filed indenture.","The indenture does not label all distribution-line economics or holders.","CUSIP-level bond database and holder schedules"
URIYBID-004,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,ISIN 1,US911365BR47,ISIN,https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm,SEC Exhibit 4.1 form of note,"Form of note lists ISIN NO. [US911365BR47][USU91139AK85]",primary-identifier-visible,"One ISIN for the note is visible in the filed indenture.","This does not identify investors or current market price.","Bond reference pages and holder schedules"
URIYBID-005,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,ISIN 2,USU91139AK85,ISIN,https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm,SEC Exhibit 4.1 form of note,"Form of note lists ISIN NO. [US911365BR47][USU91139AK85]",primary-identifier-visible,"A second ISIN for the note is visible in the filed indenture.","This does not identify investors or current market price.","Bond reference pages and holder schedules"
URIYBID-006,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,Reg S FIGI,BBG01LW2W1N9,FIGI,https://cbonds.com/bonds/1637295/,Cbonds public bond page,"Cbonds lists FIGI RegS BBG01LW2W1N9",reference-identifier-visible,"The Reg S line has a visible FIGI on a public bond-reference page.","Cbonds gates CUSIP/ISIN and market-price fields in the current public view.","Full Cbonds access or alternate bond-reference source"
URIYBID-007,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,144A FIGI,BBG01LW2W1H6,FIGI,https://cbonds.com/bonds/1637295/,Cbonds public bond page,"Cbonds lists FIGI 144A BBG01LW2W1H6",reference-identifier-visible,"The 144A line has a visible FIGI on a public bond-reference page.","This does not show original buyer allocation.","Full Cbonds access or institutional bond database"
URIYBID-008,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,Reg S ticker,URI 6.125 03/15/34 REGS,ticker,"https://cbonds.com/bonds/1637295/; https://terrapinfinance.com/screener/USU91139AK85",Cbonds and Terrapin public bond pages,"Both pages show ticker URI 6.125 03/15/34 REGS",reference-identifier-visible,"The public ticker lets the note be searched in bond-reference systems.","Ticker visibility is not holder or source-of-funds proof.","Bond database and holder schedules"
URIYBID-009,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,Issued amount,1.100B,USD,"https://bondterminal.com/calculator/US911365BR47; https://terrapinfinance.com/screener/USU91139AK85; https://cbonds.com/bonds/1637295/",Public bond-reference pages,"Reference pages show issued/placement amount of 1.100B USD",reference-amount-visible,"Public market-reference pages match the company-disclosed note principal.","They do not prove the exact net proceeds or ABL draw allocation.","Official closing statement and company filings"
URIYBID-010,August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,Public quote price,101.97,price per 100,https://public.com/bonds/corporate/united-rentals-north-america-inc/uri-6.125-03-15-2034-u91139ak8,Public.com bond page crawled today,"Page showed price $101.97",current-retail-quote-visible,"A public retail-facing quote page provides a current price snapshot.","This is not original issue price, institutional tape, or audited fair value.","TRACE/institutional bond database with timestamp"
URIYBID-011,August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak bond identifier and market-data boundary,Public quote yield,5.71,percent,https://public.com/bonds/corporate/united-rentals-north-america-inc/uri-6.125-03-15-2034-u91139ak8,Public.com bond page crawled today,"FAQ says the bond offers a 5.71% yield",current-retail-quote-visible,"A public retail-facing quote page provides a current yield snapshot.","This is not original issue yield, spread, or guaranteed return; it is time-sensitive.","TRACE/institutional bond database with timestamp"
