claim_id,claim,case_or_entity,current_strength_score,current_strength_label,strongest_current_evidence,missing_for_next_level,overclaim_to_avoid,next_disproof_test,status
CF-005,"Private credit can take out specific bank facilities.",Auctane / Stamps.com,5,confirmed borrower-level bank-facility termination,"Closing 8-K confirms termination of prior credit agreement naming Wells Fargo, JPMorgan Chase Bank, and Bank of America.","Post-close lender-role map and new credit agreement.","Do not claim banks had no ancillary roles after closing.","Find final credit agreement or lender list after closing.",strong
CF-005,"Private credit can replace or repay bank-administered acquisition debt.",Medallia,4,primary repayment and debt-commitment evidence,"SEC acquisition 8-K states approximately 1.8B USD debt financing; proxy supports repayment of Wells Fargo-administered existing credit agreement.","Final debt commitment letter or credit agreement naming all lenders.","Do not attribute all debt financing to named private-credit firms without final lender document.","Search credit agreement exhibits and holder schedules.",moderate-strong
CF-005,"Private lenders can beat banks for sponsor financing.",Guidehouse,2,secondary-source competition evidence,"Bloomberg Law report says Blackstone-led private lenders held off banks in Guidehouse financing.","Primary debt document, rating report, or lender confirmation.","Do not make this a primary-source-backed claim yet.","Find rating-agency report or accessible debt document.",weak-to-moderate
CF-005,"Atwell may show private credit replacing a prior bank facility.",Atwell,3,prior-bank plus private-credit trail plus SEC holder slices,"2024 Business Wire bank facility; 2026 Ares/Antares role evidence; K-FITS and FSK Atwell first-lien holder rows totaling 8.090M USD disclosed exposure.","Payoff, termination, amendment, coexistence, credit agreement, or rating report.","Do not say Ares replaced Bank of America or that the 200M USD facility disappeared.","Find Atwell 2026 credit agreement, rating report, or UCC termination/amendment.",moderate-but-unproven
CF-005,"Private credit is funding real borrowers in identifiable industries.",BDC industry lanes and Ares borrowers,4,reconciled BDC industry subtotals plus borrower follow-through,"ARCC and OBDC official industry subtotals; BXSL official percentage-derived exposures; Atwell/Precinmac/AeriTek/Valcourt operating evidence.","More borrower-level holder rows and use-of-proceeds classification.","Do not treat every loan as capex or productive investment.","Classify use of proceeds for a sample of named borrower loans.",moderate-strong
CF-005,"Private credit is funding commercial-services roll-up platforms.",Valcourt,4,multiple SEC-filed holder rows,"SDLP Q1 2026 reports 342.0M USD Valcourt fair value; ARCC Q2 2026 reports 117.6M USD Valcourt/Jobs fair value; Cliffwater adds historical Valcourt term-loan and commitment rows.","Use-of-proceeds, full facility size, lender group, and bank-role documents.","Do not claim the 459.6M USD latest visible 2026 exposure is total debt or bank displacement.","Find rating-agency report, credit amendment, UCC record, or transaction-specific financing release.",moderate-strong
CF-005,"Private credit is funding commercial refrigeration and foodservice equipment platforms.",AeriTek,4,multiple SEC-filed holder rows,"ARCC Q2 2026 reports 59.6M USD of AeriTek revolver and first-lien loan fair value; Kayne Q1 2026 reports 10.002M USD; ASIF Q1 2026 reports 1.7721M USD.","Use-of-proceeds, full acquisition financing size, lender group, and bank-role documents.","Do not claim the 71.3741M USD latest visible 2026 exposure is total debt or bank displacement.","Find counsel release, rating-agency report, credit agreement, or UCC evidence around the NRAC acquisition.",moderate-strong
CF-005,"Private credit is funding aerospace MRO service platforms.",Sunvair,4,multiple SEC-filed holder rows,"ARCC Q2 2026 reports 68.1M USD of Sunvair debt fair value; ASIF Q1 2026 reports 35.7504M USD; CADCX Q2 2026 reports 2.865M USD and its semi-annual report exposes the vehicle capital stack.","Use-of-proceeds, full facility size, CION-to-Sunvair allocation, lender group, and bank-role documents.","Do not claim the 106.7154M USD latest visible 2026 exposure is total debt or bank displacement.","Find May 2024 financing documents and any Q2 2026 amendment/add-on evidence.",moderate-strong
CF-005,"Private credit is funding wealth-management advisory consolidation platforms.",MAI Capital,4,multiple SEC-filed holder rows,"ARCC Q2 2026 reports 8.0M USD of MAI debt fair value; ASIF Q1 2026 reports 0.7263M USD; New Mountain Q1 2026 reports 26.497M USD drawn fair value and 12.401M USD undrawn commitment.","Use-of-proceeds, acquisition mapping, full facility size, lender group, and bank-role documents.","Do not claim the 35.2233M USD latest visible 2026 exposure is total debt or bank displacement.","Find MAI acquisition timeline, financing release, rating report, credit agreement, or UCC evidence.",moderate-strong
CF-005,"Private credit is funding insurance-brokerage consolidation platforms.",Relation Insurance,4,Ares transaction role plus SEC-filed holder and commitment rows,"Ares says it served as joint lead arranger and joint bookrunner for a senior secured facility supporting BayPine's acquisition of Relation; GSBD Q2 2026 reports 4.548M USD of net Relation/AQ Sunshine debt fair value; GSPCC Q1 2026 reports 76.345M USD of unfunded commitment; GSBD Q2 2026 reports 1.196M USD of unfunded commitment.","Use-of-proceeds, direct mapping between the Ares/BayPine facility and GSBD/GSPCC holder rows, full facility size, lender group, and bank-role documents.","Do not claim the 4.548M USD latest visible funded exposure is total debt, Ares allocation, the full BayPine transaction financing, or bank displacement.","Find Relation/BayPine credit agreement, rating report, lender allocation schedule, UCC record, or payoff evidence.",moderate-strong
CF-005,"Private credit is funding infrastructure-adjacent roadway safety services.",Frontline Road Safety,4,Ares transaction role plus multiple SEC-filed holder rows,"Ares says it served as lead arranger and bookrunner for a senior secured facility supporting Bain's continued growth plans for Frontline; FSK Q2 2026 reports 132.8M USD of Frontline fair value; K-FITS Q2 2026 reports 47.936M USD; GSBD Q2 2026 reports 17.939M USD; ASIF Q1 2026 reports 76.6927M USD.","Use-of-proceeds, direct mapping between the Ares facility and holder rows, full facility size, lender group, and bank-role documents.","Do not claim the 198.675M USD latest visible Q2 exposure is total debt, Ares allocation, full facility size, or bank displacement.","Find Frontline credit agreement, rating report, lender allocation schedule, UCC record, or payoff evidence.",moderate-strong
CF-005,"Private credit is financing sponsor-backed acquisitions of large consumer-service networks.",Jiffy Lube,3,transaction value plus Ares financing-role evidence,"Shell/Jiffy sources disclose a 1.3B USD sale of Jiffy Lube International and Premium Velocity Auto to Monomoy; Ares says it served as joint lead arranger for a senior secured facility supporting Monomoy's acquisition; Ares says Jiffy serves about 19M customers through more than 2000 service centers.","SEC holder rows, facility size, pricing, maturity, lender group, Ares allocation, and bank-role documents.","Do not claim Jiffy has observable SEC holder fair value yet; do not equate the 1.3B USD sale value with debt size or bank displacement.","Find Q3 2026 BDC schedules, rating report, credit agreement, acquisition vehicle names, UCC record, or lender announcement.",moderate-transaction-only
CF-004,"Insurance and retirement liabilities are a capital source for private-asset platforms.",Apollo/Athene; KKR/Global Atlantic; Brookfield; Blackstone,4,cross-manager channel metrics,"Apollo/Athene inflows and invested assets; KKR/Global Atlantic credit AUM; Brookfield private-credit allocation; Blackstone insurance SMA inflows.","Statutory statements, rating reports, and asset-quality schedules.","Do not say all insurer assets are private credit or that all risk is outside banks.","Acquire Schedule D/BA and rating-agency risk overlays.",moderate-strong
CF-005,"Banks are broadly disappearing from lending.",Commercial bank credit,1,contradicted as broad claim,"FRED bank-credit trend pass shows aggregate bank credit still growing.","Lane-matched bank denominator decline or repeated borrower-level takeout.","Avoid broad bank-collapse/disappearance language.","Compare private-credit origination lanes to C&I/syndicated/leveraged lending denominators.",unsupported-broad-claim
CF-003,"Private credit reaches infrastructure and industrial operating lanes.",Atwell; Precinmac; AeriTek; Valcourt,3,operating-company follow-through,"Atwell critical infrastructure services; Precinmac 9 facilities in aerospace/defense/semiconductor/power; AeriTek 850 customers; Valcourt 10 acquisitions in 15 months.","Use-of-proceeds and operating financial metrics.","Do not imply all loans fund organic capacity.","Find borrower-level use of proceeds and operating metrics.",moderate
