"metric_id","workbench_gate_id","source_id","company","proof_channel","form","period","metric_family","metric_label","metric_value","unit","current_status","source_anchor","what_it_says","what_it_does_not_say"
"CFPLCE-001","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","Q2 2026","FPL income statement","FPL operating revenues","4896","USD millions","fpl-wide-earnings-visible","Page 7 condensed income statement lists FPL operating revenues of $4.896 billion for Q2 2026.","FPL has utility-wide revenue evidence in the same period as the SPPCRC factor year.","It is not SPPCRC-specific revenue or customer-charge collection."
"CFPLCE-002","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","Q2 2026","FPL income statement","FPL operating income","1822","USD millions","fpl-wide-earnings-visible","Page 7 condensed income statement lists FPL operating income of $1.822 billion for Q2 2026.","Utility-wide operating earnings are visible.","It does not allocate earnings to storm-protection recovery categories."
"CFPLCE-003","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","Q2 2026","FPL income statement","FPL net income attributable to NextEra Energy","1412","USD millions","fpl-wide-earnings-visible","Page 7 condensed income statement lists FPL net income attributable to NextEra Energy of $1.412 billion for Q2 2026.","FPL-wide net income is visible.","It is not project-level IRR or SPPCRC category earnings."
"CFPLCE-004","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","Q2 2026","FPL income statement","FPL depreciation and amortization","1029","USD millions","fpl-wide-cost-visible","Page 7 condensed income statement lists FPL depreciation and amortization of $1.029 billion for Q2 2026.","A major capital-recovery expense line is visible at utility level.","It is not depreciation by SPPCRC category."
"CFPLCE-005","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","Q2 2026","FPL income statement","FPL interest expense","349","USD millions","fpl-wide-financing-cost-visible","Page 7 condensed income statement lists FPL interest expense of $349 million for Q2 2026.","Utility-wide financing-cost evidence is visible.","It is not debt cost tied to storm-protection assets."
"CFPLCE-006","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","Q2 2026","FPL income statement","FPL allowance for equity funds used during construction","58","USD millions","fpl-wide-construction-return-visible","Page 7 condensed income statement lists FPL allowance for equity funds used during construction of $58 million for Q2 2026.","AFUDC-equity is a utility construction-return signal at FPL level.","It does not identify SPPCRC-specific construction projects or allowed return by category."
"CFPLCE-007","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","H1 2026","FPL income statement","FPL operating revenues six months","9167","USD millions","fpl-wide-earnings-visible","Page 9 condensed income statement lists FPL operating revenues of $9.167 billion for the six months ended June 30, 2026.","H1 utility-wide revenue evidence is visible.","It is not a clause-specific collection schedule."
"CFPLCE-008","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","H1 2026","FPL income statement","FPL net income six months","2874","USD millions","fpl-wide-earnings-visible","Page 9 condensed income statement lists FPL net income of $2.874 billion for the six months ended June 30, 2026.","H1 utility-wide earnings evidence is visible.","It is not storm-protection program earnings."
"CFPLCE-009","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","H1 2026","FPL cash flow","FPL net cash provided by operating activities","5388","USD millions","fpl-wide-cash-visible","Page 13 cash flow statement lists FPL net cash provided by operating activities of $5.388 billion for H1 2026.","FPL-wide operating cash flow is visible.","It does not prove SPPCRC customer cash receipts by category."
"CFPLCE-010","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","H1 2026","FPL cash flow","capital expenditures of FPL","5780","USD millions","fpl-wide-capex-visible","Page 13 cash flow statement lists capital expenditures of FPL of $5.780 billion for H1 2026.","FPL-wide capital spend is visible and can be compared with operating cash flow.","It is not SPPCRC-only capital spending or source-of-funds allocation."
"CFPLCE-011","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","H1 2026","FPL cash flow","cost recovery clauses and franchise fees cash-flow adjustment","-7","USD millions","clause-cash-flow-line-visible","Page 13 cash flow statement includes FPL cost recovery clauses and franchise fees of negative $7 million in operating cash flow adjustments for H1 2026.","A utility-wide cost-recovery clause cash-flow adjustment line is visible.","It is not isolated to SPPCRC and should not be treated as storm-protection cash collected."
"CFPLCE-012","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","H1 2026","FPL cash flow","recoverable storm-related costs cash-flow adjustment","-19","USD millions","storm-cash-flow-line-visible","Page 13 cash flow statement includes FPL recoverable storm-related costs of negative $19 million in operating cash flow adjustments for H1 2026.","A recoverable storm-related cash-flow adjustment line is visible at FPL level.","It is not the SPPCRC revenue requirement or proof of category earnings."
"CFPLCE-013","CFPGW-007;CFPGW-008","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","June 30 2026","FPL balance sheet","FPL property plant and equipment net","85930","USD millions","fpl-wide-asset-base-visible","Page 11 balance sheet lists FPL property, plant and equipment net of $85.930 billion at June 30, 2026.","The utility asset base that supports regulated recovery is visible.","It does not isolate SPPCRC assets or project-level rate base."
"CFPLCE-014","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","June 30 2026","FPL balance sheet","FPL customer receivables net","2016","USD millions","customer-receivable-visible","Page 11 balance sheet lists FPL customer receivables net of $2.016 billion at June 30, 2026.","Customer receivables are visible as a cash-conversion balance-sheet line.","It is not SPPCRC billed/collected receivables."
"CFPLCE-015","CFPGW-007","nextera-2026q2-earnings-release","NextEra Energy, Inc.","regulated utility cash/earnings","Q2 2026 earnings release","June 30 2026","FPL balance sheet","FPL regulatory assets total current plus other assets","7478","USD millions","regulatory-asset-visible","Page 11 balance sheet lists FPL current regulatory assets of $324 million and other regulatory assets of $7.154 billion, totaling $7.478 billion.","Regulatory asset balances are visible at utility level.","It does not identify the SPPCRC regulatory asset component."
