section_id,section,old_html_inputs,first_principles_point,money_path,company_examples,proof_needed,safe_use
ARVREX-001,opening_frame,Affordability Ceiling; Membership or Nothing; Ritual Economy,Value retail is the business of lowering purchase regret for households under pressure.,household budget pressure -> retail format choice -> sales/fees/ads -> inventory turn -> margin -> cash,Costco; Walmart; Target; Dollar General; Burlington; TJX; Ollies,traffic; ticket; basket; membership; inventory; shrink; OCF; FCF,"Safe claim: value retail is regret reduction, not simply cheapness."
ARVREX-002,start_from_zero,all three old dynamics,"A pressured household still spends, but it sorts spending by which trip feels safest, smartest, and least wasteful.",fixed bills -> constrained flexible budget -> format choice -> basket -> margin/cash test,Costco; Walmart; Dollar General; Target; Burlington,household spend mix; traffic; basket; trip frequency; margin; cash flow,"Safe claim: household pressure changes spending routes, not all demand."
ARVREX-003,affordability_ceiling,Affordability Ceiling,The affordability ceiling is the point where mistakes become too expensive for ordinary households.,fixed household costs -> smaller flexible budget -> value traffic or trade-down -> margin and cash test,Walmart; Costco; Dollar General; Dollar Tree; Burlington; TJX; Ross; Target,price/mix; comps; unit volume; margins; inventory; consumer commentary,Safe claim: affordability pressure changes where spending feels safe.
ARVREX-004,price_regret,Affordability Ceiling,Price regret is the fear of overpaying; the retailer must lower that fear without destroying margin.,price anxiety -> trusted low-price format -> traffic/basket -> gross margin -> cash conversion,Costco; Walmart; Dollar General; Dollar Tree; Aldi; Kroger; BJ's,price gaps; traffic; basket; private label; gross margin; shrink; OCF,Safe claim: low price matters only when it converts to repeat cash.
ARVREX-005,trip_regret,Ritual Economy; Membership or Nothing,"Trip regret is the fear that shopping wastes time, fuel, attention, or effort.",task burden -> one-stop or high-value trip -> basket consolidation -> store/ecommerce/ads/membership economics,Walmart; Target; Costco; Kroger; Amazon; Dollar General,traffic; basket; delivery/pickup cost; marketplace; ads; membership; OCF,Safe claim: one-stop convenience must still pay after fulfillment cost.
ARVREX-006,access_regret,Affordability Ceiling,"Access regret is the fear that basics are not reachable when time, transport, or cash are constrained.",nearby need -> small basket -> consumables visit -> gross margin after labor and shrink -> cash,Dollar General; Dollar Tree; Walmart neighborhood formats; pharmacies; convenience stores,store density; traffic; ticket; consumables mix; labor; shrink; store standards,"Safe claim: proximity is value, but access traffic can still be low-margin."
ARVREX-007,status_regret,Affordability Ceiling,Status regret is the fear that budget pressure erases identity; off-price formats preserve branded access.,identity/gift need -> off-price discovery -> traffic -> merchandise margin -> inventory turn -> cash,Burlington; TJX; Ross; Ollies; Macys; Nike wholesale,traffic; merchandise margin; branded supply; markdowns; inventory turn; shrink,Safe claim: off-price growth depends on merchandise access and execution.
ARVREX-008,membership_trust_gate,Membership or Nothing,Membership can turn value retail from a transaction into a recurring relationship and trust shortcut.,membership/loyalty -> repeated trip/data relationship -> basket concentration -> supplier/ads/private-label/service monetization,Costco; Walmart; Target; Amazon; BJs; Sams Club; Kroger,membership fees; renewal; traffic; basket; private label; ad revenue; retention,"Safe claim: membership shows relationship potential, not permanent loyalty."
ARVREX-009,ritual_and_routine,Ritual Economy,Routine spending survives pressure when a retailer makes basics and small pleasures feel responsible.,household routine -> repeat trip/order -> replenishment plus treat -> basket and margin -> cash,Walmart; Costco; Target; Dollar General; Dollar Tree; Ollies; Kroger; Chewy,repeat purchase; basket mix; seasonal sales; private label; gross margin; cash,"Safe claim: routine helps demand, but still needs margin and cash proof."
ARVREX-010,private_label,Affordability Ceiling; Membership or Nothing,Private label turns retailer trust into both customer savings and potential margin protection.,price pressure -> store-brand trial -> repeat purchase -> margin benefit -> inventory/cash conversion,Costco; Walmart; Target; Kroger; Aldi; Dollar General; Dollar Tree,private-label penetration; repeat; margin; price gap; inventory turn; customer trust,Safe claim: private label works only if quality protects trust.
ARVREX-011,inventory_truth_serum,all three old dynamics,Inventory reveals whether the value proposition is real or just a story waiting for markdowns.,merchandise buy -> sell-through -> markdown/shrink/freight/labor -> gross margin -> OCF,Target; Burlington; TJX; Ross; Dollar General; Walmart; Costco; Ollies,inventory turns; aging; markdowns; shrink; freight; gross margin; OCF,Safe claim: inventory quality is a core proof point.
ARVREX-012,retail_media_and_credit,Membership or Nothing,"Retailers can monetize traffic through ads, credit, marketplace, seller services, and membership layers.",shopper traffic/data -> ad/seller/credit/service revenue -> profit contribution -> trust/regulatory risk check,Walmart; Target; Amazon; Macys; Costco co-brands; Kroger,ad revenue; credit income; seller fees; membership; margin contribution; trust risk,Safe claim: relationship monetization is not proof the core basket is healthy.
