citation_id,article_claim,internal_support,public_citation_need,boundary,reader_review_use,external_release_need,next_action,status
ARPCP-001,Annual reports can be read as maps of economic bottlenecks.,"Final publication draft; reader-facing essay; final theme synthesis package.",Optional framing note because this is author synthesis.,Do not present as universal law.,Use as opening thesis.,No company-specific source needed unless adding examples.,Keep as synthesis claim.,ready
ARPCP-002,"The seven selected themes are power, capital platforms, industrial uptime, healthcare access, built-environment upkeep, digital control, and value retail.","Broader theme map; chapter selection pass; seven polish passes.",Cite company annual reports or filings used in each chapter.,Other themes may also exist.,Use as structure claim.,Add source list by chapter.,Build public citation list.,ready
ARPCP-003,Power is becoming a gatekeeper for growth.,"Power scarcity chapter; power-grid customer-cash map; FPL and data-center workbenches.","Utility annual reports; rate filings; tariffs; load-growth disclosures; contractor backlogs.",Load does not prove receipts or project returns.,Use as power chapter claim.,Attach filing and docket citations.,Cite each named utility or contractor metric.,ready
ARPCP-004,Capital platforms route money from savers and institutions into assets and borrowers.,"Capital platforms chapter; big-money player map; statutory named-asset work; borrower proof lanes.","Annual reports; AUM disclosures; insurance statutory filings; BDC schedules; vehicle documents.",AUM does not prove borrower receipt or return.,Use as money-flow chapter claim.,Attach filings and statutory schedules.,Cite platform and vehicle evidence.,ready
ARPCP-005,Industrial uptime companies keep physical work moving.,"Industrial uptime chapter; fleet and backlog work.","Annual reports for equipment fleet; branches; vending; backlog; revenue; cash-flow metrics.",Uptime visibility does not prove fleet-class ROIC or project cash.,Use as industrial chapter claim.,Attach company report citations.,Cite each operating metric.,ready
ARPCP-006,Healthcare access is scarce even when demand is obvious.,Healthcare access chapter.,"Company annual reports for patient counts; admissions; pharmacy/service volume; revenue; labor; reimbursement; payer context.","Volume does not prove outcomes, trust, or collections.",Use as healthcare chapter claim.,Attach company report citations.,Cite access and reimbursement metrics.,ready
ARPCP-007,"Built-environment spending shifts toward upkeep, repair, replacement, Pro channels, coatings, materials, and waterworks.",Built-environment chapter.,"Annual reports for retail; Pro; building products; coatings; lumber; distribution; waterworks disclosures.",This is not one generic housing-cycle claim.,Use as built-environment claim.,Attach company report citations.,Cite sub-lane evidence separately.,ready
ARPCP-008,"Digital companies increasingly sell control over traffic, identity, security, workloads, and participation.",Digital control chapter.,"Annual reports for ARR; RPO; traffic; customers; security demand; platform activity; cash-flow context.",ARR and traffic do not prove durable operating leverage.,Use as digital control claim.,Attach company report citations.,Cite demand and margin separately.,ready
ARPCP-009,Pressured consumers split the wallet by job and regret reduction.,Value retail chapter.,"Annual reports for traffic; comps; ticket; membership; store growth; margin; inventory; format strategy.","Trade-down is too blunt; cohort and margin proof remain separate.",Use as value retail claim.,Attach retailer report citations.,Cite format-specific evidence.,ready
ARPCP-010,Growth must become cash.,"Proof boxes; working-capital lanes; inventory/receivable work.","Cash-flow statements; receivables; inventory; supplier finance; reserves; margin disclosures.",Revenue growth alone is not cash proof.,Use as proof-box claim.,Attach statement citations where used.,Cite cash conversion examples.,ready
ARPCP-011,Acquisitions and backlog must convert.,"Proof boxes; Sterling/MasTec/URI and acquisition/backlog lanes.","Purchase price; funding; backlog; revenue conversion; margin; debt; cash collection disclosures.",Backlog is not cash.,Use as proof-box claim.,Attach acquisition and backlog citations.,Cite conversion examples.,ready
ARPCP-012,Refinancing must improve future cash economics.,Proof boxes and refinancing/debt lanes.,"Debt maturity schedules; use of proceeds; coupon/maturity changes; fees; liquidity; cash-flow effects.",Refinancing does not automatically create value.,Use as proof-box claim.,Attach debt schedule citations.,Cite source/use and forward economics.,ready
