coordinate_row_id,schedule_part,page,row_y,cusip,cusip_marker_type,actual_cost,par_value,fair_value,book_adjusted_carrying_value,unrealized_valuation_change,current_year_amortization_accretion,current_year_otti,foreign_exchange_change,stated_rate,effective_rate,when_paid,interest_income_due_accrued,interest_received_during_year,acquired_date,maturity_date,payment_due_at_maturity,parser_match_status,parser_row_id,parser_money_token_count,boundary,next_action
CFKKRGACEDCOB-0001,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,414.12,912810-RC-4,standard-cusip-like,402361,400000,345406,401704,,,,,3.625,3.592,,14500,,02/04/2014,08/15/2043,407250,matched-raw-parser-row,CFKKRGACEDP-0001,7,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0002,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,406.08,912810-TB-4,standard-cusip-like,1899346,2000000,1106172,1909447,2611,,,,1.875,2.103,,37440,,01/11/2022,11/15/2051,2018750,matched-raw-parser-row,CFKKRGACEDP-0002,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0003,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,398.04,912810-TG-3,standard-cusip-like,99008,105000,73400,99452,,,,,2.875,3.172,,,3019,07/20/2022,05/15/2052,106509,matched-raw-parser-row,CFKKRGACEDP-0003,6,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0004,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,390.00,912810-TJ-7,standard-cusip-like,1746094,2000000,1433164,1762326,5169,,,,3.000,3.706,,59940,,09/26/2022,08/15/2052,2030000,matched-raw-parser-row,CFKKRGACEDP-0004,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0005,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,381.96,912810-TW-8,standard-cusip-like,409578,400000,400172,409028,,,,,4.750,4.564,,2467,19000,02/27/2024,11/15/2043,409500,matched-raw-parser-row,CFKKRGACEDP-0005,7,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0006,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,373.92,912828-YB-0,standard-cusip-like,887101,900000,840287,894965,,1334,,,1.625,1.785,,14625,,11/04/2019,08/15/2029,907313,matched-raw-parser-row,CFKKRGACEDP-0006,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0007,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,365.88,91282C-FF-3,standard-cusip-like,50196,57000,53142,52109,,,,,2.750,4.250,,,1568,10/21/2022,08/15/2032,57784,matched-raw-parser-row,CFKKRGACEDP-0007,6,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0008,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,357.84,91282C-GM-7,standard-cusip-like,149772,156000,151628,151300,,,,,3.500,3.990,,2062,5460,03/08/2023,02/15/2033,158730,matched-raw-parser-row,CFKKRGACEDP-0008,7,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0009,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,349.80,91282C-PN-5,standard-cusip-like,645277,650000,643551,645310,,,,,3.500,3.661,,2000,,12/18/2025,11/30/2030,661375,matched-raw-parser-row,CFKKRGACEDP-1091,6,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0010,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,324.72,268317-AK-0,standard-cusip-like,3305577,3000000,2678099,3248956,,(9417),,,4.875,4.226,,64594,146250,10/29/2020,01/22/2044,3073125,matched-raw-parser-row,CFKKRGACEDP-0010,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0011,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,316.68,268317-AL-8,standard-cusip-like,5315600,4875000,4696890,5314283,,,,,6.000,5.499,,129188,292500,12/19/2014,01/22/2114,5021250,matched-raw-parser-row,CFKKRGACEDP-0011,15,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0012,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,291.60,13063A-7D-0,standard-cusip-like,2140080,1500000,1747302,1932934,,(22395),,,7.300,4.453,,27375,109500,02/02/2016,10/01/2039,1554750,matched-raw-parser-row,CFKKRGACEDP-0012,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0013,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,283.56,13063B-JC-7,standard-cusip-like,22779171,15000000,18381156,20758552,,(278752),,,7.600,4.113,,1140000,,10/29/2020,11/01/2040,15570000,matched-raw-parser-row,CFKKRGACEDP-0013,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0014,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,276.72,167560-PL-9,standard-cusip-like,4345080,4000000,4152870,4222225,,(11889),,,5.720,5.126,,19067,228800,09/30/2013,12/01/2038,4114400,matched-raw-parser-row,CFKKRGACEDP-0014,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0015,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,269.88,54438C-PA-4,standard-cusip-like,58147119,45830000,50886264,56626113,,(238058),,,6.750,5.026,,1288969,3093525,01/27/2023,08/01/2049,47376763,matched-raw-parser-row,CFKKRGACEDP-0015,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0016,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,261.84,57582R-N9-3,standard-cusip-like,2814099,3905000,2313928,2905372,25514,,,,2.000,3.590,,19525,78100,03/30/2022,04/01/2050,3944050,matched-raw-parser-row,CFKKRGACEDP-0016,16,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0017,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,236.76,02765U-CR-3,standard-cusip-like,310005,280000,286180,307571,,,,,6.053,5.179,,16948,,05/11/2023,02/15/2043,288474,matched-raw-parser-row,CFKKRGACEDP-0017,7,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0018,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,228.72,02765U-EK-6,standard-cusip-like,4022424,2800000,3524603,3814738,,(20180),,,8.084,5.378,,85511,226352,03/25/2014,02/15/2050,2913176,matched-raw-parser-row,CFKKRGACEDP-0018,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0019,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,220.68,072024-NV-0,standard-cusip-like,26912981,19015000,21739635,25657269,(186008),,,,7.043,4.468,,334807,1339226,05/11/2023,04/01/2050,8368855,matched-raw-parser-row,CFKKRGACEDP-0019,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
CFKKRGACEDCOB-0020,Schedule D Part 1 Section 1 issuer-credit obligations owned,218,212.64,072024-PY-2,standard-cusip-like,22374009,15830000,17939773,21452319,,(125550),,,6.907,4.487,,1093378,,05/11/2023,10/01/2050,16376689,matched-raw-parser-row,CFKKRGACEDP-0020,8,"coordinate-owned-bond row; reconciles source-page columns but does not prove cash receipt, borrower use, liability spread, waterfall, collateral certificate, or return","use coordinate columns to replace token-only owned-bond reconciliation, then join income/proceeds and liability context"
