row_id,period,company,ticker,theme,subtheme,metric,value,unit,source_file,source_detail,calculation_or_source,evidence_status,what_it_says,what_it_does_not_say,next_source
URIYOPB-001,March 2024 to August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Source boundary,original-pricing-source-boundary-visible,text,"https://investors.unitedrentals.com/press-releases/press-releases-details/2024/United-Rentals-Announces-Pricing-of-Private-Offering-of-1.1-Billion-of-6.125-Senior-Notes-due-2034/default.aspx; https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm; https://cbonds.com/bonds/1637295/; https://public.com/bonds/corporate/united-rentals-north-america-inc/uri-6.125-03-15-2034-u91139ak8","URI release, SEC indenture, Cbonds public page, Public.com current quote page","Synthesis of public pricing-source boundary",source-boundary,"Public sources prove coupon, principal, maturity, identifiers, net proceeds, and current quote snapshot.","Original issue price, original yield, spread, TRACE tape, offering memorandum, and purchase agreement were not located in this pass.","Offering memorandum, pricing supplement, purchase agreement, TRACE, institutional bond database"
URIYOPB-002,2024-03-07,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Principal amount,1.100B,USD,https://www.businesswire.com/news/home/20240307247528/en/United-Rentals-Announces-Pricing-of-Private-Offering-of-%241.1-Billion-of-6.125-Senior-Notes-due-2034,BusinessWire copy of URI pricing release,"Pricing release says URNA priced 1.1B principal amount",company-pricing-release-visible,"The gross principal amount is visible.","Gross principal is not original price, yield, spread, or investor allocation.","Offering memorandum or pricing supplement"
URIYOPB-003,2024-03-07,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Coupon,6.125,percent,https://www.businesswire.com/news/home/20240307247528/en/United-Rentals-Announces-Pricing-of-Private-Offering-of-%241.1-Billion-of-6.125-Senior-Notes-due-2034,BusinessWire copy of URI pricing release,"Pricing release identifies 6.125% Senior Notes due 2034",coupon-visible,"The fixed coupon is visible from the public pricing announcement.","Coupon is not the same as original yield or spread.","Offering memorandum or TRACE"
URIYOPB-004,2024-03-07,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Estimated net proceeds,1.090B,USD,https://www.businesswire.com/news/home/20240307247528/en/United-Rentals-Announces-Pricing-of-Private-Offering-of-%241.1-Billion-of-6.125-Senior-Notes-due-2034,BusinessWire copy of URI pricing release,"Estimated net proceeds after initial purchasers' discounts, commissions, and estimated fees/expenses",net-proceeds-visible,"The release shows estimated net proceeds after discounts, commissions, fees, and expenses.","It does not split issue price from fees or quantify underwriting discount separately.","Offering memorandum fee/discount table"
URIYOPB-005,2024-03-11,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Indenture pricing gap,original issue yield not stated,text,https://www.sec.gov/Archives/edgar/data/1067701/000110465924033017/tm248403d1_ex4-1.htm,SEC Exhibit 4.1 indenture,"Indenture states coupon, maturity, identifiers, redemption, and legal terms",indenture-term-gap-visible,"The indenture is primary legal evidence for note terms.","It does not show original issue price, original yield, benchmark spread, or initial purchaser names.","Offering memorandum, purchase agreement, pricing supplement"
URIYOPB-006,Q3 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Carrying amount boundary,1.090B,USD,https://www.sec.gov/Archives/edgar/data/1047166/000106770124000037/uri-20240930.htm,URI Q3 2024 10-Q debt note,"Debt table includes carrying amount for 6 1/8% Senior Notes due 2034",carrying-value-boundary,"The balance-sheet carrying value is visible after issuance.","Carrying amount is not original issue yield or spread.","Debt footnote detail and offering memorandum"
URIYOPB-007,August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Cbonds public free-view gap,price/yield gated,text,https://cbonds.com/bonds/1637295/,Cbonds public bond page,"Public page shows placement/outstanding amount, FIGI, ticker, and trial-access gates around fields",public-reference-gap-visible,"Cbonds confirms the instrument and reference-data context.","The public free view does not disclose original issue price/yield/spread in this pass.","Cbonds full access or alternate bond database"
URIYOPB-008,August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Current retail yield,5.71,percent,https://public.com/bonds/corporate/united-rentals-north-america-inc/uri-6.125-03-15-2034-u91139ak8,Public.com current bond page,"Public.com page showed a current yield snapshot",current-retail-quote-boundary,"A current market yield snapshot is visible.","It is time-sensitive and not March 2024 original issue yield or spread.","TRACE/institutional source with March 2024 timestamp"
URIYOPB-009,August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Current retail price,101.97,price per 100,https://public.com/bonds/corporate/united-rentals-north-america-inc/uri-6.125-03-15-2034-u91139ak8,Public.com current bond page,"Public.com page showed price $101.97",current-retail-quote-boundary,"A current market price snapshot is visible.","It is not original issue price.","TRACE/institutional source with March 2024 timestamp"
URIYOPB-010,March 2024,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,MonitorDaily republication,no incremental pricing economics,text,https://www.monitordaily.com/united-rentals-prices-private-offering-of-1-1b-of-senior-notes-to-finance-yak-access-acquisition/,MonitorDaily article,"Article repeats principal, coupon, maturity, private offering, and Yak funding use",republication-boundary,"Trade press confirms the announced note financing and Yak use-of-proceeds context.","It does not add original issue price, original yield, spread, or investor allocation.","Offering memorandum or original pricing wire"
URIYOPB-011,March 2024 to August 2026,United Rentals,URI,capital-intensive real-economy buildout,Yak original pricing source boundary,Safe claim,original-pricing-source-boundary-visible,text,analysis/company-first-principles/capital-flow-uri-yak-original-pricing-source-boundary-pass-1.md,Synthesis,"Combines public company, SEC, and bond-reference searches",safe-claim-boundary,"The Yak notes have coupon/proceeds/current-quote evidence but original pricing economics remain missing.","Do not promote this to original issue yield, benchmark spread, institutional tape, named initial purchasers, exact ABL allocation, or Matting ROIC.","Offering memorandum, purchase agreement, pricing supplement, TRACE, institutional bond database"
