queue_id,linked_target_id,lane_or_case,priority,action_type,source_or_document,source_route_or_local_base,expected_local_path_or_output,readiness,current_blocker,fields_to_extract,pass_test,hold_or_disproof_test,next_artifact,safe_claim
CFCRAQ-001,CFCRST-001,FPL Distribution Inspection,1,wait-and-fetch,"2027 SPPCRC actual/estimated true-up filing","Florida PSC Docket 20250010-EI; expected FPL 2026 actual/estimated SPPCRC filing in 2027","raw/primary-sources/capital-flow/power-grid-pilot/nextera/fpl-rate-case/actual-estimated-2026/fpl-2026-sppcrc-actual-estimated-2027-filing.pdf",not-yet-available,"The likely decisive filing is expected in 2027 and is not in the current local source set.","2026 actual clause revenue; true-up; billing determinants; customer factors; category revenue requirements; Distribution Inspection allocation","Pass if the filing reports Distribution Inspection billed/collected revenue or customer-class allocation.","Hold if it remains aggregate SPPCRC revenue only; weaken if category is disallowed or excluded.",capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.md,"FPL 2027 true-up is the highest-probability route but not current proof."
CFCRAQ-002,CFCRST-001,FPL Distribution Inspection,2,search-and-fetch,"SPPCRC billing determinant or category allocation workpapers","Florida PSC Docket 20250010-EI filings, discovery, staff exhibits, and non-confidential workpapers","raw/primary-sources/capital-flow/power-grid-pilot/nextera/fpl-rate-case/workpapers/fpl-sppcrc-billing-determinant-category-allocation-workpaper.pdf",route-visible-not-local,"No local workpaper allocates aggregate SPPCRC revenue or factors to Distribution Inspection.","rate class; billing determinant; factor; allocation factor; program/category; monthly billed revenue; true-up balance","Pass if workpaper allows category/customer-class cash allocation for Distribution Inspection.","Hold if workpapers are confidential, absent, or aggregate only; weaken if allocation contradicts current bridge.",capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.md,"Billing determinants are the cleanest route from tariff authority to category cash."
CFCRAQ-003,CFCRST-001,FPL Distribution Inspection,3,search-and-fetch,"FPL/NextEra debt use-of-proceeds and construction funding support","SEC 8-K, 424B, 10-Q/10-K debt footnotes, PSC financing testimony, treasury policy references","raw/primary-sources/capital-flow/power-grid-pilot/nextera/financing/fpl-debt-use-of-proceeds-construction-funding-source.pdf",route-visible-not-local,"Current evidence has Form 8A capital structure but no funding allocation to Distribution Inspection.","issuer; amount; use of proceeds; construction funding; refinancing target; utility capex; SPP mention; maturity; cost","Pass if source names storm protection, utility construction, SPPCRC, or Distribution Inspection funding with period alignment.","Hold if proceeds are general corporate purposes or refinancing only; weaken source claim if no allocation is possible.",capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.md,"Form 8A supports recovery cost rates, not project funding source."
CFCRAQ-004,CFCRST-002,URI fleet,4,parse-local-and-search,"URI fleet utilization/OEC/margin/capex split and ABL collateral support","Existing URI filings and agreements plus investor supplement search","analysis/company-first-principles/data/capital-flow-uri-fleet-cash-yield-source-target-pass-1.csv",partial-local,"URI has repeated company-level fleet/cash evidence but not asset-class cash yield or legal borrowing-base certificate proof.","fleet class; OEC; utilization; rental revenue; gross margin; capex split; sale proceeds; eligible collateral; reserves","Pass if asset/fleet class connects capital invested to rental cash, margin, and recovery proceeds.","Hold if only company-level OCF, revenue, or OEC is available.",capital-flow-uri-fleet-cash-yield-source-target-pass-1.md,"URI is ready for deeper parsing from local/public sources."
CFCRAQ-005,CFCRST-003,Sterling backlog,5,parse-local-and-search,"Sterling owner funding, retainage, L/C/surety usage, and backlog cash collection","Existing Sterling 10-Q/10-K, July 2026 credit agreement, project awards, owner budget records","analysis/company-first-principles/data/capital-flow-sterling-project-cash-collection-source-target-pass-1.csv",partial-local,"Sterling has backlog/cash conversion proxy but not project-owner funding or actual L/C/surety usage.","RPO; backlog burn; retainage; contract liabilities; billed receivables; L/C outstanding; surety; owner funding; margin","Pass if backlog conversion can be tied to cash collection and owner/risk support.","Hold if only aggregate RPO and company OCF are visible; weaken if backlog is mostly unsigned/acquired/cancellable.",capital-flow-sterling-project-cash-collection-source-target-pass-1.md,"Sterling is second wave after FPL/URI because conversion proof is already close."
CFCRAQ-006,CFCRST-004,Cheniere LNG,6,search-and-fetch,"Cheniere project waterfall, SPA economics, and train-level debt/capex/revenue support","SEC filings, SPL/CQP indentures, offering memoranda, FERC dockets, DOE cargo records, customer filings","analysis/company-first-principles/data/capital-flow-cheniere-project-cash-waterfall-source-target-pass-1.csv",partial-local,"Entity debt and cargo output are visible; project cash/waterfall and SPA economics are not.","train; entity; capex; debt draw; restricted cash; SPA volume; price formula; revenue; EBITDA; debt service","Pass if train/entity cash links source, use, output, customer revenue, and debt service.","Hold if only cargo count and entity debt are visible.",capital-flow-cheniere-project-cash-waterfall-source-target-pass-1.md,"Cheniere is the best energy cash-realization candidate after utility/fleet passes."
CFCRAQ-007,CFCRST-005,Private-credit borrowers,7,search-and-fetch,"Borrower credit agreements, rating reports, funds-flow, payoff, and lender schedules","SEC/proxy filings, sponsor releases, rating reports, UCC/payoff searches, BDC footnotes","analysis/company-first-principles/data/capital-flow-private-credit-borrower-cash-use-source-target-pass-1.csv",mixed-local,"Holder rows and vehicle stacks are visible, but facility/use/cash/bank role are missing for most borrowers.","borrower; facility; amount; tranche; lender; use; repayment; old bank role; EBITDA/cash; covenant; maturity","Pass if holder exposure maps to facility size, use, repayment source, and bank-role result.","Hold if evidence remains BDC fair value/commitment only.",capital-flow-private-credit-borrower-cash-use-source-target-pass-1.md,"Private-credit destination evidence needs facility/use documents before cash-use claims."
CFCRAQ-008,CFCRST-006,Bank role pattern,8,search-and-fetch,"Before/after bank facility termination and retained ancillary bank-role evidence","Credit agreement terminations, payoff letters, UCC releases, lender schedules, treasury/hedging disclosures, rating reports","analysis/company-first-principles/data/capital-flow-bank-role-pattern-source-target-pass-1.csv",selected-cases-visible,"Auctane is strong, but broad bank-role migration is not proven.","old facility; payoff; termination; new lender; revolver; agent; treasury; hedging; collateral; retained bank role","Pass if multiple cases show whether banks exited or migrated to ancillary roles after private credit.","Hold if only one-off takeout evidence exists; weaken broad replacement if retained bank roles are material.",capital-flow-bank-role-pattern-source-target-pass-1.md,"Bank replacement needs before/after role maps, not isolated headlines."
CFCRAQ-009,CFCRST-007,Vehicle liability-to-asset pool,9,parse-local-and-search,"BDC/non-traded BDC liability stack and asset-pool documents","Vehicle annual reports, prospectuses, notes payable, subscription facilities, CLO/SPV filings, statutory schedules","analysis/company-first-principles/data/capital-flow-vehicle-liability-to-asset-pool-source-target-pass-1.csv",partial-local,"Vehicle stacks are visible for some holders, but borrower-dollar allocation is not.","assets; debt; notes; facilities; NAV; asset coverage; subscription funding; CLO/SPV; borrower pool","Pass if liability layers tie to the asset pool containing borrower exposures without one-dollar overclaiming.","Hold if stack is visible but not allocable to borrower pool.",capital-flow-vehicle-liability-to-asset-pool-source-target-pass-1.md,"Vehicle source context can improve without claiming exact provenance."
CFCRAQ-010,CFCRST-008,Publication claims,10,derive-local,"Cash-realization audit for every publication-ready claim","Publication register, evidence-backed insights, cash ladder, source target pages, rendered evidence pages","analysis/company-first-principles/data/capital-flow-publication-claim-cash-realization-audit-pass-1.csv",local-ready,"Existing claims need explicit cash-realization levels before external reuse.","claim; sentence; proof level; cash-realization level; evidence page; amount; period; forbidden overclaim","Pass if every candidate sentence has source route, cash-realization level, boundary, and contrary-role check.","Hold/rewrite if any sentence upgrades aggregate evidence into asset-level cash.",capital-flow-publication-claim-cash-realization-audit-pass-1.md,"Publication audit can be run entirely from local artifacts."
