pilot_id,lane,lane_rank,company,ticker,score,bridge_model,first_source_task,proof_fields_to_fill,expected_upgrade,disproof_test,current_status,safe_claim_boundary
"CF519P2-001","private_credit_direct_lending","1","Kkr Co. Inc.","KKR","123","source-to-vehicle-to-borrower bridge","Extract current credit AUM, Global Atlantic/insurance channel detail, BDC or vehicle holdings, and borrower schedule evidence.","AUM; credit AUM; insurance credit AUM; vehicle assets; borrower schedule rows; facility-size target; bank-role question","Move from platform-scale to source/vehicle/destination visible where borrower rows exist.","Treating KKR AUM as borrower allocation or bank replacement.","pilot-selected","Use platform and vehicle scale only with borrower/vehicle caveat."
"CF519P2-002","private_credit_direct_lending","2","Apollo Global Management Inc.","APO","119","source-to-vehicle-to-borrower bridge","Extract Athene-linked credit assets, direct origination AUM, ABF AUM, borrower examples, and vehicle schedules.","AUM; direct origination; ABF; Athene accounts; invested assets; spread earnings; borrower destinations","Move from platform-scale to liability/channel plus credit-lane visible.","Treating Athene liabilities as specific borrower funding without allocation evidence.","pilot-selected","Use Apollo/Athene as channel evidence, not exact liability-to-loan proof."
"CF519P2-003","private_credit_direct_lending","3","Ares Management Corporation","ARES","119","source-to-vehicle-to-borrower bridge","Refresh direct-lending origination and borrower examples against holder schedule expansion and same-period borrower controls.","AUM; direct lending commitments; borrower examples; holder rows; vehicle taxonomy; same-period exposure; bank role","Move from platform-scale plus borrower examples to source-taxonomized destination proof.","Treating visible holder fair value as total borrower debt.","pilot-selected","Use Ares borrower rows as partial destination evidence."
"CF519P2-004","private_credit_direct_lending","4","Blackrock Inc.","BLK","102","source-to-vehicle-to-borrower bridge","Extract private markets, credit, infrastructure debt, insurance/client-channel, and portfolio schedule evidence.","private markets AUM; credit AUM; insurance/client source; vehicle holdings; borrower examples; denominator need","Move from manager-scale to candidate credit-routing evidence.","Treating broad private-markets AUM as direct lending or borrower proof.","pilot-selected","Use BlackRock as candidate source-channel evidence until borrower rows are extracted."
"CF519P2-005","private_credit_direct_lending","5","Blackstone Inc.","BX","102","source-to-vehicle-to-borrower bridge","Extract Credit & Insurance AUM, insurance SMA inflows, direct-lending inflows, deployment, and borrower/vehicle examples.","Credit & Insurance AUM; SMA inflows; direct lending inflows; deployment; vehicle schedules; borrower rows","Move from credit/insurance platform evidence to source-channel plus deployment visible.","Treating insurance SMA inflows as owned insurance liabilities or named borrower funding.","pilot-selected","Use Blackstone as third-party insurance/client-channel evidence."
"CF519P2-006","insurance_and_retirement_capital","1","Unitedhealth Group Inc.","UNH","95","liability-to-asset-quality bridge","Extract premiums, medical costs payable, operating cash timing, investment assets, and contrast with true life/annuity liability channels.","premiums; claims liabilities; cash flow; investment assets; regulated capital; timing float; asset quality","Classify managed-care cash timing as contrast case, not life-insurance credit engine.","Treating managed-care working-capital float as annuity-style spread capital.","pilot-selected","Use UNH as insurance/healthcare timing contrast unless statutory asset evidence supports more."
"CF519P2-007","insurance_and_retirement_capital","2","The Cigna Group","CI","93","liability-to-asset-quality bridge","Extract premiums, pharmacy-benefit cash timing, investment assets, debt, and insurance liability evidence.","premiums; claims payable; PBM cash timing; investments; debt; statutory source need; asset quality","Classify Cigna as healthcare/PBM cash-timing contrast or insurance asset channel if evidence supports it.","Treating PBM or managed-care cash timing as private-credit funding.","pilot-selected","Use Cigna only with managed-care/PBM distinction."
"CF519P2-008","insurance_and_retirement_capital","3","Metlife Inc.","MET","84","liability-to-asset-quality bridge","Extract statutory/annual investment portfolio, general account assets, net investment income, ratings mix, and liability base.","policy liabilities; general account assets; NII; ratings mix; Schedule D/BA target; capital and surplus; impairments","Move from life-insurer radar to statutory asset-quality queue.","Treating life-insurance scale as private-credit asset quality.","pilot-selected","Use MetLife as pure life-insurance comparator pending statutory extraction."
"CF519P2-009","insurance_and_retirement_capital","4","Prudential Financial Inc.","PRU","78","liability-to-asset-quality bridge","Extract general account investments, retirement liabilities, net investment spread, ratings mix, and statutory schedule targets.","liabilities; invested assets; spread; ratings; NAIC; affiliated exposure; impairments; Schedule D/BA","Move from retirement-risk-transfer radar to statutory asset-quality queue.","Treating retirement liabilities as named private-credit source without holdings.","pilot-selected","Use Prudential as life/retirement comparator pending statutory extraction."
"CF519P2-010","power_grid_and_project_finance","1","Oneok Inc.","OKE","116","source-use-output-return bridge","Extract capex plan, project list, NGL/gas volumes, export/customer contracts, debt/liquidity, and denominator links.","growth capex; maintenance capex; project capacity; volumes; customer contracts; debt; EBITDA; FERC/EIA denominator","Move from power/grid queue to midstream project source/use/output candidate.","Treating company EBITDA or capex as named-project return.","pilot-selected","Use ONEOK as project-capacity candidate until project economics are tied."
