diagnostic_id,metric,value,units,proof_use,boundary,next_action
CFAASCBCRPDG-001,proof_packet_summary_rows,5,count,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-002,proof_packet_detail_rows,20,count,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-003,selected_holding_rows,5,count,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-004,selected_disposal_rows,15,count,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-005,selected_disposal_consideration,3851152934.000000,USD,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-006,selected_cash_like_disposal_consideration,1569389612.000000,USD,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-007,selected_cash_like_share_of_disposal_consideration,0.407512,ratio,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-008,selected_year_end_book_value,3727673982.000000,USD,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-009,selected_realized_gain_loss,-18.000000,USD,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-010,selected_consideration_to_year_end_book_ratio,1.033125,ratio,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-011,economic_class_count__principal-paydown-cash-candidate,3,count,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
CFAASCBCRPDG-012,economic_class_count__market-sale-or-counterparty-cash-candidate,2,count,row-level proof packet diagnostics for top tier-1 same-CUSIP cash-back candidates,"diagnostic supports targeted row inspection, not final statutory accounting or asset-return proof",inspect PDF rows for the five selected CUSIPs and reconcile lot-level fields before claim promotion
