queue_id,company,current_bridge,priority,proof_gap,action_type,target_source_or_document,source_route_or_local_base,expected_output,readiness,fields_to_extract,pass_test,hold_or_disproof_test,next_artifact,safe_claim
CFDRBUQ-001,Wheaton Precious Metals Corp.,company-level Antamina stream funding,1,stream-level delivered-ounce and cash receipt proof,search-and-fetch,"Post-Antamina quarterly MD&A/financial statements with Antamina delivered ounces, sales, depletion, and cash receipts","SEC 6-K exhibits; Wheaton quarterly reports after Q2 2026; Antamina PMPA notes","analysis/company-first-principles/data/capital-flow-wheaton-antamina-delivery-cash-receipt-pass-1.csv",route-visible-not-local,"period; Antamina attributable production; delivered ounces; ounces sold; cash receipts; depletion; cost of sales; gross margin; debt repayment","Pass if Antamina-specific deliveries and cash economics can be linked to the Q2 2026 PMPA funding period.","Hold if only company-level GEO production or sales is visible; disprove stream-return upgrade if Antamina contribution is not separable.",capital-flow-wheaton-antamina-delivery-cash-receipt-pass-1.md,"Wheaton's next upgrade requires Antamina-specific cash receipt evidence, not just PMPA funding."
CFDRBUQ-002,Wheaton Precious Metals Corp.,company-level Antamina stream funding,2,lender allocation and debt-service bridge,search-and-fetch,"Term loan/revolver credit agreement, lender schedule, repayment schedule, and debt-service waterfall","SEC 6-K/SEDAR exhibits; lender agreement references; bank syndication disclosures","analysis/company-first-principles/data/capital-flow-wheaton-antamina-debt-service-waterfall-pass-1.csv",route-visible-not-local,"facility; lender; drawn amount; pricing; maturity; repayment; covenant; collateral; Antamina use allocation; debt service","Pass if the credit facility documents tie borrowings and repayment capacity to the Antamina payment and cash receipts.","Hold if debt remains general corporate financing; disprove lender-allocation claim if proceeds are not allocable.",capital-flow-wheaton-antamina-debt-service-waterfall-pass-1.md,"Wheaton has funding visibility but not lender-level allocation."
CFDRBUQ-003,Wheaton Precious Metals Corp.,company-level Antamina stream funding,3,PMPA economics and return model,search-and-fetch,"BHP Antamina PMPA contract detail, pricing formula support, delivery schedule, and term/economic notes","Wheaton filings, BHP disclosures, contract summaries, MD&A notes, analyst presentation exhibits","analysis/company-first-principles/data/capital-flow-wheaton-antamina-pmpa-economics-pass-1.csv",executed-local-pass-1,"upfront payment; percentage of payable production; per-ounce payment; reserves/resources; expected deliveries; term; price formula; cost; margin","Pass result: stream-level PMPA economics proxy is visible; Antamina has 277.563M USD H1 revenue, 55.340M USD cash cost excluding depletion, 51.322M USD depletion, 170.901M USD profit, 222.223M USD operating cash flow, 4.708329B USD assets, and a rough 10.34% annualized OCF/upfront-payment proxy.","Hold result: full PMPA return remains unproven without delivered ounces, reserve/mine-life support, tax allocation, financing-cost allocation, debt-service waterfall, and discounted cash-flow model.",capital-flow-wheaton-antamina-pmpa-economics-pass-1.md,"Wheaton now has stream-level Antamina economics proxy evidence, not full PMPA return proof."
CFDRBUQ-004,Wheaton Precious Metals Corp.,company-level Antamina stream funding,4,tax/depletion/interest allocation,parse-local-and-search,"Antamina-related depletion, tax, interest capitalization, and segment/cash-flow allocation support","Wheaton IFRS notes; MD&A non-cash expense tables; tax footnotes; segment data","analysis/company-first-principles/data/capital-flow-wheaton-antamina-net-cash-return-pass-1.csv",executed-local-pass-1,"depletion; income tax; interest; amortization; segment margin; operating cash flow; debt service; sustaining cost","Pass result: pre-tax pre-interest net cash-return proxy is visible; Antamina has 222.223M USD H1 operating cash flow, 51.322M USD depletion, 170.901M USD profit after depletion, 4.708329B USD assets, company-level finance costs of 32.502M USD, company-level income tax expense of 210.876M USD, and bounded debt-principal denominators.","Hold result: Antamina-specific tax allocation, interest allocation, debt-service waterfall, lender allocation, IRR, NPV, reserve-life sufficiency, and full PMPA return remain unproven.",capital-flow-wheaton-antamina-net-cash-return-pass-1.md,"Wheaton now has pre-tax pre-interest Antamina net cash-return proxy evidence, not full after-tax or post-financing return proof."
CFDRBUQ-005,Matador Resources Co.,borrowing-base source/use/output bridge,5,source-to-specific-use allocation,parse-local-and-search,"Q2 2026 10-Q, credit agreement amendment, acquisition notes, and treasury cash-flow bridge","Local Matador 10-Q and Eighth Amendment plus SEC exhibits and acquisition press releases","analysis/company-first-principles/data/capital-flow-matador-source-specific-use-allocation-pass-1.csv",executed-local-pass-1,"draw date; repayment date; acquisition payment; capex; note proceeds; borrowing-base use; cash balance; repayment source","Pass result: aggregate timing reconciliation is visible; OCF plus net financing equals net investing use plus cash/restricted-cash increase.","Hold result: source-specific allocation remains unproven because borrowing notices, offering use-of-proceeds, acquisition closing statement, and asset cash contribution are still missing.",capital-flow-matador-source-specific-use-allocation-pass-1.md,"Matador now has aggregate source/use reconciliation, not source-specific allocation or asset-level return."
CFDRBUQ-006,Matador Resources Co.,borrowing-base source/use/output bridge,6,reserve and collateral support,search-and-fetch,"Borrowing-base reserve report support, collateral coverage certificate, and lender redetermination package","Credit agreement schedules, borrowing-base notices, bank redetermination references, reserve report summaries","analysis/company-first-principles/data/capital-flow-matador-borrowing-base-reserve-support-pass-1.csv",route-visible-not-local,"reserve value; collateral coverage; borrowing base; elected commitment; lender group; redetermination date; covenant; PDP/PUD mix","Pass if borrowing base can be tied to reserve/collateral support rather than just facility amount.","Hold if reserve package is not public; disprove collateral claim if coverage is not documented.",capital-flow-matador-borrowing-base-reserve-support-pass-1.md,"Borrowing-base size is not collateral proof without reserve support."
CFDRBUQ-007,Matador Resources Co.,borrowing-base source/use/output bridge,7,asset-level production and cash conversion,parse-local-and-search,"Asset contribution tables for acquired properties, production by area, revenue, LOE, capex, and OCF","Matador 10-Q/10-K, investor supplement, acquisition presentation, reserve report summaries","analysis/company-first-principles/data/capital-flow-matador-asset-output-cash-conversion-pass-1.csv",partial-local,"asset; basin; production; revenue; LOE; capex; acquisition cost; OCF; EBITDA; reserve additions","Pass if funded acquisition/capex dollars connect to asset production and cash contribution.","Hold if only company-level production is visible; disprove asset-return claim if contribution is not separable.",capital-flow-matador-asset-output-cash-conversion-pass-1.md,"Matador output is visible but still needs asset-level cash conversion."
CFDRBUQ-008,Matador Resources Co.,borrowing-base source/use/output bridge,8,covenant/pricing/debt-service quality,parse-local-and-search,"Credit agreement pricing grid, covenant compliance, interest schedule, and note economics","Local Eighth Amendment; 10-Q debt note; offering docs; lender agreement exhibits","analysis/company-first-principles/data/capital-flow-matador-debt-service-quality-pass-1.csv",executed-local-pass-1,"SOFR spread; borrowing base; elected commitment; interest; covenants; maturity; repayment; LC fees; note coupon","Pass result: proxy-grade debt-service quality is visible; borrowing-base/elected-commitment headroom, covenant thresholds, compliance status, first-half interest expense, capitalized interest, 2028 note retirement costs, and 2034 note coupon math are measurable.","Hold result: full financing-quality proof remains open without the pricing grid, exact SOFR spread, lender-level commitments, covenant cushion, borrowing-base certificate, reserve value, cash interest, and asset contribution.",capital-flow-matador-debt-service-quality-pass-1.md,"Matador now has proxy-grade debt-service quality evidence, not full pricing/cushion or asset-return proof."
CFDRBUQ-009,Liberty Broadband Corporation,holdco collateral restructuring bridge,9,pledged-share and LTV cushion,search-and-fetch,"Margin Loan Facility collateral schedule, pledged-share count, market value, LTV certificate, and margin-call tests","SEC exhibits, margin loan amendment, lender notices, Charter share schedule","analysis/company-first-principles/data/capital-flow-liberty-margin-loan-ltv-collateral-pass-1.csv",route-visible-not-local,"pledged shares; Charter share price; collateral value; LTV; threshold; margin-call trigger; debt balance; available draw","Pass if collateral cushion and margin risk can be quantified around the 864M USD margin-loan balance.","Hold if pledged-share detail is missing; disprove collateral-sufficiency language if cushion is thin or conditional.",capital-flow-liberty-margin-loan-ltv-collateral-pass-1.md,"Liberty needs LTV support before collateral-sufficiency claims."
CFDRBUQ-010,Liberty Broadband Corporation,holdco collateral restructuring bridge,10,Charter loan terms and repayment mechanics,search-and-fetch,"Charter Loan Facility agreement, pricing, maturity, repayment, collateral, and merger-close treatment","SEC exhibits; Charter/Liberty transaction filings; merger agreement schedules","analysis/company-first-principles/data/capital-flow-liberty-charter-loan-terms-pass-1.csv",route-visible-not-local,"loan amount; borrower; lender; interest; maturity; collateral; use; repayment; merger treatment; conditions","Pass if the Charter loan can be evaluated as transaction liquidity with repayment mechanics.","Hold if only loan amount/use is visible; disprove durable-liquidity claim if loan is temporary or highly conditional.",capital-flow-liberty-charter-loan-terms-pass-1.md,"Charter loan source/use is visible, but terms are not."
