claim_id,company,manager,vehicle,period,industry,parsed_fair_value_usd_m,share_of_parsed_schedule_percent,share_of_reported_non_control_non_affiliate_percent,investment_rows,unique_borrower_names,first_lien_fair_value_usd_m,second_lien_fair_value_usd_m,subordinated_fair_value_usd_m,other_or_equity_fair_value_usd_m,source_file,parser_coverage_note,status
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,4937.2,21.99,20.33,262,119,4559.6,298.7,-0.6,79.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Commercial and Professional Services,2510.4,11.18,10.34,171,60,2277.1,115.5,161.2,-43.4,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Health Care Equipment and Services,2139.7,9.53,8.81,144,52,1768.6,337.8,52.4,-19.1,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Financial Services,1915.9,8.53,7.89,96,36,405.5,121.0,1293.5,95.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Consumer Services,1683.6,7.5,6.93,142,45,1617.9,5.3,0.0,60.4,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Capital Goods,1217.4,5.42,5.01,90,43,1026.0,54.7,-6.0,142.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Insurance,1184.9,5.28,4.88,77,29,918.1,0.0,64.4,202.4,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Consumer Distribution and Retail,1171.1,5.22,4.82,67,23,1044.0,22.7,133.3,-28.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Investment Funds and Vehicles,1147.7,5.11,4.73,11,9,0.0,0.0,1153.7,-6.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,"Sports, Media and Entertainment",919.3,4.09,3.79,61,28,284.2,69.5,70.1,495.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,"Pharmaceuticals, Biotechnology and Life Sciences",634.8,2.83,2.61,32,13,649.9,0.0,-4.0,-11.1,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Materials,542.3,2.41,2.23,41,13,543.3,-2.0,0.0,1.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Independent Power and Renewable Electricity Producers,452.0,2.01,1.86,8,4,0.2,0.0,221.3,230.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Consumer Durables and Apparel,442.7,1.97,1.82,41,15,337.9,58.2,45.3,1.3,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Energy,327.5,1.46,1.35,12,5,312.0,0.0,0.0,15.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,Parsed fair value 22456.0 vs reported non-controlled/non-affiliate fair value 24282.0; coverage 92.5%. Reported total investments fair value is 29349.3.,parser-derived-needs-reconciliation
