term_summary_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,period,term_metric,value,unit,calculation_or_source,term_status,what_it_adds,what_it_does_not_add,next_source
CIFCTS-001,"CICAPF-001; CICAPF-002; CIDSL-001","Energy Transfer","ET","capital-intensive real-economy buildout","refinancing ladder","raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html","SEC 10-Q debt note","January 2026","Senior notes issued","3.00B","USD","1.00B 4.55% due 2031 plus 1.00B 5.35% due 2036 plus 1.00B 6.30% due 2056","filed-term-summary","Turns the prior refinancing row into a coupon-and-maturity ladder with explicit use-of-proceeds language for refinancing existing indebtedness including commercial paper and Five-Year Credit Facility borrowings.","Does not allocate the notes to named growth projects or prove project-level source-and-use.","January 2026 ET note 8-K and indenture exhibits"
CIFCTS-002,"CICAPF-002; CIDSL-004","Energy Transfer","ET","capital-intensive real-economy buildout","maturity-management refinancing","raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html","SEC 10-Q debt note","January-February 2026","Senior notes redeemed","1.60B","USD","1.00B 4.75% senior notes due January 2026 redeemed in January plus 600M 5.625% senior notes due May 2027 redeemed in February","filed-term-summary","Shows the capital-market activity was also liability management: new notes and short-term funding retired near-term notes.","Does not show whether the refinancing freed incremental capacity for specific projects.","ET debt maturity schedule and commercial-paper backstop terms"
CIFCTS-003,"CICAPF-001; CIDSL-001","Energy Transfer","ET","capital-intensive real-economy buildout","covenant headroom clue","raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html","SEC 10-Q debt note","Q2 2026","Partnership leverage ratio under Five-Year Credit Facility covenant","3.01x","ratio","Filed covenant disclosure states compliance with debt-agreement requirements and gives partnership leverage ratio pursuant to the Five-Year Credit Facility covenant","filed-term-summary","Adds the first numeric covenant clue for ET, moving from facility amount to covenant-measured balance-sheet capacity.","Does not provide the covenant limit, calculation schedule, EBITDA adjustments, or pro forma acquisition/project adjustments.","ET Five-Year Credit Facility agreement and covenant calculation exhibit"
CIFCTS-004,"CIDSL-001","Energy Transfer","ET","capital-intensive real-economy buildout","hybrid capital refinancing option","raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html","SEC 10-Q subsequent debt note","July 2026","Junior subordinated notes issued","1.75B","USD","650M Series 2026A plus 1.10B Series 2026B Junior Subordinated Notes due 2057","filed-term-summary","Shows a long-dated subordinated capital layer after Q2 close that can affect funding flexibility and leverage optics.","The parsed note excerpt did not preserve the initial interest-rate text, and it does not map proceeds to projects.","July 2026 ET financing 8-K and note prospectus supplement"
CIFCTS-005,"CICAPF-006; CIDSL-005","Cheniere Energy","LNG","capital-intensive real-economy buildout","entity debt separation","raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html","SEC 10-Q debt table","Q2 2026","SPL total debt","5.027B","USD","Total SPL Senior Secured Notes at June 30 2026","filed-term-summary","Keeps SPL separate from parent and CQP, which is essential for LNG project-finance style analysis.","Does not extract SPL restricted-account mechanics, security package, debt-service reserve, or train-level collateral.","SPL senior secured note indentures and facility agreements"
CIFCTS-006,"CICAPF-006; CIDSL-005","Cheniere Energy","LNG","capital-intensive real-economy buildout","entity maturity ladder","raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html","SEC 10-Q debt table","Q2 2026","CQP total senior notes","9.550B","USD","CQP senior notes include maturities from 2029 through 2056 across 4.500%, 4.000%, 3.25%, 5.950%, 5.750%, 5.550%, 5.350%, and 6.050% coupons","filed-term-summary","Turns the CQP bucket into a visible multi-decade maturity ladder tied to the partnership entity.","Does not identify proceeds use for each note issuance or the waterfall between operating cash, distributions, and construction spend.","CQP note indentures, 2026 financing 8-Ks, and partnership debt footnotes"
CIFCTS-007,"CICAPF-006; CIDSL-005","Cheniere Energy","LNG","capital-intensive real-economy buildout","project-entity deleveraging and draw state","raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html","SEC 10-Q debt table","Q2 2026","CCH total debt","4.930B","USD","CCH senior secured notes total 4.865B, CCH Credit Facility is 0 versus 550M at Dec. 31 2025, CCH Revolving Credit Facility is 65M","filed-term-summary","Shows CCH moved away from the credit-facility balance visible at year-end while carrying senior secured notes and a modest revolver draw.","Does not prove whether the facility paydown came from operating cash, restricted cash, refinancing, or project cash-flow waterfall releases.","CCH credit-facility agreement, cash-flow statement details, and refinancing 8-Ks"
CIFCTS-008,"CICAPF-007; CIDSL-005","Cheniere Energy","LNG","capital-intensive real-economy buildout","parent capital layer","raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html","SEC 10-Q debt table","Q2 2026","Cheniere parent senior notes","4.750B","USD","Parent senior notes comprise 1.500B 4.625% due 2028, 1.500B 5.650% due 2034, 1.000B 5.200% due 2036, and 750M 6.000% due 2056","filed-term-summary","Separates parent-level debt from SPL, CQP, and CCH debt so we do not blur the legal funding layers.","Does not show intercompany funding, guarantees, restricted payments, or project-level proceeds flow.","Cheniere parent indentures and intercompany funding disclosures"
CIFCTS-009,"CICAPF-009; CIDSL-005","Cheniere Energy","LNG","capital-intensive real-economy buildout","debt service schedule versus contracted revenue denominator","raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-10k.html","SEC 10-K commitments table","FY 2025","Debt and interest payments due under executed contracts","29.0B","USD","Debt 23.0B plus interest payments 6.0B under executed contracts; senior notes weighted average contractual interest rate 4.65%; credit-facility borrowings indexed to SOFR","filed-term-summary","Adds the first aggregate debt-service denominator for Cheniere and ties it to long-dated executed-contract economics.","Does not prove coverage ratio because revenue timing, variable fees, LNG costs, debt restrictions, and project-level waterfalls still need reconciliation.","Cheniere debt-service schedules, SPA revenue bridge, rating reports, and waterfall documents"
CIFCTS-010,"CICAPF-009; CIDSL-005","Cheniere Energy","LNG","capital-intensive real-economy buildout","contracted cash-flow denominator","raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2025-10k.html","SEC 10-K commitments table","FY 2025","Estimated revenues under executed SPAs","290.6B","USD","Fixed fees 107.7B plus variable fees 182.9B under executed SPAs","filed-term-summary","Gives a large contract-revenue denominator to compare against the debt-service schedule in later work.","This is not debt coverage proof; variable fees, LNG costs, counterparty risk, entity waterfalls, and timing matter.","SPA contract schedules, DOE cargo data, and entity-level cash-flow waterfalls"
