row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation,what_it_says,what_it_does_not_say,pass_or_hold,next_required_source,safe_claim
CFPBFNRE-001,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,New note principal,2034 7.25% Senior Notes issued,500.000,USD millions,reported,"PBF issued 500.0M USD aggregate principal amount of 2034 7.25% senior unsecured notes on May 28 2026.","Issuance size alone does not prove refinancing value creation.",visible,2034 indenture and offering memorandum,"PBF has visible new-note principal."
CFPBFNRE-002,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,New note coupon,2034 note coupon,7.250,percent,reported,"The new 2034 notes carry a 7.25% coupon.","The coupon does not by itself prove total cash interest burden because principal changed and fees/cash use matter.",visible,2034 indenture and pro forma interest schedule,"PBF's new coupon is visible."
CFPBFNRE-003,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,New note maturity,2034 note maturity,2034,year,reported,"The new senior unsecured notes mature in 2034.","Maturity extension is not automatically economic improvement.",visible,2034 indenture maturity and call schedule,"PBF extended the maturity profile for the refinanced note layer."
CFPBFNRE-004,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Net proceeds,2034 note net proceeds,492.100,USD millions,reported,"PBF received 492.1M USD of net proceeds after initial purchasers' discount and offering expenses.","Net proceeds were not enough to redeem the old notes without available cash.",visible,offering-fee and settlement funds-flow schedule,"PBF's new note generated a partial refinancing cash source."
CFPBFNRE-005,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Issuance discount and expenses,New-note gross-to-net difference,7.900,USD millions,500.000 - 492.100,"The gross-to-net proceeds gap is 7.9M USD.","This is not the full refinancing cost because redemption accrued interest, any tax effect, and liquidity opportunity cost remain separate.",calculated-visible,offering fee detail and debt issuance cost rollforward,"The new-note financing cost is at least partly visible."
CFPBFNRE-006,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Old note principal redeemed,2028 6.00% Senior Notes redeemed,801.600,USD millions,reported,"PBF redeemed all 801.6M USD aggregate principal amount outstanding of the 2028 6.00% senior notes on June 25 2026.","The filing excerpt does not allocate every funding dollar to the redemption beyond proceeds plus available cash.",visible,redemption notice and funds-flow statement,"PBF's old-note use of cash is visible."
CFPBFNRE-007,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Old note coupon,2028 note coupon,6.000,percent,reported,"The redeemed 2028 senior notes carried a 6.00% coupon.","Lower coupon did not mean lower annual coupon dollars after refinancing because principal also changed.",visible,2028 indenture and redemption notice,"PBF's old coupon is visible."
CFPBFNRE-008,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Old note maturity,2028 note maturity,2028,year,reported,"The redeemed notes were due in 2028.","The maturity gap alone does not establish economic benefit.",visible,2028 indenture and maturity schedule,"PBF removed a nearer maturity."
CFPBFNRE-009,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Source-use language,Net proceeds plus available cash used for redemption,explicit,text,reported,"The filing states that net 2034 note proceeds and available cash were used to fully redeem the 2028 notes plus accrued and unpaid interest.","The statement does not disclose a daily funds-flow or source priority.",visible,treasury funds-flow and redemption settlement statement,"PBF's refinancing source/use mechanism is visible."
CFPBFNRE-010,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Available cash bridge,Minimum available cash used before accrued interest,309.500,USD millions,801.600 - 492.100,"Ignoring accrued interest, at least 309.5M USD of available cash or other liquidity was needed because net proceeds were 492.1M USD against 801.6M USD principal redeemed.","This is not the final settlement cash use because accrued interest is excluded.",calculated-visible,redemption settlement and cash rollforward,"PBF used material available cash alongside the new note proceeds."
CFPBFNRE-011,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Gross principal reduction,Old principal less new principal,301.600,USD millions,801.600 - 500.000,"The note layer shrank by 301.6M USD of gross principal from the redeemed notes to the new notes.","Gross principal reduction does not include revolver movement, cash draw, fees, or accrued interest.",calculated-visible,total debt rollforward,"PBF reduced this senior-note principal layer while extending maturity."
CFPBFNRE-012,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Coupon-rate change,New coupon less old coupon,1.250,percentage points,7.250 - 6.000,"The coupon rate increased by 1.25 percentage points from 6.00% to 7.25%.","This rate increase does not mean annual coupon dollars increased because principal fell.",calculated-visible,pro forma interest schedule,"PBF accepted a higher coupon rate on a smaller and longer-dated note."
