row_id,linked_extraction_rows,company,source_id,source_date,source_type,source_tag,metric_group,source_backed_numbers,claim_upgrade,claim_level_after_upgrade,remaining_gap,next_primary_source_action
PGSU-001,PGP-001; PGP-002,Constellation,CEG-T18; CEG-T19; CEG-T20; CEG-T21; CEG-T22,2026-08-06,"official Q2 2026 release page; release PDF; presentation; 10-Q; 8-K",Disclosed/File,scarce_clean_generation,"55 GW fleet; 920 MW additional long-term clean-power PPAs; Q2 2026 guidance raise","Constellation rows can move from packet-derived signal to official-source-backed company exposure because the source ledger identifies a complete Q2 2026 release/deck/filing chain.",3,"PPA economics, duration, counterparties, and approval conditions are not yet extracted.","Open CEG Q2 release/deck/10-Q and capture page/table text for fleet, PPAs, and guidance."
PGSU-002,PGP-003,Constellation,CEG-T13; CEG-T14; CEG-T15; CEG-T16; CEG-T17,2026-05-11,"official Q1 2026 release page; release PDF; presentation; 10-Q; 8-K",Disclosed/File,data_center_power_contracting,"380 MW CyrusOne signed agreement; exclusive Phase 2 path for another 380 MW","Constellation has official Q1 source coverage for a customer-specific data-center power arrangement.",3,"Contract economics, delivery terms, regulatory approvals, and customer obligations are not yet extracted.","Open CEG Q1 release/deck/10-Q and extract the Freestone/CyrusOne disclosure in full."
PGSU-003,PGP-004; PGP-005; PGP-006,NextEra,NEE-T17; NEE-T18; NEE-T19; NEE-T20,2026-07-24,"Q2 2026 earnings release; presentation; prepared remarks; supplemental XLSX",Disclosed,hybrid_utility_development,"FPL regulatory capital employed 79.7B USD; prior-year 72.9B USD; 9.3% growth; 3.6 GW Energy Resources origination","NextEra's regulated-capital and development-origination rows have an official IR source package with release, deck, remarks, and tabular financial statements.",3,"Direct SEC filing HTML is not saved locally; rate-base, capital-employed definition, and backlog mix need table extraction.","Use NEE Q2 release/deck/XLSX to capture exact table names and reconcile FPL capital-employed growth."
PGSU-004,PGP-007,NextEra,NEE-T9; NEE-T10; NEE-T11; NEE-T12,2026-01-27,"Q4 2025 earnings release; presentation; prepared remarks; supplemental XLSX",Disclosed,renewables_storage_backlog,"29.8 GW Energy Resources backlog; 13.5 GW added during 2025","NextEra's year-end backlog row has an official Q4 2025 source package and can support a quantified development backlog claim.",3,"Need backlog composition by renewables, storage, gas, transmission, and customer type where available.","Extract backlog bridge and additions table from NEE Q4 materials."
PGSU-005,PGP-008; PGP-009; PGP-010,Duke,DUK-T13; DUK-T14; DUK-T16; DUK-T17,2026-05-05,"Q1 2026 earnings release; presentation; 10-Q; 8-K",Disclosed/File,regulated_load_conversion,"7.6 GW secured data-center ESAs; 15.4 GW late-stage pipeline; 103B USD capital plan; about 14 GW targeted capacity additions; 20 secured gas turbines","Duke's data-center ESA and capital-plan rows can move to official-source-backed company exposure because the source ledger names the Q1 deck and SEC filing chain.",3,"Need service-territory split, binding status, rate treatment, capital-plan category split, and construction milestones.","Open DUK Q1 presentation/release/10-Q and extract ESA, capital-plan, turbine, and capacity-addition tables."
PGSU-006,,Duke,DUK-T8; DUK-T9; DUK-T11,2026-02-10/2026-02-27,"Q4 2025 earnings release; presentation; 8-K",Disclosed/File,regulated_capital_plan,"103B USD five-year capital plan; about 14 GW generation-addition program; 20 secured gas turbines","Duke's year-end capital-plan source package supports the claim that the regulated buildout was already visible before Q1 2026 ESA acceleration.",3,"Need to reconcile Q4 and Q1 versions of the capital plan and identify changes.","Compare DUK Q4 and Q1 presentations for plan changes and approvals."
PGSU-007,PGP-011; PGP-012,Vistra,VST-T15; VST-T16; VST-T17,2026-08-07,"Q2 2026 results release page; earnings presentation; 8-K",Disclosed/File,merchant_dispatchable_power,"1.767B USD Ongoing Operations Adjusted EBITDA; 97% or greater commercial availability during extreme heat; guidance reaffirmation","Vistra's Q2 rows have official release/deck/8-K support and can be treated as source-backed quantified merchant-power exposure.",3,"No local Q2 2026 10-Q was visible in the SEC recent-filings evidence; EBITDA bridge and availability scope need exact extraction.","Open VST Q2 release/deck/8-K and capture adjusted EBITDA bridge plus availability wording."
PGSU-008,PGP-013,Vistra,VST-T11; VST-T12; VST-T13; VST-T14,2026-05-07/2026-05-08,"Q1 2026 results release; earnings presentation; 10-Q; 8-K",Disclosed/File,merchant_capacity_acquisition,"5,500 MW Cogentrix acquisition; Meta PPA framing; rating-upgrade message","Vistra has official Q1 coverage for capacity acquisition and data-center-linked contracting evidence.",3,"Need transaction value, financing, regulatory approvals, and PPA economics.","Open VST Q1 release/deck/10-Q and extract Cogentrix and Meta PPA details."
PGSU-009,PGP-014; PGP-015; PGP-016,NRG,NRG-T20; NRG-T21; NRG-T22; NRG-T23; NRG-T24; NRG-T25,2026-08-04,"Q2 2026 results page; financial results PDF; presentation; supplemental; 10-Q; 8-K",Disclosed/File,customer_backed_power,"8M customers; 25 GW generation; 1.2 GW Texas BYOP combined-cycle gas project; Q2 adjusted EBITDA 1.217B USD; FCFbG 1.025B USD","NRG's customer-backed power claim has a strong official Q2 package including results, supplemental, 10-Q, and 8-K.",3,"Need BYOP contract terms, customer funding mechanics, Texas Energy Fund status, and cost-allocation protection for existing customers.","Open NRG Q2 results/deck/supplemental/10-Q and extract BYOP and financial bridge details."
PGSU-010,PGP-029; PGP-030; PGP-031; PGP-032; PGP-033; PGP-034; PGP-035,AEP,AEP-T13; AEP-T14; AEP-T15; AEP-T17; AEP-T19; AEP-T20; AEP-T21; AEP-T23; AEP-T24,2026-05-05/2026-07-30,"Q1/Q2 2026 earnings releases; presentations; supplemental schedules; 10-Qs; 8-K",Disclosed/File,load_growth_grid_gateway,"69 GW expected new load additions by 2030; 63 GW signed incremental load by 2030 in Q1; 56 GW signed incremental load by 2030 in Q4 2025; 78B USD five-year capital plan; 72B USD prior plan; 13 GW gas-fired turbine capacity secured; 10 GW under evaluation; up to 16B USD customer cost offsets; 1.4B USD projected customer savings from DOE loans and grants","AEP is now promoted from placeholder to source-ledger-backed grid-gateway evidence: load growth, capital-plan expansion, turbine procurement, and affordability offsets are all tied to official IR/filing packages.",3,"Need exact page/table extraction, signed-versus-expected definition reconciliation, service-territory split, customer concentration, approval status, and rate-recovery details.","Open AEP Q2/Q1/Q4 release decks supplemental schedules and 10-Qs; extract the load bridge, capital-plan bridge, turbine procurement, and affordability tables."
