essay_id,section,role,reader_claim,key_examples,proof_boundary,source_artifacts,next_step,status
ARFE-001,Opening,Essay frame,Annual reports are maps of economic bottlenecks,Seven polished chapter spines,Broad bottleneck thesis is not final investment proof,annual-report-final-theme-synthesis-package-pass-1.md,Add exhibit package,ready
ARFE-002,Burden transfer,Core mechanism,Strong companies absorb burdens customers cannot easily carry,"Households; patients; factories; contractors; data centers; investors",Burden-transfer position still needs cash and return proof,annual-report-theme-writing-architecture-pass-1.md,Use as central essay mechanism,ready
ARFE-003,Power scarcity,Chapter section,Electricity is becoming a growth constraint,"Constellation; Vistra; NRG; Exelon; Duke; AEP; NextEra/FPL; Sterling; MasTec",Load forecasts and capex plans are not customer cash or project returns,annual-report-power-scarcity-chapter-polish-pass-1.md,Add load-to-recovery exhibit,ready
ARFE-004,Capital platforms,Chapter section,Big platforms route money from savings pools to asset pools,"BlackRock; Blackstone; Apollo/Athene; KKR/Global Atlantic; Brookfield; Ares; Carlyle",AUM inflows dry powder and originations are not borrower receipt or return proof,annual-report-capital-platforms-chapter-polish-pass-1.md,Add source-wrapper-destination exhibit,ready
ARFE-005,Industrial uptime,Chapter section,Physical work depends on equipment parts support and execution,"United Rentals; Fastenal; WESCO; Grainger; Applied Industrial; MSC; Watsco; Sterling; MasTec",Sales fleet OEC and backlog are not project collection or fleet-class ROIC,annual-report-industrial-uptime-chapter-polish-pass-1.md,Add uptime proof ladder exhibit,ready
ARFE-006,Healthcare access,Chapter section,Healthcare scarcity is organized access under cost labor reimbursement and trust pressure,"UnitedHealth; Cigna; DaVita; Option Care; Addus; BrightSpring; Enhabit",Revenue patient volume admissions and census are not care quality or cash conversion,annual-report-healthcare-access-chapter-polish-pass-1.md,Add reimbursement and labor exhibit,ready
ARFE-007,Built-environment upkeep,Chapter section,Expensive shelter shifts spending toward upkeep repair replacement and civic infrastructure,"Home Depot; Lowe's; Builders FirstSource; Sherwin-Williams; West Fraser; Ferguson; Core & Main",Housing exposure is not one thing and does not prove project receipts or ROIC,annual-report-built-environment-chapter-polish-pass-1.md,Add sub-lane segmentation exhibit,ready
ARFE-008,Digital control,Chapter section,Online and AI activity needs permission routing security execution and governance,"Cloudflare; Akamai; Fastly; Zscaler; Fortinet; DigitalOcean; Roblox",ARR RPO bookings traffic and AI ARR are not durable operating leverage proof,annual-report-digital-control-chapter-polish-pass-1.md,Add ARR/RPO conversion exhibit,ready
ARFE-009,Value retail,Chapter section,Pressured consumers split the wallet by job instead of only trading down,"Costco; Walmart; Target; Dollar General; Dollar Tree; Burlington; Ollie's",Traffic comps ticket and membership are not durable cohort or margin proof,annual-report-value-retail-chapter-polish-pass-1.md,Add wallet-split exhibit,ready
ARFE-010,Working capital,Proof box,Growth only matters if it converts into cash,"Target; Zebra; MSC; Global Industrial; Pool; Core Main; Arrow; Synchrony",Revenue and balance-sheet growth are not cash realization,annual-report-final-theme-synthesis-package-pass-1.md,Build DSO inventory reserve OCF exhibit,next
ARFE-011,Acquisition and backlog,Proof box,Acquisitions and backlog need post-close conversion proof,"Sterling; MasTec; URI/Yak; Core Main; Relation; MAI; Frontline; Atwell",Transaction size and backlog are not value creation or cash collection,annual-report-final-theme-synthesis-package-pass-1.md,Build funding backlog burn margin retainage exhibit,next
ARFE-012,Refinancing,Proof box,Refinancing helps only if source use cost and future cash economics improve,"PBF; Matador; Devon; Liberty Broadband; Verizon; Wheaton",Principal and coupon mechanics are not value creation without settlement and NPV evidence,annual-report-final-theme-synthesis-package-pass-1.md,Build settlement coupon fee tax liquidity exhibit,next
ARFE-013,Final takeaway,Essay close,The best companies operate routes permissions assets workflows and financial channels that keep the system moving,All seven themes,Theme-level writing is not complete named-cash proof,annual-report-final-theme-synthesis-package-pass-1.md,Create exhibit package,ready
ARFE-014,Safe claim,Boundary,The corpus is writing-ready at theme level but not complete cash-loop proof,Receipts billing settlements borrower use legal schedules collateral waterfalls working capital margins returns,Full proof still requires named cash evidence and return models,annual-report-final-theme-synthesis-package-pass-1.md,Use in publication note,ready
