package_id,section,article_role,core_claim,supporting_artifact,reader_use,safe_claim,proof_boundary,next_action,status
ARFSP-001,Publication status,Final package verdict,The article is ready as a bounded synthesis.,annual-report-publication-readiness-review-pass-1.md,Use as the editorial decision record.,The package is final-article-ready with source notes.,It is not complete named-cash proof.,Keep boundary language in title page introduction and conclusion.,ready
ARFSP-002,Working title,Reader frame,Annual reports are maps of economic bottlenecks.,annual-report-reader-facing-essay-pass-1.md,Use as the article title and opening frame.,Annual reports reveal where pressure is building and which companies sit near bottlenecks.,This does not prove every company is attractive or every bottleneck converts to return.,Use title with subtitle to clarify scope.,ready
ARFSP-003,Opening mechanism,Burden-transfer explanation,Strong companies absorb burdens customers cannot easily carry.,annual-report-final-theme-synthesis-package-pass-1.md,Use to explain why the themes connect.,Companies can earn power by organizing complexity for others.,Burden transfer is a theme lens not final cash proof.,Keep examples plain and avoid jargon.,ready
ARFSP-004,Power scarcity,Theme chapter,Power is becoming a gatekeeper for growth.,annual-report-power-scarcity-chapter-polish-pass-1.md,Use as the first core theme.,Load capex tariffs contracts and recovery mechanisms show capital formation routes.,They do not prove named customer receipts project return or earned ROE.,Use FPL and data-center lanes as proof examples with caveats.,ready
ARFSP-005,Capital platforms,Theme chapter,Large platforms route money from savers and institutions into assets and borrowers.,annual-report-capital-platforms-chapter-polish-pass-1.md,Use as the who-is-investing-where section.,Capital platforms control routes through wrappers vehicles legal entities and funds.,AUM inflows and dry powder do not prove borrower receipt waterfall or return.,Point readers to named-cash proof ladder.,ready
ARFSP-006,Industrial uptime,Theme chapter,Physical work depends on hidden uptime systems.,annual-report-industrial-uptime-chapter-polish-pass-1.md,Use as the operating infrastructure section.,Equipment parts support distribution and execution keep projects and facilities moving.,Backlog sales OEC and branches do not prove project cash fleet ROIC or collateral value.,Keep examples at system level unless cash proof exists.,ready
ARFSP-007,Healthcare access,Theme chapter,Healthcare companies organize access under cost labor reimbursement and trust pressure.,annual-report-healthcare-access-chapter-polish-pass-1.md,Use as the human/institutional bottleneck chapter.,Demand is obvious but organized access is scarce.,Revenue patient volume admissions and claims activity do not prove quality fairness trust or cash collection.,Keep reimbursement and outcomes gaps explicit.,ready
ARFSP-008,Built-environment upkeep,Theme chapter,Expensive shelter and aging civic systems shift spending toward upkeep repair and replacement.,annual-report-built-environment-chapter-polish-pass-1.md,Use as the housing-plus-infrastructure chapter.,Built environment spending is segmented across retail Pro materials coatings waterworks and civic repair.,It is not one generic housing-cycle bet.,Separate sub-lanes in final copy.,ready
ARFSP-009,Digital control,Theme chapter,Digital growth creates demand for permission routing security governance and trusted execution.,annual-report-digital-control-chapter-polish-pass-1.md,Use as the trust/control infrastructure chapter.,Digital companies sell control points around traffic identity workloads threats and participation.,ARR RPO traffic bookings and DAUs do not prove durable margins retention or product cash conversion.,Use demand metrics as indicators not proof.,ready
ARFSP-010,Value retail,Theme chapter,Pressured consumers split the wallet by job and regret reduction.,annual-report-value-retail-chapter-polish-pass-1.md,Use as the consumer-pressure chapter.,Value formats solve different spending regrets around price trust convenience access and discovery.,Traffic comps ticket membership and gross margin do not prove durable cohort quality shrink control or margin durability.,Avoid generic trade-down framing.,ready
ARFSP-011,Proof boxes,Reader discipline layer,Growth acquisitions backlog and refinancing need cash conversion tests.,annual-report-reader-exhibit-package-pass-1.md,Use before the conclusion to keep claims honest.,Accounting and operating signals become stronger when tied to cash movement and returns.,The proof boxes are method not proof by themselves.,Keep all three boxes in final article.,ready
ARFSP-012,Source-note package,Publication apparatus,The article can cite internal artifacts while flagging proof limits.,capital-flow-evidence-ledger-index.md,Use to organize source notes and audit trail.,Source notes make the chain of internal evidence visible.,Internal source notes are not a substitute for full external/public citation work.,Prepare external citation list if publishing outside the workspace.,ready
ARFSP-013,Forbidden claims,Overclaim guardrail,Avoid turning theme evidence into investment conclusions or full cash proof.,annual-report-publication-readiness-review-pass-1.md,Use as final editorial checklist.,The article can explain themes without claiming completed returns.,Do not claim AUM capex backlog ARR volume traffic or refinancing equals value creation.,Review final copy against forbidden claims.,ready
ARFSP-014,Final next step,Execution handoff,Move from research package to clean publication draft.,annual-report-final-article-source-note-package-pass-1.md,Use as the immediate writing handoff.,The next artifact should be the final formatted article with source notes.,Named-cash proof remains separate deep-dive research.,Create final formatted publication draft.,ready
