work_id,chain_layer,big_question,current_best_evidence,current_status,what_is_still_missing,why_it_matters,next_artifact,priority
BPR-001,Capital source,"Whose money is entering the system?","Private-credit AUM/deployment rows; insurance and retirement balance-sheet rows; bank denominator rows; utility/customer tariff evidence.",partly-mapped,"Consistent source taxonomy across banks private credit insurers public bonds equity customer prepayments ratepayers government grants and project sponsors.","Without source separation we cannot say whether capital is new money bank replacement customer-funded project money or balance-sheet recycling.","capital-flow-source-taxonomy-and-denominator-pass-1.md",high
BPR-002,Funding vehicle,"What wrapper carries the money?","Credit agreements and debt stacks for ET Cheniere URI Sterling; BDC holder schedules; utility dockets; ABL/securitization first-pass rows.",partly-mapped,"Standard vehicle classes across all companies: corporate debt project/entity debt ABL AR securitization revolver L/C surety private credit insurance SMA regulated recovery equity and customer advances.","The wrapper tells us what the market thinks can be pledged recovered contracted or flexibly supported.","capital-flow-funding-wrapper-classification-pass-1.md",high
BPR-003,Destination company,"Which companies actually receive or route capital?","519-company triage; 71 lane candidates; named borrower crosswalks; ET Cheniere URI Sterling source-table passes.",seeded,"A normalized company universe that assigns every company to one or more capital-flow roles: source router vehicle borrower owner operator supplier contractor or regulator-recovery platform.","Without roles the analysis becomes a list of interesting companies instead of a capital-flow map.","capital-flow-company-role-taxonomy-pass-1.md",high
BPR-004,Asset or project,"What real thing is funded?","DOE LNG cargo rows; EIA export denominators; URI fleet OEC and capex; Sterling backlog/RPO rows; AEP/Duke tariff/docket evidence.",partly-mapped,"Project-level or asset-level identity for power load generation grid upgrades LNG trains pipelines fleet categories data centers public works and customer sites.","This is the difference between a theme and a real economic destination.","capital-flow-asset-project-registry-pass-1.md",high
BPR-005,Use of proceeds,"What did the money do?","Some debt proceeds and refinancing language; Cheniere equity-funded growth-capex split; Sterling use-of-proceeds agreement terms; borrower transaction clues.",uneven,"Separate acquisition financing refinancing capex working capital dividends rescue capital project construction debt repayment and L/C/surety support.","A dollar used to refinance old debt means something different from a dollar that builds new capacity.","capital-flow-use-of-proceeds-classification-pass-1.md",high
BPR-006,Operating conversion,"Did funding become output?","Cheniere reported cargoes matched DOE vessel rows; URI fleet capex-to-cash bridge; Sterling backlog/cash bridge; utility load/docket paths.",partly-proven,"Repeatable conversion metrics: MW in service cargoes volumes fleet OEC utilization backlog burn RPO conversion revenue margin OCF FCF and rate-base growth.","Capital flow only matters if it becomes operating capacity cash flow or control.","capital-flow-operating-conversion-scorecard-pass-1.md",high
BPR-007,Cash and return,"Who earns cash and what return/risk is visible?","Operating cash flow and capex rows for ET Cheniere URI Sterling; insurer spread earnings; asset-manager fee/AUM rows.",partial,"Margin returns interest cost fee economics spread earnings project economics customer payments and covenant/rating effects.","This decides whether capital is profitable productive risky or only gross activity.","capital-flow-cash-return-risk-pass-1.md",high
BPR-008,Durability,"Is the evidence a trend or a point-in-time snapshot?","Annual/Q2 baselines for capital-intensive companies; some multi-period private-credit and insurance metrics; Sterling next eight-quarter queue.",early,"Eight-quarter or multi-year series for each critical metric by lane and company.","A one-quarter spike can mislead; durable capital flow needs time-series proof.","capital-flow-durability-time-series-program-pass-1.md",high
BPR-009,Outside denominator,"Is the company evidence large relative to the market?","FRED bank denominators; EIA/DOE LNG/NGL denominators; Census construction/data-center denominators; project denominator workbench.",partial,"Consistent outside denominators by lane: bank credit private credit direct lending utility load construction spending LNG export capacity fleet markets and public funding.","Outside denominators prevent overclaiming company anecdotes as macro trends.","capital-flow-outside-denominator-master-map-pass-1.md",high
BPR-010,Disproof tests,"What would make the thesis wrong?","Claim dashboard and funding-type hypothesis map include disproof tests; Sterling rows explicitly mark missing L/C usage and project-source proof.",seeded,"Hard disproof triggers by lane: bank credit still growing in same lane backlog not funded projects cancelled capex maintenance-only poor cash conversion weak utilization and low-margin acquired backlog.","The system should learn from contradiction rather than collect confirming evidence only.","capital-flow-disproof-trigger-register-pass-1.md",high
BPR-011,Claim governance,"What can we safely say today?","Cross-theme dashboard; evidence ledger; claim strength scorecard; status buckets from queued to thesis-grade.",working,"One promoted-claim table and one forbidden-overclaim table across all themes and companies.","This keeps writing honest and stops hypotheses from becoming conclusions too early.","capital-flow-promoted-claims-and-overclaims-pass-1.md",high
BPR-012,Scale-up system,"How do we extend beyond the first examples?","519-company triage and all-company scale-up operating model exist; first detailed passes focus on selected lanes.",seeded,"A repeatable extraction template for all 511-plus companies by sector and theme, with prioritization rules and minimum fields.","The long-run goal is a mapped operating system, not a handful of case studies.","capital-flow-all-company-extraction-template-pass-1.md",medium
