overlay_id,pilot,risk_family,diagnostic,current_evidence,current_status,proof_grade,upgrade_test,source_artifact
QOE-001,All pilots,Cash conversion,Reported earnings or operating metric versus operating cash flow and cash-after-property,"The 18-row retail cash-conversion screen is assembled; Wheaton and Apollo reported-cash bridges remain separate and normalized owner cash remains incomplete",partial,qualified,Join period-matched cash with all applicable reinvestment and senior claims,analysis/company-first-principles/combined-investment-research-quality-of-earnings-retail-cash-conversion-screen-2026-09-16.md
QOE-002,Retail cohort,Working capital,Inventory and accounts-payable timing versus sales and operating cash,"TJX Target and Walmart common-period inventory/payable screens exist; seasonality and full cash normalization remain open",partial,qualified,Reconcile repeated periods and separate vendor-term timing from recurring cash,analysis/company-first-principles/combined-investment-research-pilot-02-retail-margin-working-capital-normalization.md
QOE-003,Retail cohort,Supplier finance,Supplier-finance obligation movements versus operating cash,"Target and Walmart comparative obligations are visible but do not establish settlement cash",partial,qualified,Obtain matched settlement or cash-flow disclosure and eliminate double counting,analysis/company-first-principles/combined-investment-research-pilot-02-retail-supplier-finance-roll-forward-2026-09-16.md
QOE-004,Retail cohort,Capitalization,Property spending classified as maintenance growth remodel technology or fulfillment,"Categories and a Walmart new-store growth floor are visible; full H1 maintenance split is not disclosed",partial,qualified,Obtain project-level classification or preserve an explicit range,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md
QOE-005,Retail cohort,Temporary support,Refunds tariffs settlements and other unusual support treated as recurring earnings,"Support/refund and exceptional settlement observations are bounded and kept out of recurring owner cash",partial,qualified,Repeat across filings and reconcile cash timing and reversal,analysis/company-first-principles/combined-investment-research-pilot-02-retail-margin-support-transition-2026-09-16.md
QOE-006,All pilots,Noncash compensation and dilution,Stock compensation add-backs and diluted-share claims,"SBC and diluted-share denominators are disclosed and tested as separate owner burdens",observed,qualified,Join issuance vesting dividend-equivalent and cash-settlement details to the period model,analysis/company-first-principles/combined-investment-research-pilot-02-retail-burden-normalization.md
QOE-007,Retail cohort,Revenue timing and attached services,Gift cards memberships advertising marketplace and service revenue versus collection and cost,"Contract-liability and revenue-timing observations exist; service-level cash and cost allocation remain open",partial,qualified,Join service revenue collection cost working capital tax and capex by legal entity,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md
QOE-008,Apollo-Athene,Fee accrual and collection,Management-fee expense/payable versus settled recipient cash,"Fee rollforward implies a qualified settlement amount; receiving entity and bank receipt remain open",partial,qualified,Obtain related-party settlement schedule recipient entity elimination and receipt account,analysis/company-first-principles/capital-flow-apollo-athene-fee-rollforward-boundary-2026-09-15.md
QOE-009,Apollo-Athene,Legal-entity perimeter,Consolidated cash and earnings versus regulated restricted VIE and policyholder claims,"Statutory cash and liability bridges exist; unrestricted Apollo common-owner cash is not joined",partial,qualified,Reconcile legal availability senior claims and common-owner residual,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md
QOE-010,Wheaton-Antamina,Revenue and settlement object,Combined Antamina ounces/revenue versus BHP-PMPA-specific delivery invoice and receipt,"First BHP-PMPA delivery is confirmed but quantity invoice settlement and receipt remain combined or undisclosed",searched-negative,qualified,Obtain BHP-only metal-credit quantity invoice settlement and cash or receivable entry,analysis/company-first-principles/capital-flow-wheaton-antamina-post-q2-public-search-refresh-2026-09-16.md
QOE-011,Apollo-Athene,Acquisition and transaction cash,Transaction consideration seller proceeds buyer portfolio growth and borrower cash,"ARI terms seller cash-flow reconciliation and buyer-side growth are visible; executed settlement and borrower receipts remain open",partial,qualified,Join settlement statement wires designated buyer borrower receipts and allocation,analysis/company-first-principles/capital-flow-apollo-athene-ari-post-close-proof-search-boundary-2026-09-16.md
QOE-012,All pilots,Composite accrual screen,Beneish-style multi-period accrual and margin diagnostic across comparable company-period data,"Retail transition and capital-flow ratio panels are now assembled as denominator-labeled diagnostics; a comparable cross-pilot composite score is still not assembled",not-assembled,unresolved,Complete the field-level schema with period-aligned data and do not promote the score beyond a screening flag,analysis/company-first-principles/combined-investment-research-quality-of-earnings-composite-input-schema-2026-09-16.md
